"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C18-neg_Cluster_0001: NA",0,0.00345398282561022,0.00437207459494524,0,0,0.000382438706164269,0,0,0,0,0,0,0.00823742952191974,0,0,0.00109639504324263
"m__C18-neg_Cluster_0002: NA",0,0.0435746758199847,0.0112756539272361,0,0,0.0376792695069427,0,0,0,0,0.000818908324474768,0,0.10740190956827,0,0,0.0133833611431272
"m__C18-neg_Cluster_0003: NA",0,0.0278819388825324,0.0526253096559399,0,0,0.000966789639643633,0,0,0.0142857849117763,0,0.00202826137970797,0,0.0166602241048414,0,0.00239694280383197,0.00778968342521824
"m__C18-neg_Cluster_0004: 4-hydroxystyrene",0,0.0131697737890923,0.0663386261008969,0,0,0.00383460806106644,0,0,0,0,1.35072905809224e-05,0,0.0120667552317209,0,0,0.0063615513648905
"m__C18-neg_Cluster_0005: NA",0,0.0741882389397406,0.0080811786058275,0,0.00907901311780399,0.0139746243696547,0,0,0,0,0.00497028670105418,0,0.0673305889234105,0,0,0.0118415953771661
"m__C18-neg_Cluster_0006: NA",0,0.00664908943554539,0.00918402446213062,0.0243031428503408,0,0.0446821724423511,0,0,0,0,0.00257109272152635,0,0.0151789994565832,0,0,0.00683790142456517
"m__C18-neg_Cluster_0007: NA",0,0.0071341676201373,6.44165652825851e-05,0,0,0.00104235274377999,0,0,0,0,0.000637506489959071,0,0.00160758848488083,0,0,0.000699068793602651
"m__C18-neg_Cluster_0008: NA",0,0.0643107170099161,0.000808254959803262,0,0,0.00649191616773327,0,0,0,0,9.72744241774199e-09,0,0.00594469454704299,0,0,0.00517037282746254
"m__C18-neg_Cluster_0009: NA",0,0.021546715293669,0.000938280524064559,0,0,5.39317578705453e-05,0,0,0,0,0,0,0.0221209715687832,0,0,0.00297732660962582
"m__C18-neg_Cluster_0010: NA",0,0.000141281963613177,1.48310405032451e-05,0,0,0.000224759367675993,0,0,0,0,1.07608088564863e-05,0,0.0997972370681635,0,0,0.0066792580165875
