"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum",0,0,0,0,0,0.000202050122009942,0,0,0,0,0,0,0,0,0,1.34700081339961e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0,0.000141450832433958,0,0,0,0,0,0,1.76376892362857e-05,0,0,0,0,0,0,1.06059014446829e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0.000797658726615435,0,0,0,0,0,0,5.46374149653743e-07,0,0,0,0,0,0,5.32136733843392e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0,0,0.0117967118902076,0,0,0,0,0,0,0,0,0,0,0,0,0.000786447459347172
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,0.0128903953114194,0,0,0,0,0,0.154030277107985,4.32897291880004e-06,0,0,0,0,0,0.0047383962869594,0.0114442265119522
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0,0,0,0,9.89289607046401e-07,0,0,0,0,0,0,0,0,0,6.59526404697601e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,2.94229732721617e-05,0,0,0,4.00053340088632e-05,0,0,0,0,0,0,0,0,0,4.62855381873499e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",0,3.3079463797544e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20529758650293e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.0715721057323641,0,0,0,0,0,0.00928635814290517,0,0,0,0,0,0,0,0,0.00539056425835128
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia georgiae",0,0,0,0,0,0,0.00157517127506706,0,0,0,0,0,0,0,0,0.000105011418337804
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0.000191031385608825,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2735425707255e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,0,0,0,0,0,0,1.32491505106832e-06,0,0,0,0,0,0,8.83276700712215e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0,0,0,0,0,0,0.0120722954673286,0,0,0,0,0,0,0,0,0.000804819697821906
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0,0,0,0,0,5.58110203118948e-07,0,0,0,0,0,0,0,0,0,3.72073468745966e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0,0,0,0,0,0,0,0,0.00016095420300402,0,0,0,0,0,0,1.0730280200268e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0.00676846578983585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451231052655724
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0,0,0,0,8.28168442358117e-06,0,0,0,0,0,0,0,0,0,5.52112294905412e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0.00142622448398324,0,0,0,0,0.000202167729964064,0,0,0,0,0,0,0,0,0.00010855948092982
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0,0.013020792938433,0,0,0,0,0,0,0,0,0,0,0,0,0.000868052862562197
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900554605",0,0.000160769056926224,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07179371284149e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900556405",0,0,0,0,0,0,0.00062801755168821,0,0,0,0,0,0,0,0,4.1867836779214e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373435",0,0,0.00806008034439748,0,0,0,0,0,0,0,0,0,0,0,0,0.000537338689626499
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga",0,0,0,0,0,0,0,0,2.37400555371475e-05,0,0,0,0,0,0,1.58267036914317e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;s__Peptidiphaga gingivicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595671257994241,0.000397114171996161
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Peptidiphaga;s__Peptidiphaga sp000466165",0,0,0,0,0,0,0,0,0.0031618977332043,0,0,0,0,0,0,0.00021079318221362
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum",0,0.00276983279916936,0.00871901292746386,0,0,0.0680563969238851,2.73986700953949e-06,0,1.61508864080485e-06,0.0860127672843294,0,0,0,0,0,0.0110374909926999
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum cambriense_A",0,0,0,0,0,2.76071588202249e-07,0,0,0,0,0,0,0,0,0,1.84047725468166e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia",0,0,0,0,0,1.24343650658847e-06,0,0,3.55053677349181e-08,0,0,0,0,0,0,8.52627916215592e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens",0,0,0,0,0,0,0,0,0.0138135917944621,0,0,0,0,0,0,0.000920906119630806
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0.118265859528454,0,0.00788439063523029
