"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0541944262124134,0.139947588223675,0.0297472402878834,0.205777216881871,0.0650398485215822,0.0646427470306354,0.0244452499660011,0.104368765968848,0.155041150743711,0.00171459849655734,0.0327729498277083,0.0608400008087974,0.022016331842881,0.0027569651489889,0.175307163333175,0.0759074828863152
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0.158819661080488,0.301106876185821,0.0187461657262848,0.00956828670359147,0.191097917996916,0.0200250542552033,0.00928776064251637,0.0896106956202559,0.300769801905523,0.0152291654008655,0.136055952498841,0.232887166997255,0.0690680219409822,0.235935111635508,0.0169153003305024,0.12034152926137
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.0554711567190423,0.042261764156676,0.0319007667151021,0.093883715036446,0.0284602151903494,0.117822550619908,0.012399245349685,0.0800995960009485,0.0629553010018714,0.0737056828135435,0.0910422964167209,0.0342673810236196,0.0414912442604735,0.121563521589683,0.0836679830851143,0.0647328279986122
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00838627837524788,0.0764385209242809,0.0603261088422805,0.045703390881108,0.00249538492011587,0.0217281336099059,0.095096947868868,0.0640943948175195,0.0605819119223951,0.00566416462745369,0.0503322714101094,0.0146617689048062,0.053039122328887,0.107848548344021,0.0549938448736089,0.0480927195100405
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.140826533774235,0.128488506142512,0.0888175071380014,0.110938603263333,0.0275688078687946,0.548519555414158,0.086792821962334,0.216294959778234,0.345746497320035,0.100492243215635,0.0546824092401569,0.0567007225555439,0.0429673260141674,0.190801571718168,0.127839766769417,0.151165188811648
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0821667291475179,0.0535457496588642,0.000806845521980143,0.00222522256772421,0.0508224539602249,0.0729836983986655,0.0240573265259376,0.0823228184728537,0.107375139397393,0.0160410367746834,0.0467746510921931,0.116766781104385,0.0194939437393062,0.132278122959673,0.0794559320461974,0.05914109675784
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0795369836649918,0.0803659138918065,0.0654538087511525,0.0283233250335278,0.0156224363377987,0.0961674098931989,0.0472212605686621,0.092740869697088,0.0243916323613792,0.0258523434570593,0.147069212267001,0.0321613556966777,0.339909586636499,0.0266319979842299,0.135128698591113,0.082438455655479
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.133440918169521,0.0309422146729806,0.126626501263875,0.0418898856966903,0.0754733009537091,0.0295173803930737,0.0362399776763089,0.12701092835527,0.270631483028866,0.0480012881712726,0.0768929810420497,0.0169107466151349,0.0328371985500882,0.0216350652056835,0.0320655154796219,0.0733410256849431
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0211168814851478,0.0139238486193957,0.0386464646670083,0.136432690623416,0.00352653016998791,0.0116335040056234,0.00652338288156947,0.162450830393724,0.00123477097127684,0.0185749983113043,0.0128546365785727,0.153378746809025,0.000377522503327992,0.0456772107752526,0.0642991432354041,0.0460434108020024
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.131725371766759,0.0735265134035792,0.00592970466013376,0.0806349671355572,0.0181254485571577,0.0551107066251568,0.0615863342591008,0.00308950348613462,0.0510782086466756,0.0101587813103969,0.041810736440136,0.0971129829599737,0.0375981047189969,0.0265112894550187,0.0379422164374569,0.0487960579908156
