"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0,0,0.000447406781105437,0,0,0.0104878823708097,0.0769932748553902,0.00400298716319209,0,0,0.0352315953208537,0,1.29822333676115e-06,0,0,0.00847762964764586
"m__(-)-Menthone",0,0,3.48093211968003e-07,0,0,0,0,0,0,0,0.0135308364394908,0,0,0,0,0.000902078968846849
"m__(+)-2-Bornanone",0,0.00318744688130421,0,0.061446063298177,0,0.00867635909047246,0.00113134277776402,0,0,0,0.0333352892180684,0.0299731949516064,0,0.0413975600439606,0.0880473751773718,0.0178129754292483
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0,0,0,0,0,1.52298562962622e-05,0,0,0,0.00523131170084425,0,0,0,0,0,0.000349769437142701
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0,0,0,0,0,0.000146562185934698,0,0,0,0.000689268630586217,0,0,0,0.00929561467117263,0,0.00067542969917957
"m__1-Butanol",0,0,0.0485846778923906,0,0,0,0,0,0,0.00642845281937959,0,0,0,0.0288081470532071,0,0.00558808518433182
"m__1-Butene, 4-isothiocyanato-",0,0,0,0,0,0.0206569992893727,0,0,0,0,0,0,0,0,0,0.00137713328595818
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0.00114086898276378,0,0,0,0,0.0001966225900823,0,0,0,0.0294581176177974,0.0518174021616398,0.00362981609722749,0,0,0,0.00574952182996738
"m__1-Decanol",0,0,0,0,0,0,0.0261988495788725,0,0.0170713711296125,0,0,0,0,0,0,0.00288468138056567
"m__1-Heptadecyne",0,0,9.16646605891931e-07,0.000230380382795635,0.0107485443515207,0.000487242225845759,0,0.0576050469258823,0.000120231162722443,0.00875110152614103,0.0104695920844699,0.0142774633164995,0,0.00367021950401411,0,0.00709071587509982
"m__1-Heptanol, 3-methyl-",0,0,0,0,0.00305212640245982,0,0.00627317179776032,0,0,0.00131214563852775,0,0,0,0,0.00534860331357798,0.00106573647682172
"m__1-Hexadecanol",0,0,0,0,0,0,0.00153558105956569,0,0.00102673383053374,0,0,0,0,0,0,0.000170820992673295
"m__1-Hexadecyne",0,0,0,0,0,0,0,0,0,0.00523402889631182,0,0,0,0,0,0.000348935259754121
