"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0.226369196356935,0,0.402551501678999,0.233585957992003,0.0703449589784252,0.0107126208979404,0.080863232332106,0.027163558784344,0.171746381724964,8.69735484367047e-05,0.159896457374796,0.0787550611862928,0,0.027904197526659,0.0351848943593654,0.101677666182751
"m__(-)-Menthone",0.47908791991121,0.0395715955405744,0.121166917043761,0.174024242092379,0.155895658785993,0.0836733943496523,0.304752233154579,0.202188595475981,0.252671241249361,0.00234441748004431,0.234485787875189,0.073780229645108,0.188363064730849,0.373786203310064,0.0581833138300688,0.182931654298321
"m__(+)-2-Bornanone",0.226312850393211,0.0163116086004728,0.00768229698561679,0.619480133544356,0.268340723993036,0,0.506168994036433,0.110966341353213,0.472146221053835,0.33774789435507,0.396199106142361,0.192227583186977,0.603856024378055,0.833496800116915,0.748271641717785,0.355947214657156
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0,0.0741405489820959,0.0124906813622008,0.106561371204995,0.00550718033479377,0,0.0960916293625451,0.000148675154933121,0.179399697831107,0,0.22681064374917,0.217504738167738,0.0309853291877502,0.00869235346832266,0.0713870725216593,0.068647994755154
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0,0.138482277258314,0.00285929723314988,0.000859357017583758,0.00221406632006672,0.0198209672824236,0,0.0102927573846072,0.00718501958100893,0.0136142559842724,0.0484103514405547,0.0556330050407762,0,0,0,0.0199580903028505
"m__(S)-3,4-Dimethylpentanol",0.0594144027887608,0,0.0661158353230115,0.019668025447346,0.0526275084753648,0,0,0.0596088821420437,0,1.25748817520487e-05,0.0150163335963249,0.0349989128696665,0,0.0388214474695456,0.070817498967976,0.0278067614641194
"m__1-Butanol",0.0708048819368113,0.0368773314533433,0.00297791138141046,0.0679797603775121,0.0310845893198604,0.0181120855030305,0.0629880649091715,0.0140417798294739,0.00859622243881024,0.00452269233111027,0.577790659528661,0.0877228237657992,0.0218986864642831,0.324741330342625,0,0.0886759213054602
"m__1-Butene, 4-isothiocyanato-",0.0338584321831528,0.172772378255818,0.0602446262017267,0.294994256771761,0.00371451314987911,0,0.0109607892145254,0.0223071417578176,0.0715036150306348,0.00137017473203434,0.305206262177076,0,0,0.00387855490999724,0.26588929108449,0.0831133356979275
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0.022265041115831,0.035740029154546,0.00611934791425599,0.460210270453227,0.0197356567556479,0,0.575693245534964,0.103733754544154,0.0556639241823167,0.103121698731177,0.127994002734955,0.132438493218803,0.165515876887213,0.338960663858733,0.0133258928301209,0.14403452652773
"m__1-Decanol",0.0255704421536952,0.096445528742126,0.0533978934039669,0.0307238502062112,0.0119229025937347,0.0497112423120778,0.0797442121318605,0.000169872507717297,0.0228582075540549,0.0172676749391877,0.0186771488240046,0.0807934938159236,0.269401799184912,0.043012422723964,0,0.0533131127395624
