"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0,0,0.0349904284601576,0,0,0,0,0,0,0,0,0,0,0,0,0.00233269523067717
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0.00646646474079363,0,0,0.0311396989359738,0,0,0,0.00197168810885798,0,0,0,0.141346104223743,0.02767282230053,0.0139064518873265
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0,0,0,0,0.608543587845975,0,0.0070040886194511,0,0.0340202056855595,0.0569506055073257,0,0,0,0,0,0.0471012325105541
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0,0,0,0,0.0133765560016283,0,0,0.267171473450036,0,0,0,0,0,0.0187032019634443
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,0,0,0,0,0,0,0.0642040193984039,2.43206054330614e-05,0,0,0,0,0,0,0.00428188933358913
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0,0.0255369312153903,0.0164486817041152,0,0.000506071556455848,0.0182583025690961,0.0230240412400925,0,0,0,0,0.00558493521901
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0,0,0,0,0.0228400413834601,0,0,0,0,0,0,0,0,0,0,0.00152266942556401
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0,0.0263796033634783,0,0,0,0,0,0.00421532635019494,0,0.00428792495968921,0,0,0,0,0,0.00232552364489083
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",0,0.0716298708361732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477532472241154
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0,0,0,0.253885749023751,0,0,0,0,0,0,0,0,0,0,0,0.0169257166015834
