"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0,0,0,0,0,0,4.42266450152552e-05,0,0.000140535213933449,0,0,0,1.2317457263247e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0,0,0,0,0,0,0,0,0,0.000205652936416344,0,0,0,0,0,1.37101957610896e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0,0,0.000123260577512102,0,0,0,0,0,0,0,0,0,0,8.21737183414014e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0,0,5.41578911660247e-07,0,0,0,0,0,0,0.00076316171872047,0,0.00249794108145722,0,0.0260915178932037,0,0.00195687748481954
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162127269726339,0.0419742335436914,0.00387913070108836
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,0,8.67989613754057e-07,0,0,0,0,0,0,0,0,0,0,0,0,5.78659742502705e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0.000801191011687915,0,0,0,0,0.037767739980653,0,0,0,0,0,0,0,0.00257126206615606
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0,0,0.00319550380244041,0,0,0,0,0,0,0,0,0,0,0,0,0.000213033586829361
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",0,0,0.00155912270748088,0.00323370371424978,0,0,0,0,0,0,0,0,0,0,0,0.000319521761448711
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0,0,1.65040293478489e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.10026862318993e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0,0,1.40315716668837e-06,0,0,0,0,0,0,0,0,0,0,0,0,9.35438111125581e-08
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,1.22882729051752e-06,0,0,0,0,0,0,0.00120678005628135,0,0,0,0,0,8.05339255714575e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0,0,7.89730871940921e-06,0,0,0,0,0,0,3.43580084188388e-05,0,0.00894569573241089,0,0,0,0.000599196736636609
