"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.000807594504296499,0.00200205091902812,0.000354735635397763,0.00162370579584802,0.000865456345799454,0.00103263902276021,0.00148393319629068,0.00262914723238798,0.000950108454343431,0.000994138421088948,0.00201266455288992,1.54746357473511e-05,0.00138720419624926,0.0013334804952098,0.000182826600552645,0.00117834400052601
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0.00278663670700609,0.0177946083065534,0.00292052797734786,0.00318115239500603,0.00420990152103871,0.00555099663173709,0.0044538893665842,0.00794334708418057,0.00459981635268606,0.00356418397345694,0.00918124244129698,0.00369273100205367,0.000172529867961753,0.00356377546420575,0.00056202395667553,0.00494515753651937
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.0281991229515687,0.0544881132694157,0.0038716590017703,0.0355397637252357,0.0297277513559743,0.0384387303695874,0.020138525897628,0.0388273220031524,0.0263120154695779,0.0150161464138468,0.0575001639080018,0.0124441345341721,0.048342183334086,0.0242576956628604,0.022541332017083,0.0303763106609307
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.000988609455235981,0.00553949731174592,0.00863701331861506,0.00517265023350209,2.53928566357024e-05,0.00182522330712319,0.0221774443435968,0.00176816957739885,0.00323170415006809,0.033547401579378,0.00588896686095575,0.00712208289608711,0.00196896509821506,0.000877123652250691,0.00385025229121451,0.00684136646213486
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0323307217565498,0.045554709727012,0.0317598884069015,0.0301374234081382,0.039622515037784,0.041536380227793,0.106645000879163,0.0634423358394429,0.0338361121537726,0.0355956304518876,0.0590864587350841,0.0394277795197517,0.0305756626372574,0.0420712250055988,0.0232489734698883,0.043658054483735
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.106838662654635,0.123132627739482,0.014336580136748,0.0762151751689147,0.0627506744501029,0.0515438107700962,0.197264339637223,0.123023654904897,0.0416070159399018,0.0814726619995969,0.038943761963704,0.138810641271483,0.0703536415399477,0.0574640713772441,0.0248616516951747,0.0805745980832767
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.00756484959739654,0.0137093521406627,0.0164592571193708,0.00834583814225272,0.00878653909505165,0.00577507932129005,0.0330264716399434,0.017191116951462,0.00966757413661006,0.0113557589402061,0.0094606112840971,0.015239757906909,0.00756466147644223,0.0108726914121737,0.00374323448607089,0.0119175195766626
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.00144057965372829,0.00129004616293741,0.00105719076829912,0.00120179292514787,0.00178207576823778,0.00333470156888295,0.00649532120234363,0.016110238480265,0.00333062918589137,0.00215110638463593,0.00546704183757869,0.00171952063118494,0.00135675562048415,0.000745725232442564,0.00277689326410884,0.00335064124574457
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0203389411213108,0.0255489757508386,0.035843777461965,0.012767847280759,0.0371629004475759,0.0692492435297236,0.0304863077972047,0.0532371405393382,0.0310216936325173,0.0546573492133674,0.0174374181817794,0.0291204381949059,0.0202845298059033,0.0198126576769548,0.0260244903536165,0.0321995807325174
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.0170662747137672,0.014475135474439,0.00594921368611177,0.0240841724212323,0.0358994143469473,0.0408067800522261,0.00553519936493484,0.0101415684424534,0.0260763062246696,0.0227424550241297,0.0230315620931047,0.0208360738665647,0.0235258253218974,0.0136198325012441,0.0136925712571086,0.0198321589860554
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0090334277481743,0.0131283952337851,0.0231550352044624,0.010039277236875,0.0111136916403568,0.008412362095138,0.0175413321640036,0.0155998079536587,0.0105864453398895,0.0114369366612014,0.0123251172114588,0.0122588421611148,0.00999293213071323,0.0102649862237644,0.0146328579230586,0.0126347631285103
