"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0.00027944929070614,0.01215497443308,0.067674542813377,0.00530162048869889,0.00267716251657445,0.0536269607235922,0.0355494562791555,0.0403048417442913,0.011353264897815,0.0146416458009862,0.0234323253101347,0.081173536208356,0.013162290097616,0.000104648851971773,0.0175515917317113,0.0252658874125378
"m__(-)-Menthone",0.779950444980428,0.76206181753491,0.548576577366258,0.80601911028196,0.942048784103699,0.576988881267446,0.730912525343915,0.645747788717044,0.632084384025896,0.85941391261594,0.699439363825421,0.653591442587575,0.827892030733981,0.557141752248995,1,0.734791254375564
"m__(+)-2-Bornanone",0.00371356161012225,4.49754511296999e-05,0.0030169241689881,0.00245243287107252,0.00288585641714412,0.0311919370438936,0.0381022566284356,0.00377675728850305,0.000428332799046121,0.00330501240435926,0.00610008980929742,0.00550202265680677,0.0035738175595465,4.0724956331568e-06,0.0133639000988326,0.00783079662018739
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",1.55450609481716e-05,8.38614608872366e-05,2.3887934471245e-05,0.0206107920324701,0.013794702305724,0.00263039451436113,0.00544005344116406,0.00457480087072078,8.12609782267075e-06,0.000396241991395448,0.0123672376963513,0.0186488596562825,0.0265440808236627,5.74844236960273e-06,0.00254629555360851,0.0071793751921493
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0.0173036098818628,0.00020459005470536,0.00357869846165067,2.19334490329538e-06,2.10390814770373e-05,0.00345313908309142,7.31055074289109e-05,5.4059775192152e-05,0.00305641453014491,1.43141431785795e-05,0.00149949204215717,0.000221301065500862,5.40392329511308e-06,0.006212927850414,2.2009360406402e-05,0.00238148654036058
"m__(S)-3,4-Dimethylpentanol",8.39654845555787e-05,0.00496696623852265,0.009368490207961,0.00410061828089242,0,0.00724733580970262,0.0060026940923419,0.00705960055303015,0.00615177491077535,0.00252210158668463,0.0170363526200456,6.84075948965474e-06,9.03784205084701e-06,0.00405456074851149,0.00294369227968126,0.00477026876094968
"m__1-Butanol",0.00337368892337499,0.001294276445882,0.0497283820995802,0.019586629249686,0.0268580719657713,0.0515556141791711,0.0607436826805125,0.0100215573531219,0.0269513944479739,6.54186520003255e-06,0.0235390833499147,0.0257091276627342,0.0337916846534335,0.0161588526009983,0.00623479807578635,0.0237035590368761
"m__1-Butene, 4-isothiocyanato-",0.0040070304926807,1.47623496049113e-06,2.39638932853597e-06,0.000260172403724767,0.00383527429751441,0.00494082128087585,2.62304798451905e-05,0.0113111126336221,0.00394499310985796,0.00250273342099336,0.000655426059760469,8.69002702633132e-05,9.82309236032697e-05,5.42838103892525e-05,0.00622381621050623,0.00253005986786172
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0.0334639175898567,2.50794694891845e-06,0.0152306680730762,0.00773257057945604,0.00503298160371192,0.00906439595426828,1.50963371557694e-05,0.000334582625095412,0.00716558903943678,0.0161384894519469,0.0012725336898941,0.000108984374567988,0.0101850324541405,0.00884321595795953,0.0102589451182474,0.00832330071971749
"m__1-Decanol",5.60195357792114e-06,0.00268469317500435,0.000891736978026223,0.00736253335617569,0.00957185896020857,0.0254724513860583,0.0062732833486855,0.00052473194863655,0.00276733245899267,0.00013674845079579,0.000612277003030069,0.00539841032234661,0.000292899183631164,0.014363831435185,0.00407552346416154,0.00536226089496773
