"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.000144223403214241,6.37109239859829e-05,0.000168009031731323,5.34936704526209e-06,0.0180519057734412,0.0169302903093928,0.0703313433849724,0.0077902848903953,0.000118722988308911,0.000620926099444309,0.007425219442548,0.0173795605509945,0.00382106557394272,0.00208597505484218,0.000440327661934921,0.00969179429707961
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",1.27937707859109e-06,0.0334215129103946,0,3.18307481561918e-05,5.67251970363863e-06,9.84563212155477e-08,0.000115522654332961,4.42104259122435e-06,4.75574274244994e-05,0.00876463228471934,3.39614961446761e-05,4.52120398293349e-05,2.2083675617531e-06,0.0476277170754963,0.00021205286066577,0.00602091195069468
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",2.82624780304703e-05,1.42415536359788e-07,3.57182058703874e-05,0.00978591497434995,0.0375269715738898,0.00102791637522842,0.000340161888382348,0.000354803305266349,0.0228462818314285,5.6310406248828e-06,0.00026061848955264,0.00135775837363939,1.08952778027237e-05,4.82164850945148e-05,0.000373277293063453,0.00493350466718401
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00159405044347347,1.56444049364493e-06,0.0724906364550443,7.639091711186e-05,5.63777461160596e-05,0.0130712069044768,4.64253850605748e-06,0.00891661035356804,0.0309404810557684,0.0788955294955573,0.000211471908216292,0.000120117753974742,0.000102748807016135,0.0305752250149513,0.0311609057563272,0.0178811973060401
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0252130283803061,0.000217683899779495,0.0142931086348561,0.0298333918147949,0.00990276159250163,0.000185748619626622,3.2892050463889e-06,0.0667358153517189,0.0269202851107925,0.0842525884725649,0.0338895738644884,0.0205781223004912,0.00777058394306634,0.0144437513568759,0.0100242822012719,0.0229509343165454
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.00912193677181133,0.010452364230522,0.000159598970865083,0.000230952938290229,0.00146611135149102,0.000109572989796146,0.00141517575931412,0.0183925768904334,0.00941057314622961,0.0206619450643387,0.0434293011562537,0.00927349442538566,0.0171239084511278,7.62991089111473e-05,2.9479434470992e-07,0.00942160706994097
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",8.19938110326286e-05,0.0291101389480135,0.000405946203238892,2.05251704627153e-05,0.0478421867409991,0.000141736829209309,0.0122370598314462,5.62483518984998e-09,0.0262730632931343,2.00398088955477e-07,1.93283027416298e-05,3.16275682775055e-05,0.0151269778006231,0.0263888558580656,0.000174483782622291,0.0105236086775194
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.000377183597087763,0.000476403823837805,0.00109904639537479,0.000893275421640121,0.000146615114326727,0.0456434798048305,2.71007274580032e-05,4.27110484035782e-05,0.000453067104994927,0.00103634246832892,0.00901093435951578,0.000174794225709194,0.00121546475312937,0.0124944095804399,1.29596839991861e-05,0.00487358587393844
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",1.06652835972872e-06,0.0229345612857121,0.0402980069590148,0.0287192112933624,5.24297714787185e-05,0.0164643961531295,0.000185953157332369,0.0253512376100636,0.00030478090698713,0.00996013181124521,0.0268282815931058,0.00050079581171083,0.000172332023438678,0.0416138402117373,0.0239052455182582,0.0158194847089958
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.000120840260719862,0.0101025872748411,0.000430965458855576,4.79985493677357e-05,0.0175954620854966,0.0049901606834065,0.00728027264683175,0.000104413854650078,0.000125078532354875,0.00015531913056589,0.0198447059380862,0.000325563992900848,0.016936530937767,4.64693430677849e-05,0.000882084033201148,0.00526589684814086
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",3.81059220070248e-05,0.0130039431781012,1.10598579338717e-06,0.260091354175721,0.000491309917671442,0.044173470825464,0.125385670828093,0.038879469599341,0.0211320120122877,0.000734510933467159,0.0749949100336133,0.0623548846339997,0.109919881008382,0.125806935525237,0.0983081123212403,0.0650210451266946
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",4.10378158669638e-05,2.79682610898864e-05,0.00911125195526058,0.0092268521203879,0.00098810196431141,3.92325120666148e-06,0.00698905821715833,0.0270663386036847,0.0113480996799831,3.74589937358885e-06,0.00774422024431691,0.00291007909257282,0.000121218154588124,1.75638342400007e-05,2.36226642212346e-05,0.00504153878388415
