"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0,0.147262243915643,0.175074157397348,0.132686427512217,0.123302660420997,0.181849449510368,0,0.102489146953158,0.265810609391568,0.0816891864324969,0.118473948695651,0.0739341083537954,0.131026327952905,0.233386840430199,0.0904387989290806,0.123828260393029
"m__(-)-Menthone",0.158270559640038,0.0141449561640444,0.214155185248865,0.0879782663819629,0.129730433185705,0.277039560900918,0.17016830039547,0.0281566101800994,0.155192347461284,0.108165922385324,0.131688414033176,0.133603610297718,0,0,0.247867558343289,0.123744114974526
"m__(+)-2-Bornanone",0.178438375168443,0.0466947638270812,0.0830038925415699,0.163649353044695,0.0272993112570762,0.123752898612085,0.0358148910915712,0.0393389163567532,0.0382487830559216,0.09111863974688,0.130858537190969,0.0671622699344194,0.0400726999704,0.0658351903274697,0.256964442784403,0.0925501976606492
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0.052980233454219,0.0341657888552837,0,0.0210661547307819,0.0123017649884803,0.0373965301848258,0.0449061340981783,0.0711847057884106,0.0824516867329999,0.12419321001137,0.0932910263282772,0.129627977874748,0.0452440621324466,0.137018102893407,0.346645381975597,0.082164850669935
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0.0566768011026996,0.0268525937054911,0.0857772259139417,0,0.0534083644879988,0.0367219261109034,0.166980068299314,0.361817081411055,0.0155773444410956,0.0475635580684739,0.144347019384495,0.0528532588543162,0.0620403657266047,0.0715559043383416,0.210935193347091,0.0928737803461215
"m__(S)-3,4-Dimethylpentanol",0.0114196101760663,0,0.0147867964855329,0.116120059154812,0.0630679986840451,0.053601693264917,0.0104926438744838,0.244839343756781,0.0216352006126327,0.0823239873623218,0.120927221538086,0.0479399428310245,0,0.0510430126627581,0.0728741772160939,0.0607381125079703
"m__1-Butanol",0.0246599818391991,0.0897749980983966,0.0724944719055438,0.10117773172127,0.0563373759010917,0.0213694458199005,0,0.15223159089198,0.192693104782121,0.0270183525122692,0.0816216771703313,0,0.014032939866732,0,0.0966248597793343,0.0620024353525446
"m__1-Butene, 4-isothiocyanato-",0.0660999916475855,0.116712143846227,0.0112444626688959,0.0731296514225714,0.0901435015980406,0.0470921690421854,0,0.13578931272243,0.0591582508603387,0,0.0363471531149132,0.103340474996837,0.0705302784512334,0,0.157155143839446,0.0644495022807137
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0.0231777979894292,0.0130409595853873,0.00762783207642004,0,0,0.0513250027880978,0.0443533969410887,0.115081941024597,0.0121157123430743,0.0225664648824067,0.0522187564291939,0.145121753083773,0.0120018564649682,0.0684875525745737,0.357697223648173,0.0616544166554122
"m__1-Decanol",0.0168282499687957,0.0862328360281618,0.122879600184904,0.0812072091708067,0,0.0899887546891106,0.0582629204066422,0.233069635136818,0.0589478596091291,0.188504322323058,0.369352449213497,0.178827540982224,0,0.0944697521304952,0.020084603466876,0.106577048887368
"m__1-Heptadecyne",0.0882014316884677,0.115254204517588,0.0889971288328671,0.0260819058571585,0.0572947305742065,0.0431159995072109,0.069413628444406,0.0929214641630859,0.0330019710578641,0.0718211536580541,0.0492582024577358,0.0162676778387867,0.0427336430703578,0.0574917206622063,0.167658369897913,0.0679675488151939
"m__1-Heptanol, 3-methyl-",0.0606902777802972,0.0870107303492168,0.0399873720332557,0.0795472406842686,0.0615724704375379,0.151667452192471,0.123930544310679,0.112050605135187,0.103790463268023,0.0519720044602072,0.110857748595044,0.0688448126137454,0.0743882512803938,0.148718042223671,0.0420951278141374,0.087808209545209
"m__1-Hexadecanol",0.012375274254406,0.0142265013658771,0.0418051426631292,0.213640406334945,0,0,0.0469139367562735,0.147549110695414,0.0622283316160555,0.00900611750408974,0.0561798508590641,0.140284673487948,0,0.0855209727420339,0.312161191191787,0.0761261006314015
"m__1-Hexadecyne",0.0223824813917527,0,0.0378290730011235,0.095662516298868,0.0852591011861547,0.118217452718752,0.0617342837677425,0.0334986850768991,0.139446245057551,0.0622377302062929,0.106033677849175,0.0281335134388429,0.0540820497022294,0.111689579119111,0.219264731691221,0.0783647413670478
"m__1-Hexanol",0,0.0193199401264997,0.0586767896889161,0.228833985917272,0,0.0983526888994311,0.0311281768276351,0.0518323268987474,0.0534256743013877,0,0.0569856192015847,0.182053052024805,0.027612532765444,0.129450402623451,0.493142165883687,0.0953875570105907
"m__1-Nonanol",0.387753601487508,0.321830750042598,0.297072859955775,0.458632859354281,0.149960214518592,0.117260599969317,0.185696806388281,0.323927016469703,0.47719769038982,0.189287883793727,0.307402406210239,0.410462379180071,0.19005220873982,0.101874383382413,0.510948238821067,0.295290659913548
"m__1-Octen-3-ol",0.0603236316164311,0.0072449775474374,0.130142543949793,0.129165898431652,0.0760926564794697,0.102370945559202,0.0559473148077961,0,0,0,0.277425532192388,0.0670719120035666,0.0446064314049286,0.0153995680345195,0.273378207050273,0.0826113079384971
"m__1-Pentadecyne",0.105085888864065,0.0492878017999908,0.0825513885976626,0.0245771805192455,0.0514082415680217,0.251426367934228,0.0580056751611705,0.0162486828430068,0.0305652758492848,0.0384222025986166,0.0369999077470643,0,0.0192029703439491,0.0710220672465203,0.376936644261267,0.0807826863556062
