"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0.650590079499722,0.596351133292229,0.483998808686557,0.657968350462426,0.529552433704571,0.595858341007374,0.335864286518308,0.445054445220131,0.794338017102573,0.35831387313726,0.457233543837574,0.578381078502744,0.4480788980851,0.268376231221393,0.529361661462594,0.515288078782704
"m__(-)-Menthone",0.909178461835796,1,0.885481656142531,0.622725169265806,0.799411308216229,0.70018059378071,0.658779912117963,0.585157287336654,0.974911724619086,0.66080523355765,0.599639753067973,0.927972797712885,0.731395634744663,0.641625505305583,0.58665360096503,0.752261242577904
"m__(+)-2-Bornanone",0.542784121846547,0.580971933108756,0.251332693130548,0.515086222720647,0.471351423862675,0.508582166114034,0.329599673306371,0.427122632194089,0.394624881338386,0.36384031571404,0.267016284668782,0.420146304093236,0.277407876964045,0.323619907549208,0.531643816282186,0.413675350192903
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0.629741593083647,0.438760676932957,0.214607904402807,0.397275997647893,0.302883480960759,0.431324067224161,0.367437854644518,0.325104327493049,0.157614084697258,0.298167746405938,0.223505485078512,0.328874245112218,0.265715948855972,0.305292080752414,0.57950706928832,0.351054170838695
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0.540365765696316,0.409549903317416,0.183783492456588,0.44355365985257,0.182330987249158,0.434755046297139,0.146999364518071,0.126544076469923,0.208762489285701,0.145465924487278,0.236499386013889,0.131249539489805,0.144842251983339,0.171969908696108,0.510363863655374,0.267802377297912
"m__(S)-3,4-Dimethylpentanol",0.786034880062666,0.419794629565637,0.273309732628927,0.465850550487744,0.287567118233704,0.60938436295449,0.188458639027254,0.262832707868237,0.130693260080936,0.360295473122686,0.323971580192966,0.282250480011789,0.239994745121886,0.234494189134828,0.554312306462007,0.36128297699705
"m__1-Butanol",0.523756443650253,0.526217617550119,0.2800364009759,0.432042108997468,0.298295077240934,0.356523452032219,0.159294296050005,0.234114857050676,0.267397795315533,0.291817639353696,0.18785068616889,0.414559997812209,0.210140582485778,0.19371322525531,0.412138397864116,0.319193238520207
"m__1-Butene, 4-isothiocyanato-",0.51757552513276,0.478806833087174,0.392295657514309,0.417532579915997,0.336737136234918,0.361486016447069,0.237929166748061,0.210538016949864,0.212675044861899,0.402684251377145,0.251969200396926,0.265208549773471,0.215857967346668,0.235472190023528,0.506524499434066,0.336219509016257
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0.515795804930561,0.351818559810476,0.264065833909736,0.573550261550875,0.374159914496506,0.464602240928352,0.18831119339801,0.4074664621815,0.290977559573255,0.368513667176199,0.352385683982133,0.467220346609191,0.386313196307043,0.318701816759569,0.577256947137321,0.393409299250049
"m__1-Decanol",0.684570766691237,0.40648980612557,0.260629140695094,0.636720311009235,0.448107246832312,0.589704695876135,0.469514720499075,0.357876093524069,0.402074566393823,0.384589361270753,0.724735860288979,0.478840532243717,0.320488491678422,0.224447409021797,0.634997841858003,0.468252456267215
