"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.104709344328784,0.111888347619133,0.0286913409942984,0.138486260659543,0,0.187439386680243,0.0554162576464401,0.0754879485211434,0.247947429297837,0,0.178495772557098,0.0390335897867278,0.116367252215098,0.269600735011298,0.106417698684918,0.110665424266837
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0.132740134613353,0.0913909294878783,0.056542492343334,0.307123882909614,0,0,0.0600461144662095,0,0.0552648330456953,0.0998046061055194,0.108023859084544,0.12038434912459,0.13023711743971,0.0532299909957006,0.0314460654886167,0.083082291673651
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.0502604852778164,0.143102571245354,0.0717999902772495,0.120399352525117,0.28904100049158,0,0.0530994883222994,0.0245044174775502,0.339438674519354,0.0110546729519607,0.112017009086362,0.179556430752199,0,0.0285160666048396,0.0297053011490683,0.0968330307120499
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.0641166136204276,0.036545808201614,0.0591387961276809,0.157341814410454,0.0536985964289378,0.0795521449254068,0.160073409253802,0.12026476231393,0.0753720014881517,0.151846268863607,0.0570548438892607,0.0345147011229566,0.109701841229916,0.028070503064139,0.258236708137489,0.0963685875385183
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.106554129722529,0.206727072636909,0.405252003558143,0,0.0303268911970632,0.123285561296662,0.217944788528204,0.0181514203537409,0.212515794995479,0,0.0200957239937948,0.0182240157444445,0.132760190023465,0.13684612397866,0.108837860991444,0.115834771801369
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0655226654663453,0.0248899390925665,0,0.320836202085658,0.0812251701291972,0,0.0121650272437216,0.0376454777748995,0.0683330127025387,0.00982637595729838,0.0712484759779996,0.00482837373663952,0.121871007908704,0.18889969012461,0.0568275326330002,0.0709412633888786
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.107869609697403,0.209905142351966,0.159500993797168,0.304935786245193,0.126121126279218,0,0.0409185298095717,0.0954084032343507,0.117024493112595,0.0265506092477792,0.0946174587982971,0.0435098375898612,0.100867798510309,0.0653706203667647,0.32331027478706,0.121060712255169
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0.0409951937995213,0.0885794722708008,0.527532385389893,0.0837614715931599,0.0149586052347805,0.0276477891902763,0.0193320264111108,0.0520228483946319,0,0.0243584533258118,0.128585995705887,0,0.127576781640606,0.112656670818032,0.0832005129183008
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.127585549681511,0.201713822995538,0.0520520851858838,0.126755779714296,0.072588747745354,0.114710850598754,0.0334538249202343,0.039901829225896,0.0751233443911163,0.156393064620089,0.220331603748923,0.0499736681742189,0.174316410362728,0.0539131884247749,0.134129526551129,0.108862886422696
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0,0.105494647309355,0.223383003261775,0.0471729355044672,0.3621059186824,0,0.0247724191144876,0.0945413487799533,0.074732359216178,0.0764566170334538,0.1164326782257,0.0704342953716389,0.0704042944727202,0.177733552614535,0.103357217021219,0.103134752440526
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0,0.141571696047752,0.263007471074773,0.350835306412343,0.223846331125365,0.0106179687678297,0.140740024689128,0.0688169650602797,0.181833557182418,0.0901630565838494,0.171884484504091,0.149048122956091,0.0924045146457629,0.278881647536369,0.486613376096202,0.17668430151215
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",0.0923620844271675,0.714715105850354,0.627199238324812,0.439338839626986,0.140690010813901,0.188694677957875,0.230933792919983,0.0697291240064653,0.292404530961174,0.278392211033067,0.611768091978099,0.41284219448522,0,0.190623063023244,0.057994080223707,0.289845803042137
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.177069836575679,0.0494138496690658,0.00769738131060502,0.0619144778496132,0,0.0426289095499426,0.0537288703264369,0.181870974851753,0,0.0369248869735594,0.159516908461343,0.044731675009091,0.094329608700883,0,0.0387460449770456,0.0632382282836678
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.0115557609732217,0,0.0448367398301004,0.121946960682208,0.0590364430277538,0.0106179687678297,0.0761354757917614,0,0.230976721338713,0.0370418154576204,0.0540351689610926,0.143696816053169,0.216148509869969,0,0.0652287030620129,0.0714171389210301
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0.0639906709413173,0,0,0.130415722544121,0.0272164408178772,0.0193621783413365,0.0189233757124558,0.020165093549234,0,0.0141678139336475,0.155445596430308,0.0438051831938591,0,0.100898677575929,0.140037021448162,0.0489618516325498
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0,0.105787745331619,0,0.162284162379907,0.104448138976627,0.0189346673673926,0.0208157132837013,0.0889102588618337,0.0834026570934389,0.0279122920343205,0.0214354389267144,0,0.0512407750967759,0.0831718609307822,0.0544002393210356,0.0548495966402766
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.283818921340187,0.110150522455499,0,0.209324149338169,0.0524370093091101,0.0772215910387615,0.0131462257323981,0.0194682086606529,0,0,0.224178965441888,0.125710159071793,0.0269513167716808,0.084819095838827,0,0.0818150776665978
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.0827780854868563,0.124841868872904,0.179865969150057,0.171338840743011,0,0,0.12644171363153,0,0.0701416322107306,0.027478758480588,0,0.09291376467469,0.144884629343251,0.0523982723863928,0.0114803096228283,0.0723042563068559
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0,0.0754203581607401,0.0558772865510595,0.117717695424824,0.397647927553255,0,0.0668936776105559,0.170738605313295,0.237150431498711,0.0174024809683316,0,0.015376513284375,0,0.0553938964377405,0.0305646360899535,0.0826789005928561
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0.0293186164120596,0.0175693687712234,0.0269249963539686,0.179109739493524,0.346393587386207,0,0.101447352084248,0.106658920414804,0.0845479848283374,0.0490108302275976,0.0597197238017767,0.0644006866727708,0.104681504385297,0.101620891900883,0.00838945703206689,0.0853195773176509
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.0625463816790604,0,0.061880254778419,0.320589969805153,0.220603814007822,0.0260052398594626,0.0389426983373186,0.165862294595824,0.118196583159556,0.15928087504116,0.153226372359418,0.110338512363109,0.19260839174514,0.339665633640912,0.0538139513570078,0.134904064848624
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0.225714450170072,0.29724351585594,0,0.0508583210907537,0.0459910101680339,0.110605740570174,0.0135474167032354,0.0195695000688769,0.0649367004489305,0,0.124863923285623,0.113248502359263,0.172047557033542,0.247396033365695,0.0678625477451545,0.103592347924353
