"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0,0,0,0,0.0413396837089519,0,0,0,0,0,0,0.0384595170490433,0,0,0,0.00531994671719968
"m__(-)-Menthone",0,0,0,0,0,0,0.0690645092739141,0,0.233449349997545,0,0,0,0,0.00903316573372001,0,0.020769801667012
"m__(+)-2-Bornanone",0,0,0,0,0,0.0437946366954901,0,0,0,0,0,0,0,0,0,0.00291964244636601
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0,0,0,0,0,0,0,0.012346824558466,0,0,0,0,0,0,0,0.000823121637231064
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0,0,0,0,0,0,0,0,0.375940362342955,0,0,0,0,0,0,0.0250626908228636
"m__(S)-3,4-Dimethylpentanol",0,0,0,0.054718816401237,0,0,0,0,0,0,0,0,0,0,0,0.0036479210934158
"m__1-Butene, 4-isothiocyanato-",0,0,0,0,0,0,0,0,0,0.0815840850461358,0,0,0,0,0,0.00543893900307572
"m__1-Decanol",0,0,0,0,0,0,0.204212345927996,0,0,0,0,0,0,0,0,0.0136141563951997
"m__1-Hexadecyne",0,0,0,0,0,0,0,0,0,0,0,0.00961564640189968,0,0.0582767554034254,0,0.00452616012035501
"m__1-Hexanol",0,0,0,0,0,0,0,0.0342517824614968,0,0,0,0,0,0.0124591065681656,0,0.00311405926864416
"m__1-Nonanol",0.0791903625055752,0.166622646989452,0,0.306787936801801,0.342384885545331,0,0.187701435129797,0.0149283733479453,0.300625662060337,0.536329590126049,0.15989743817654,0.106627413376525,0,0.273587058091954,0.173045711839868,0.176515234266078
"m__1-Octen-3-ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177424028474177,0,0.000118282685649451
"m__1-Pentadecyne",0,0,0,0,0.0514111943133735,0,0,0,0,0,0,0,0,0,0,0.0034274129542249
"m__1-Propanol",0,0,0,0,0.0544074146846515,0.123028956962982,0,0,0.032445858266059,0.0102235728250559,0,0.098738408578977,0,0.0993996732812547,0,0.027882925639932
"m__1-Propanol, 2-methyl-",0,0,0,0,0,0,0.0210226055767018,0,0.00518558307359014,0,0,0,0,0.00462031736866311,0,0.00205523373459701
"m__1-Propanone, 1-cyclopropyl-",0,0,0,0,0,0,0,0,0.0577943214196435,0,0,0,0,0,0,0.00385295476130956
"m__1-Tetradecanol",0,0,0,0,0,0,0.0150865293396061,0,0,0,0,0,0,0,0,0.00100576862264041
"m__1-Tetradecene",0,0,0,0.0341988092483117,0,0,0,0,0,0,0,0.0227797343229747,0,0,0,0.0037985695714191
