"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0.0144262716771172,0.0556357106539614,0.0281645696143522,0.0551270484395853,0.00810127158116812,0.0926400708890967,0.0178457455967949,0.0203656657362957,0.015716898848348,0,0.0214218503465975,0.0113842428793519,0.066723919757855,0,0.0435412462018937,0.0300729674814945
"m__(-)-Menthone",0.716324202524332,0.708288220374769,0.718304771805767,0.671657576903147,0.591338565295771,0.599067351812506,0.440985136526739,1,0.922496851963949,0.562586727085214,1,0.921626440758135,0.477311027383498,0.700780257710458,0.316773793179036,0.689836061554888
"m__(+)-2-Bornanone",0.0430858797839207,0.0419340977008874,0.0676272948063525,0.0129742434179132,0.00392280721398581,0.0108766627877561,0.0218526695376572,0.00713540909332595,0.00445145671478865,0.053858336416374,0,0.00516358138512926,0.00574674380829437,0.0359617704882822,0.00542889647480065,0.0213346566419645
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0,0.00265669499507568,0.00311176788466424,0.00544382250344735,0,0,0.0243261342899112,0.00512038281611038,0,0.0148226396099591,0.0609873314694423,0,0,0.00881745320473746,0.00887903629056181,0.0089443508709273
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0.00664448829490569,0,0.00668287395966124,0,0,0,0.0107289450587512,0.00708120671415708,0.0111685876505189,0,0.0101489879240149,0.00689628048628896,0.00804825467472148,0.00746573937554603,0,0.00499102427590437
"m__(S)-3,4-Dimethylpentanol",0.0141001500313096,0.00506037141919177,0.00940058549772692,0.00628195700046358,0.00219677203983206,0.0204165435153253,0.00884443579365792,0.00658893031156863,0.00197842520657273,0.0163540256899009,0.00596863825081851,0.0171266343852569,0.00841275779404885,0.0102845192347401,0.0246076437732373,0.0105081593295767
"m__1-Butanol",0.0505183640236903,0.0539674493660664,0.0639201877661395,0.0126289091574839,0.0452459333355655,0.0473522076826334,0.0310876716155293,0.00278234526908909,0.0299344335603179,0.0443071498513613,0.0407471805181218,0.11408611559896,0.00651037640339859,0.0112486028537803,0.0414252515641402,0.0397174785710852
"m__1-Butene, 4-isothiocyanato-",0.0290669106759627,0.0136370349891004,0.0163330591840989,0,0.00427150118856233,0.00271672805630323,0.00695649751260525,0.00534598808240862,0,0,0,0,0.00433842423065984,0.00684802499505435,0,0.00596761126098371
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0,0,0.0120267808113776,0.0044506614124663,0,0.0100717657704174,0.0113441712789034,0,0.0102383504440139,0.0378906318205233,0.0172932258872943,0,0.0233686225925658,0,0,0.00844561400117081
"m__1-Decanol",0.0350006285183588,0.0663118330561058,0.00323300559445635,0,0.0026864154004505,0.0202604271862081,0.0165532295192162,0,0.00523700789975136,0.0156587173231491,0.0138816738941778,0.0164434266023687,0.00195221743848959,0.0441405086167865,0.0305226211320173,0.0181254474787691
"m__1-Heptadecyne",0,0.00309947749425496,0.00991593054595862,0,0.003568985386842,0,0.00352522480501826,0.0141714496632308,0.00734238003870562,0.00811147066393117,0,0.0264677990713953,0.00198750870049286,0,0,0.00521268175798864
"m__1-Heptanol, 3-methyl-",0.00365966820874298,0.00885052815016537,0.0032749658798312,0.00588811933666157,0.0210036519373625,0.00975235712519109,0.0134496624513245,0.00523247995516592,0.00799886236243853,0,0.00242493151464464,0.0040370386617046,0.00198928167881623,0.0218125178930164,0.00571995109923246,0.0076729344169532
"m__1-Hexadecanol",0.00451438298767957,0,0.0099453548623998,0,0.0190070323556658,0,0.00706636069396059,0.00782969544150955,0.0029360671948606,0.0297585410763123,0,0,0.00300652799184727,0,0.00982401460834026,0.00625919848083839
"m__1-Hexadecyne",0.0069648408218864,0,0,0,0,0,0.00922076192477818,0,0.00627074771996314,0,0,0.017573533285524,0,0.02225367876156,0.00142064580648989,0.00424694722134677
"m__1-Hexanol",0,0.00283380799474739,0.0143935716460494,0,0,0,0.00321868351762536,0,0,0,0.0112641980035106,0.00411587803137151,0.00189975759036919,0,0,0.00251505978557823
"m__1-Nonanol",0.000671321544547079,0.00351274116015562,0,0,0,0,0.0134540689806201,0,0,0.0117525154525236,0.0034789917549996,0.0154850303491088,0,0,0.00420017021049185,0.00350365596349645
"m__1-Octen-3-ol",0,0,0.00655162202784483,0.0108647292177127,0,0.0028345995907299,0.0450189879076374,0,0.00289240434372477,0.0159780485360339,0,0.00417709811165584,0.00526142398573272,0.0378931241165714,0.0060384465708369,0.00916736562723203
"m__1-Pentadecyne",0.0108542473802163,0,0,0,0.00540475660593601,0.00362953291121498,0,0,0,0,0.0269321749370085,0,0.00365706328832884,0.00971162975190096,0.00319645306460225,0.00422572386261385
"m__1-Pentene, 4,4-dimethyl-1,3-diphenyl-1-(trimethylsilyloxy)-",0,0,0,0.00538094097951683,0.0230842116823011,0.0320749115328065,0,0,0,0.00180581452381397,0,0,0.00194708479472013,0,0,0.00428619756754391
"m__1-Propanol",0.0130342339070659,0.0294798454591972,0.00330290841812027,0.00796179970858139,0.00259341143591285,0.0389429549284423,0,0.0107229163156239,0.00294041177490626,0.0138059837410908,0,0,0.0233153641211911,0,0,0.0097399886540088
"m__1-Propanol, 2-methyl-",0.0187108790384544,0.0169458548964399,0.0062305640423599,0,0,0,0.0157522440245692,0.00588058689064948,0.0194684649654475,0.044077877971342,0.0221991457749741,0.0133930523099239,0,0.0142563257344771,0.00104593418321847,0.0118640619887904
