"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0,0,0,0,0,0,0,0,0,0,0,0,0.00513119489604648,0,0,0.000342079659736432
"m__(-)-Menthone",0.458005916671246,0.0665039091736859,0.0366801190445664,0.0433703714823326,0.324849269294996,0.0145850375687941,0.228931470517562,0.161384386375739,0.389989591841727,0.241335984680379,0.424267880016714,0.0266250989839311,0.772129505522124,0.117574431236724,0.214978158917666,0.234747408755213
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0,0,0,0,0,0,0,0.00354490978063717,0,0,0,0,0,0,0,0.000236327318709145
"m__1-Butanol",0,0,0,0,0,0,0,0,0,0,0.0493085428839554,0,0,0,0,0.00328723619226369
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0,0,0,0,0,0,0,0,0,0,0.000333180351675149,0,0,0,0,2.22120234450099e-05
"m__1-Decanol",0,0,0,0.00181933037891113,0,0,0,0,0,0,0.0288545726674293,0,0,0,0,0.00204492686975603
"m__1-Hexadecanol",0,0,0,0,0.00224746541206959,0,0,0,0,0,0,0,0,0,0,0.000149831027471306
"m__1-Octen-3-ol",0,0,0,0,0,0,0,0,0,0,0.00248268681457938,0,0,0,0,0.000165512454305292
"m__1-Pentadecyne",0,0,0,0,0,0,0,0,0,0,0,0,0.00406265218517265,0,0,0.00027084347901151
"m__1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",0,0,0,0,0,0,0.0294262433175128,0,0,0,0,0,0,0,0,0.00196174955450085
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",1,0.180912380551234,0.883385275158999,1,0.924849221338836,1,1,1,1,1,0.832326097529232,0.439483935081642,0.758801188501593,0.825324156985649,0.726182768080356,0.838084334881836
"m__1105_unknown",0.107961397096802,0,0,0,0,0.174619884752462,0,0.0619284169837256,0.0993554189790329,0,0,0,0,0,0.13339648470204,0.0384841068342708
"m__1152_unknown",0,0,0,0,0.00927598757767624,0,0,0,0,0,0,0,0,0,0,0.000618399171845083
"m__2-Bromomethyl-1,3-dioxolane",0,0.152041139774112,0,0.00148274862950375,0,0,0.0776097156453761,0.0227505690660894,0,0,0,0.179600604745762,0,0.15740069470627,0.0256570150261439,0.0411028325062172
"m__2-Heptanone, 5-methyl-",0.469920062794097,0.00176690368443674,0,0,0.189583586476915,0.0284135145311599,0.127589101335323,0.0224018231058773,0.104896254797411,0,0.564597087411893,0.0070508402157744,0.467991922113487,0.283602726015707,0.0460789872133302,0.154259520646361
"m__2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0,0,0,0,0,0,0,0.00365119098667998,0,0,0,0,0,0,0,0.000243412732445332
"m__2-Hexene, 3,5,5-trimethyl-",0,0,0,0,0,0,0,0,0,0,0.0170826854445944,0,0,0,0,0.00113884569630629
"m__2-Methylpropyl butanoate",0,0,0,0.000533315249139442,0,0,0,0,0,0,0,0,0,0,0,3.55543499426295e-05
"m__2-Octanone",0,0,0,0,0,0,0,0.00207757151190708,0,0,0,0,0,0,0,0.000138504767460472
"m__2-Oxohexane",0.517264089535811,0.472598274989306,0.368038038026545,0.273142045207668,0.776186146148914,0.224865123788011,0.555033703764596,0.181180752268333,0.639420347191769,0.674021249001421,0.517407782884777,0.241306911796484,0.804732439734825,0.663103541720668,0.233054868013035,0.476090354271478
"m__2-Undecanone",0,0,0,0.000441907343349442,0,0,0,0,0,0.0138592602127279,0,0,0,0,0,0.000953411170405159
"m__218_unknown",0,0,0,0,0,0,0.0193192128621732,0,0,0,0,0,0.0233784637360586,0,0,0.00284651177321545
"m__251_unknown",0,0,0,0,0,0,0,0.000944473788271533,0,0,0,0,0,0,0,6.29649192181022e-05
"m__269_Xylene",0,0,0,0,0,0,0,0,0,0,0.0244611849000253,0.00175710501688276,0,0,0,0.00174788599446054
"m__272_Xylene",0,0,0,0,0,0,0,0.00112527684270229,0,0,0,0,0,0,0,7.50184561801529e-05
"m__3-Hexanol, 2-methyl-",0,0,0,0.000511863527902362,0,0,0,0,0,0,0,0,0,0,0,3.41242351934908e-05
"m__3-Octanol",0,0,0,0,0,0,0,0,0,0,0.032700709224109,0,0,0,0,0.00218004728160727
"m__3-Pentanol",0,0,0,0.000509813591991619,0,0,0,0,0,0.00572501962509071,0,0,0,0,0,0.000415655547805488
"m__3,4-Dihydroxyphenylglycol",0,0,0.00433423694122033,0,0,0,0,0.000155866514554132,0.00153062946536645,0,0.00268586522258831,0.00193005246195536,0,0,0,0.000709110040378972
"m__309_Xylene",0.0131143558876856,0,0.00813326533151362,0.0657603749764644,0.0594488418077961,0.00621140702161586,0.0394744073611696,0,0.0325207649695094,0.0609353853891943,0.0889313432017919,0.00188645884344789,0.025989534675619,0.010774789004457,0.0191513678583843,0.0288221530885766
"m__367_unknown",0.0908270772106244,0.0390089434515975,0.132560268911054,0.16044585483723,0.0827620281091432,0.17550690138415,0.0719314488373059,0.130310965877749,0.0522472692048868,0.134580949045532,0.130635698726599,0.0873021095280226,0.1341563713391,0.134929227548231,0.0358735704386128,0.106205245629989
"m__385_unknown",0.82907635530634,1,1,0.739577952330145,1,0.636396129697425,0.905247814359195,0.815857128029206,0.459992032765707,0.91827836887272,0.86694370046648,1,1,1,1,0.878091298788481
"m__4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",0.0317981907703881,0,0,0,0,0,0,0.00324362810374135,0,0,0,0,0,0,0,0.0023361212582753
"m__4-Octanone, 5-hydroxy-2,7-dimethyl-",0,0,0,0,0,0,0,0,0,0,0.001637023973025,0,0,0,0,0.000109134931535
"m__5-hydroxy-7-methoxyflavanone, tert.-butyldimethylsilyl ether",0,0,0.176065789747297,0,0,0,0,0.0441355007920186,0,0,0.0216614685725441,0,0,0,0,0.0161241839407907
"m__679_unknown",0,0,0,0,0,0,0,0,0.00248374170277542,0,0,0,0.0163273091502365,0,0,0.00125407005686746
"m__973_unknown",0.0988441324519708,0.0138572279472517,0.0846195042799222,0,0,0.0053820811928114,0.0508682129507009,0.086437398726179,0.0191863990282676,0,0.0968177132210402,0.0380084728470693,0,0.0391268515629471,0.0300514741608294,0.0375466312245993
