"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0,0,0,0.0225505408407796,0,0,0,0,0,0,0,0,0.00875664247708463,0,0,0.00208714555452428
"m__(-)-Menthone",0.371021631202061,0.0712670492999475,0.262697608653031,0.322507437405647,0.26995410502125,0.256751349146649,0.109045134766694,0.24386732267267,0.528203630036593,0.153313531882647,0.843485104335631,0.0720381338271862,0.62316086195055,0.127555063643771,0.156377673949288,0.294083042519574
"m__(S)-3,4-Dimethylpentanol",0,0,0,0,0,0,0,0,0,0,0,0,0.00146051810842917,0,0.0224132167089479,0.00159158232115847
"m__1-Butene, 4-isothiocyanato-",0,0,0,0.000885650075578556,0,0,0,0,0,0,0,0,0,0,0,5.90433383719038e-05
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0,0,0,0,0,0,0,0.0183190347561137,0,0,0,0,0,0,0,0.00122126898374091
"m__1-Heptadecyne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332310589116156,2.21540392744104e-05
"m__1-Hexadecanol",0,0,0,0,0,0,0.0023688831753942,0,0,0,0,0,0,0,0,0.00015792554502628
"m__1-Hexadecyne",0,0,0,0.000467677575810308,0,0,0,0,0,0,0,0,0,0,0,3.11785050540205e-05
"m__1-Octen-3-ol",0,0,0,0,0,0.000939670286336276,0,0,0,0,0,0,0,0,0,6.26446857557517e-05
"m__1,1-Dichloropentane",0,0,0.00684911747310369,0,0,0.00439059981592633,0,0.00595618690088469,0,0,0,0,0,0.00231072535018298,0.000958566062026867,0.00136434637347497
"m__1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",0.0272689091668603,0,0,0,0,0,0.00245490027856909,0,0,0,0.0722135865220017,0,0.020109326906589,0,0,0.00813644819160134
"m__1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-",0.00202248392555253,0,0,0,0,0,0,0,0.00527371656712549,0,0.00546512587275598,0.0238012364534062,0.00173642935399949,0,0,0.00255326614485598
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",1,0.18626032058537,0.437813906957855,0.826043635625874,1,0.542471551921782,0.430881505175017,0.464810208634724,0.570252206760446,0.918786920131998,1,0.502964959352878,1,1,1,0.725352347676396
"m__1105_unknown",0,0,0.0543520182296225,0.0457982177569102,0,0,0.0444541856540451,0,0,0,0.16013452131366,0,0,0,0,0.0203159295302825
"m__1152_unknown",0,0,0,0,0,0,0,0,0,0,0.031168270962005,0,0,0,0,0.00207788473080034
"m__14-Octadecenoic acid, methyl ester",0.00356169281117948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237446187411965
"m__2-Bromomethyl-1,3-dioxolane",0,0.152232494294827,0,0,0.0591849128001678,0.112427130667454,0,0,0.00700751050827321,0,0.00910653244711315,0.0668629632918608,0,0.0714182196061676,0.0179929859926842,0.0330821833072365
"m__2-Butanone, 3-methyl-",0.00148003040535741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8668693690494e-05
"m__2-Heptanone, 5-methyl-",0.134646058650881,0.00175522936909052,0.0326279872144073,0.08098878742742,0.157997985458094,0.0314089559028436,0.0796506235204243,0.0285539010600056,0.147476722397011,0.0296935593866317,0.613089982554498,0.0113649675301737,0.018086115035043,0.0456788009131381,0.0399013684771065,0.0968614029931179
"m__2-Hexene, 3,5,5-trimethyl-",0,0,0,0,0,0,0,0,0,0,0.0149897799487682,0,0,0,0.000456584212017009,0.00102975761071901
"m__2-Octanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0.012607687708062,0,0.000840512513870803
"m__2-Oxohexane",0.260130706479976,0.481773379580559,0.796772793154877,0.551977880299749,0.462787361212038,0.384924635306879,0.413865841572592,0.316363935853231,0.490178657307704,0.767817888339932,0.407365691343278,0.318168794691502,0.556834857562185,0.367409955631322,0.192800298659131,0.45127817846633
"m__2-Propanol, 1-methoxy-",0.00857732798854173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000571821865902782
"m__2-Undecanone",0,0,0,0,0,0,0,0,0,0.0140164990509863,0,0,0,0,0,0.000934433270065756
"m__2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137375745456527,9.15838303043516e-05
"m__2,3-Butanedione",0.00904596424155184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000603064282770123
"m__2,5-Dihydroxybenzaldehyde, 2TMS derivative",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000740864593408788,0,4.93909728939192e-05
"m__218_unknown",0,0.00063280053414098,0,0.0137510386270409,0,0,0.00849916174923675,0,0,0,0,0,0.0296058607870375,0,0,0.00349925744649707
"m__269_Xylene",0,0,0.0143771399763334,0,0.00411528651404258,0,0.0435543000537361,0,0,0,0,0.00178778001065362,0.000597199952694147,0.00155128001434226,0,0.00439886576812014
"m__3-Hexanol, 2-methyl-",0,0,0,0,0,0,0.00307318428863822,0,0,0,0,0,0,0,0,0.000204878952575881
"m__3-Pentanol",0,0,0,0,0,0,0,0,0,0,0.00812086639489731,0,0,0,0,0.000541391092993154
"m__3,4-Dihydroxyphenylglycol",0.00382334900538,0,0.0352948260492448,0.00378558599948791,0,0,0.000794392185762169,0,0.00242233068813642,0,0,0,0,0,0.00472623542741195,0.00338978129036155
"m__309_Xylene",0.0671415229420122,0.00104044459810369,0.00865017874710294,0.0669989913202823,0.00946189123591142,0.0349290887159522,0.134866362089828,0.000840544763831053,0.0838233207835294,0.0768678021843241,0.096543975164845,0.00905549040462399,0.023051949778805,0.00577306925668241,0.0155104424595717,0.0423036716296937
"m__367_unknown",0.0365911644656718,0.0408356806812114,0.112302993078555,0.111410611166293,0.242987864126018,0.0302237568279846,0.0756008242020954,0.13072916183437,0.0497617597500758,0.0926475084270693,0,0.0419826535663243,0.224931177819167,0.221581180294854,0.0292826578012041,0.0960579329360597
"m__385_unknown",0.608817693562443,1,1,0.726445420196648,0.647525473116986,1,1,1,1,1,0.741881924441173,1,0.595810525479468,0.623705251563854,0.39863372680016,0.822854667677382
"m__4-Octanone, 5-hydroxy-2,7-dimethyl-",0,0,0,0,0.00308754152326283,0,0,0,0.00554260196839586,0,0,0,0,0.000385151294184837,0,0.000601019652389569
"m__5-hydroxy-7-methoxyflavanone, tert.-butyldimethylsilyl ether",0,0,0,0.00352005364941613,0,0,0,0,0,0,0,0,0.0259456649178443,0,0,0.00196438123781736
"m__5,9-Undecadien-2-one, 6,10-dimethyl-",0,0,0,0.0113242810507874,0,0,0,0,0,0,0,0.00304847855137113,0,0.00118263244850045,0,0.0010370261367106
"m__875_unknown",0,0.000165273843189122,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10182562126081e-05
"m__9-Octadecenoic acid, ethyl ester",0,0,0,0.00119706070516811,0,0,0,0,0,0,0,0,0,0,0,7.98040470112072e-05
"m__973_unknown",0.02337822846828,0.014572665250606,0.128239066427666,0,0,0.128172102501208,0.123038280293641,0.219842905307395,0,0,0,0,0.0973536830504184,0.00832816141589006,0,0.0495283395143403
"m__Acetic acid",0,0,0,0,0,0,0.0280399965606742,0,0,0,0,0,0,0,0,0.00186933310404495
"m__Acetoin",0,0,0,0,0.00429245308081083,0.00260107126152616,0,0,0,0,0.00312235400116548,0,0,0,0,0.000667725222900164
"m__Acetonitrile",0,0,0,0.0049449270695646,0,0,0,0,0,0,0,0,0,0,0,0.00032966180463764
"m__Benzaldehyde",0,0,0,0,0,0,0,0,0.00411652008935942,0,0,0,0,0,0,0.000274434672623961
"m__Benzaldehyde, 3-bromo-5-methoxy-4-[(4-methylphenyl)methoxy]-",0,0.000766476494592522,0,0,0.0515939921667509,0.0117130620108076,0,0,0.00456843859649707,0,0.0239780620477071,0,0,0,0.00268496649391811,0.00635366652068488
"m__Benzaldehyde, 3-chloro-5-methoxy-4-[(4-methylphenyl)methoxy]-",0,0,0,0,0,0,0,0.0367990672000645,0.0181704703089947,0,0.0748380830380002,0,0.00277966910742365,0.0119100726452556,0,0.00963315748664924
"m__Benzaldehyde, 4-(1-phenyl-2-propenyloxy)-",0,0,0,0,0,0,0,0,0,0,0,0,0.00233058591999634,0,0,0.000155372394666423
"m__Benzene",0,0,0,0,0,0,0.0031097576878168,0,0,0,0,0.00626189889979333,0,0.00165054644299113,0,0.000734813535373418
"m__Benzene, (2-isothiocyanatoethyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0.000325252655123018,0,0,2.16835103415345e-05
"m__Benzene, 1-(chloromethyl)-3-methoxy-",0,0,0,0,0,0.00752179021221468,0,0,0,0,0,0,0,0,0,0.000501452680814312
"m__Benzene, 1-ethyl-4-methyl-",0.00760122668179981,0,0,0.0107870048539821,0,0,0,0,0,0,0.0705994012875194,0.00239672567898472,0.0232849925506037,0,0.0235750999054703,0.00921629673055734
"m__Butanoic acid, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.00316801927285291,0,0,0.000211201284856861
"m__Butanoic acid, butyl ester",0,0,0,0,0,0,0,0.0105418779548554,0,0,0,0,0,0,0.00635185436406274,0.00112624882126121
"m__Butanoic acid, propyl ester",0,0.00101180520519888,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74536803465917e-05
"m__Butyric acid",0.0061662438289175,0.000404602295627408,0,0.00273338729103197,0,0,0,0,0,0,0.0144445202322086,0.000319356104240146,0,0,0,0.00160454065013504
"m__Camphene",0,0,0,0,0,0,0.000702286944498627,0,0,0,0,0,0,0,0,4.68191296332418e-05
"m__Carbamic acid, (2,4-difluorophenyl)-, 5-methyl-2-(1-methylethyl)phenyl ester",0,0.00112231157208838,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48207714725587e-05
"m__Carbon dioxide",0.00991339210465932,0,0,0,0,0.000284410799421531,0,0,0,0,0,0,0,0,0,0.000679853526938723
"m__cis-9-Hexadecenal",0,0,0,0.00235337206255766,0,0.00188981962695353,0,0,0,0,0,0,0,0,0,0.000282879445967413
"m__Cyclobutane, 1,2-diethenyl-3,4-dimethyl-",0,0,0.018399070138709,0,0,0,0,0,0,0,0,0,0,0,0,0.00122660467591393
"m__Cyclohexanecarboxylic acid",0.00246013012171327,0,0,0,0,0,0,0,0,0,0,0,0.00266213871657908,0,0,0.00034148458921949
"m__Cyclohexanemethanol",0,0,0,0.00140744795645667,0,0,0,0,0,0,0,0,0,0,0,9.38298637637779e-05
"m__Cyclohexanol, 4-ethenyl-4-methyl-3-(1-methylethenyl)-",0,0,0,0,0,0,0,0,0,0,0,0.00101896008153805,0,0,0,6.79306721025367e-05
"m__Cyclohexanone, 2,2,6-trimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145282516445909,9.68550109639391e-05
"m__Cyclohexasiloxane, dodecamethyl-",0,0,0,0,0,0,0,0,0.088935968313625,0,0,0,0,0,0,0.00592906455424167
