"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0.000366852414385646,0,0.000287155593631844,0.000506323243434206,0.000355986151010442,0,0,0.000201455001241489,0.000295079340235217,0.000396543779717938,0.000343638890175363,0.000535266884044999,0.000485637894183698,0.000162217166859227,0.000396538997695441,0.000288846357107701
"m__(-)-Menthone",0.000826238345074454,0,0.000385109181385621,0.000858117062517346,0.000603006487536706,0,0,0.000405583637073355,0.000523865855776572,0.000628578652756623,0.000572016590209655,0.000714001638950027,0.00114221166704892,0.000605269967688713,0.000668990255405622,0.000528865956094908
"m__(+)-2-Bornanone",0.00962809139563726,0,0.00809598466778893,0.00682917999117463,0.0114165154688352,0,0,0.00432324106000368,0.00487681339564434,0.0111677718903067,0.00906274169419066,0.0116854968422043,0.00223523437112183,0.00134316470919631,0.0101306900644056,0.00605299503670063
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0.00179172549610184,0,0.0010542984081235,0.000943729271698912,0.000383726910328205,0,0,0.000750825553994359,0.0027207163087114,0.000880961899625288,0.00141740816131372,0.0023705003604569,0.00178321730545912,0.00132581746077603,0.00150047152986351,0.00112822657776352
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0.000563373930580673,0,0.000406529604097284,0.000268338113424035,0.000118995678964379,0,0,0.000116548102556861,0.000377659115430389,0.000300577939815342,0.000667958395101424,0.000954322789837153,0.000359347220263474,0.000427217638892318,0.000225054886175504,0.000319061561009256
"m__(S)-3,4-Dimethylpentanol",0.0088125359274821,0,0.00749143608316287,0.00280200639185002,0.0177329823204653,0,0,0.00681655793141454,0.000848286783766931,0.00795449187243911,0.00503889709150386,0.000349920930384472,0.0141536747317,0.00873530887348747,0.00567481835137977,0.00576072781926909
"m__1-Butanol",2.24468010756709e-05,0,0.000596320062159615,0.000160877160677365,7.1965739176834e-05,0,0,8.74574460536347e-05,0.000328517854538834,0.00277166026225541,0.000339283834372855,7.54221060211801e-05,0.000250868578243641,0.000258975976244564,0.00128418220898303,0.000416531868653509
"m__1-Butene, 4-isothiocyanato-",0.00989744753119815,0,4.38911628100421e-05,0.00855553496583798,0.0654558061346529,0,0,0.0117835506798788,0.00481530832827669,0.0100507098970918,0.00226562136767002,0.0960684862927766,0.00700899030628649,0.0157307740966023,0.0128703537959902,0.0163030983039381
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0.00705218084060138,0,0.00634196662476559,0.00458485603581087,0.00584179392128056,0,0,0.00482865300084321,0.00687084973578068,0.0121849628889667,0.0105833673436952,0.00829804755419711,0.00779923775958048,0.00959688076909968,0.0117521111611632,0.00638232717571898
"m__1-Decanol",0.0108746811328541,0,0.00623029097464562,0.00305023490042879,0.0147357391685953,0,0,0.00244486717616206,0.00141497879998074,0.216849557525503,0.0467619819023493,0.0134130739731472,0.00540751433515909,0.0513833520414968,0.0638276861266531,0.0290929305371317
"m__1-Heptadecyne",0.0252558580984032,0,0.0210215959570265,0.0143612604397227,0.0142503149683192,0,0,0.0131290611579417,0.029685703206939,0.0255543626685234,0.0176282208434643,0.0300003379818957,0.0205868949540849,0.0256698396145969,0.0214170968379651,0.0172373697819255
"m__1-Heptanol, 3-methyl-",0.00750846146286212,0,0.00698666604557974,3.95267655715295e-05,0.00359874235230204,0,0,0.00487947718261841,0.00104416040919731,0.0130942547902513,0.0127787721679528,0.0101910623304997,0.0141745012364369,0.00666269119308276,0.00679598980605603,0.00585028704949405
"m__1-Hexadecanol",0.000246650947063898,0,3.68626687342217e-05,9.55058958687433e-05,0.000160184638907545,0,0,0.000284478702206142,0.00010808482392075,4.20792059951915e-06,0.00030505762816344,5.78479960001902e-05,0.000569779563111461,2.40766999482692e-05,0.00021506273639396,0.000140520014727876
"m__1-Hexadecyne",0.0537820456942629,0,0.0718577140763176,0.0384113522375048,0.0551649642031328,0,0.0590717975541141,0.0421543622929823,0.091029655023116,0.0828597632652529,0.0459078084114303,0.0654114357040206,0.0714872975427643,0.0486910532862783,0.0589233055230889,0.0523168369876177
"m__1-Hexanol",0.0026983505797152,0,0.00196318993303636,0.00126050332221249,0.00162978047240349,0,0,0.00222716474365839,0.00233916957408583,0.000183411202832656,0.00200739020549168,0.00211330656990411,0.00199386739209256,0.0024402554237405,0.00262454076752812,0.00156539534578009
