"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0.145229287398124,0.0830358352713348,0.0423485707552586,0.128528101943645,0.191980827667577,0.0965155565279552,0.124895281413925,0.0913833612960541,0.0840471027361953,0.0823916633164914,0.102484243094829,0.130698750086593,0.0812739204604076,0.133779420370057,0.106661412925647,0.10835022235094
"m__(-)-Menthone",0.925100199066937,0.705128437638373,0.733489277690858,1,0.749610617596958,0.780705564259347,0.92702576585773,0.866441454202447,0.869197185358183,0.698553155950853,0.963186107787885,0.699318493117317,0.812607170013728,0.835670898184508,0.907293416749866,0.831555182898333
"m__(+)-2-Bornanone",0.0485434678489899,0.0352173620981696,0.0503728051391256,0.0422976085258858,0.0252174887449314,0.0292631768586041,0.0460513943093705,0.0478299592125352,0.0621948214090668,0.0245392793110726,0.0566617320568842,0.0508759377516224,0.0705316215272836,0.0357796476085333,0.0638825230003246,0.04595058836016
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0.0599826838534738,0.0317384078019083,0.0626011741488242,0.0336355639431096,0.054208511297965,0.0456721141794843,0.0477443655348792,0.0343469140646532,0.0410055867288509,0.0445403667838541,0.0281790661046939,0.0381811142967814,0.0470450067297691,0.0306200574532758,0.0481225403870234,0.0431748982205697
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0.0335898401011626,0.0377694135195099,0.0219822830910598,0.0271107663908686,0.0208599231143591,0.0297024292815857,0.0194412837238548,0.0368259005437993,0.028163631157481,0.0260937325088103,0.0257415492903112,0.0357657109920672,0.0152411299374223,0.0215169115773581,0.0351015120264124,0.0276604011504041
"m__(S)-3,4-Dimethylpentanol",0.0337434307592837,0.0210195501358659,0.0538589390720235,0.0549363378163558,0.0510071481490097,0.0464005827039453,0.0431325178973173,0.0358081592025308,0.03214951102097,0.0327342150888981,0.0284596632297551,0.0289284367528568,0.034938649527286,0.0386548851037673,0.0767011335659801,0.040831544001723
"m__1-Butanol",0.114960479924444,0.0564049376050477,0.0565671378254518,0.0639549486222171,0.059844881392104,0.0783732185890273,0.0595597384251429,0.103290206564896,0.0558471601549796,0.0872185431055885,0.0392104206673891,0.0329667895825966,0.0568161576744044,0.04592692356393,0.0799993649857269,0.0660627272455298
"m__1-Butene, 4-isothiocyanato-",0.0485418179833604,0.0495913509842941,0.0576645182825801,0.0511330031268981,0.0829640426581526,0.0323609898374213,0.0510773036583449,0.0441116645594267,0.0734512733350994,0.059316215469796,0.0387670295256951,0.0700713066267241,0.0383380510213736,0.0567041108206005,0.0516891838371608,0.0537187907817952
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0.0632482052454317,0.0370002941739758,0.0489992198353339,0.0557414288115722,0.0712836586644863,0.0431309942587324,0.0598581372712484,0.0502528242180269,0.0665206527513209,0.0762061463365474,0.0550679581023309,0.0273360227433073,0.100432369730913,0.0319744817782009,0.0533146126750897,0.0560244671064345
"m__1-Decanol",0.0533179281917446,0.0436210197591768,0.0443112291212513,0.0459924725539493,0.0405884548117479,0.0645370520637493,0.0464907544152649,0.0331350456891091,0.0460057673633628,0.0474047602921431,0.0649999492905862,0.0476759263121323,0.0766971999932268,0.0397777994029836,0.0505341058212017,0.049672631005442
