"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0163339484096899,0.0163362464583093,0.00777954191788999,0.00898689061491623,0.0147711225491442,0.00503207728894429,0.0145250323457669,0.00840001745100396,0.00171167753038803,0.0188744067987642,0.0218144109232109,0.0187654906658024,0.00206290830563422,0.0302455337645803,0.00850287579620396,0.0129428120546833
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0.00253888472484529,0.0161757126932443,0.00342733690014812,0.00462897736658377,0.00315595895862133,0.0450151614147692,0.000200670880124507,0.00761874102575394,0.00479195374392907,0.0116743875641983,0.0202707362089402,0.00167783942777419,0.00247111468096418,3.61643790853743e-05,0.0023398122418463,0.00840156348072188
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.00332150006203494,0.00247669095080375,0.0164513808888692,0.00302137374541376,0.00979854551169459,0.0142623505683811,0.0434992398125069,0.000426275882682352,0.0248765905117622,0.0419537819280146,0.0373742990149009,0.088668300109228,0.0104126328658368,0.00544674521411763,0.00241754689436187,0.0202938169307072
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00859635121617084,0,0.0399263974670337,0.00313330577414897,0.0216515617185033,0.0542837106223494,0.053347552682737,0.00403802663988964,0.00779838158833005,0.0553461956381075,0.0270269513101401,0.0290748359799908,0.0837156097303411,0.0131823393546635,0.00702237981729624,0.0272095733026468
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0402003778976231,0.0201880190632696,0.032088240178448,0.00590283892475291,0.0799318685209634,0.0164702391697675,0.00455034355054136,0.0356381342455801,0.0646337088361768,0.0280133230557357,0.0178874642420799,0.00226012438938297,0.0441536706254132,0.0162769451762952,0.0287554950109523,0.0291300528591321
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.00164884918119927,0.0413339240171823,0.012339202459025,0.0261193155233815,0.00745067695201277,0.00199810609159517,0.00225927592945142,0.0188930364214471,0.0129811530239941,0.0403221271316525,0.000244009069395976,0.00325109156528137,0.0139410119244984,0.0132694704193225,0.00343418409959303,0.0132990289206022
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0220106285265227,0.0464230582300564,0.0489582813585266,0.00294720374173296,0.0239045888684839,0.102722385299798,0.0159017788574538,0.0232282893874657,0.00357691400190623,0.00305906125250021,0.0631969604156134,0.0191897486285425,0.0300866981462925,0.00388044673203374,0.000865858866470738,0.0273301268208933
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0181942581736834,0.00639948470095349,0.00667146272914933,0.00238141796424017,0.0393734562222976,0.0170936868093038,0.0420649115961276,0.0150163277804363,0.0376752905955877,0.0294644274303835,0.00193345154426207,0.0536759795688386,0.0328829870440686,0.0170371166934889,0.0125117376190547,0.0221583997647917
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0114806198593483,0.00775420719285592,0.0025953473574928,0.00379068209529193,0.000191067548609887,0.00367422985029148,0.00180489510583608,0.00289579281009424,0.00243651852024261,0.00269664843466132,0.0194811572227864,0.00244983900753283,0.0819565180552533,0.00229145301604126,0.0163889793505427,0.0107925303617921
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.00466745801342635,0.0169211706980741,0.0275700171466441,0.043104665273683,0.00977900568795314,0.0077587909995276,0.0628797742874732,0.00734244814178244,0.0102001686482365,0.0137862177378136,0.012677451178388,0.0200918306829084,0.006971141299666,0.00718988174625246,0.00351521899181416,0.0169636827022429
