"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Borneol",0.00032825734655672,0.000482024651475584,0.000435171478995172,0.00300976447473963,0.0894100101438177,0.0119923623924043,0.0690740973928478,0.0017655224869806,0.0172492798141244,0.0502737416427903,0.0222523629871984,0.0233881720462755,0.000667223381876815,0.00155232164801929,0.0166434682666765,0.0205682520103186
"m__(-)-Menthone",0.34596069259867,0.199219230288413,0.15137843163745,0.391422655925151,0.461570191003305,0.692686682344656,0.240865268408389,0.306545836071552,0.476840133533184,1,0.733272907253608,0.408791720282062,1,0.812510358989666,0.779613482554821,0.533378506059395
"m__(+)-2-Bornanone",0,0.000193581190334859,0.00057051585251898,0.0023611827649991,0.00717494267343654,0.000631701841525106,0.00507944652814758,0.00195571394540899,0.00704402925841913,0,0.0177240466248409,0.000200981413604097,0.0183630138730148,0.0332200370355982,0.0024783943950281,0.00646650582645842
"m__(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0.00390195919803409,0.00977923003008734,0.000223776256884044,0.00189304979682254,0.00523510667948901,0.0103852002003166,0.001121200732249,0.00481988830297894,0.000242937656270773,0,0.00251887569182084,0.0105661023029145,0.0192549438214401,0.0268128337619064,0,0.00645034029541428
"m__(2E,4E)-3,7-Dimethylocta-2,4-diene",0,0,0,0.000130186973601852,0,4.04668511984292e-05,0.000780865411153667,0,0,0.0147537500856944,0.00266930064672401,0,0,0,0,0.00122497133122482
"m__(S)-3,4-Dimethylpentanol",0.00254347040057,0.00306692325370973,0.0028110306015333,0,0,7.66087667149119e-07,3.70172502519407e-05,0,0.00570245612181898,0,0,0,0.000449565577292988,0.00474847245582445,0.00360244762705372,0.00153080995838148
"m__1-Butanol",0.00513928873517836,0,0,0.0268922703484712,0.0227861428270848,3.37767516591491e-05,0.00136410466877664,0.000250702344861298,0,0.0771854867129785,0,3.38854117233417e-05,0.0221335382106374,0,0,0.010387946400758
"m__1-Butene, 4-isothiocyanato-",0.0004609113504168,0.00609393959202876,0.0053464878465024,0.00888739088855451,0.0263971681314868,0.017457181796649,0,0.00250710849595228,0.00413532868283957,0.0713265694727023,0.00292673964431253,0.0456955415194465,0.0084598046797086,0.0190627911984386,0.0151889115227175,0.0155963916547837
"m__1-Cyclohexyldimethylsilyloxyoctadecane",0.00970470315231138,0.00162799940138823,0.00344183589012549,0.000149894225626744,0.03069605389001,0.00180449298650413,0.00124131788078212,0.00741368224748578,0.00424309547260676,0.00543645186081002,0.024079587419896,0.000535465916631836,0.0113461348174186,0.0149036200114001,0.00642792808785214,0.00820348421738996
"m__1-Decanol",0.0117253205015241,0.0121839192551044,0.0105578647951538,0.00539927026334207,0.00282033627717561,0.000182958719835539,0.0323423751341473,0.00661465289191226,0.00518134865419604,0.0306372762526537,0.0101780289824477,0.00135204344947731,0.02067885334185,0.00225857225453589,0.00338248985699534,0.0103663540420234
"m__1-Heptadecyne",0.0146730526844638,0.00560602688358871,0,0.00517905919715838,0.0265074679880007,0.0231136764802015,0.0169965885543265,0.0064123243360651,0.0143703347845566,0.00536808409969615,0,0.00177248082805276,0.0198346653084399,0.0105515654938249,0.00751190866158701,0.0105264823533308
"m__1-Heptanol, 3-methyl-",0.0170768306213284,0.010240561250472,0.0126917516472015,0.001934353403493,0.0297426163494551,0.0108109714589065,0.000139277467987029,0.0164309198151647,0.00220684926846553,0.00219721144815919,0.0140754697424411,0.000227611376056719,0.0180390413574071,0.00252362537520427,0.0055508841980595,0.00959253165198678
"m__1-Hexadecanol",0.00204620722997025,0.00444872533194479,0.00614206326837699,0.000689710447739542,0,2.91135524949586e-05,0.00258869280213349,0,0.000611359246118941,0.00832604812974707,0.00464423930424372,0,0.00265023830859961,0.00777139476665636,0.0117166491322643,0.00344429610135266
