"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0.000164561412834723,0,0,0,0,0,0,0,0,0,2.31755744115896e-05,0,1.25157991497542e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0,0,0,0,0,2.20839408613453e-06,0,0,0,0,0,0,0,0,0,1.47226272408969e-07
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0.000420316548272106,0,0.000276388107715101,0,0.000147684564732329,0,0,0,0,0,0,0,0,0,5.62926147146357e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0,1.36854338071873e-06,0.0086603678775996,0,0,3.74832482556327e-05,0.000264541549171729,0,0,0,0,0,0.00386928909768998,0.032143138094697,0,0.00299841256071964
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0,3.43205350025167e-08,0.00354720331908664,8.7102395085737e-07,0,0,0,0,0,0.000403763169921342,0,9.78717046256153e-06,0,0.00026411060026376
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,9.95271617382771e-07,0.0418840190333412,1.58219683264514e-05,0,0,0,0,0,0.00767417827768936,0,0.000324201025396271,5.22697040224821e-05,0.000415135271527226,0.0200916086661878,0.00469721528120721
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000633823626836477,0,4.22549084557651e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0,0.000649595637849039,0.00144380943005175,0,0,0,0,0,0.00509363473093471,4.94074967140341e-05,0,0.000482429819703302
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0,0,0,0,0,0,0,0,0,0.00172415081020009,0.00439811782973614,0.000399107264145815,0,0,0,0.00043475839360547
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0108877252910946,0,0,0.019975082309043,0.241514098466929,8.16546841630769e-05,0,0,0.10845653434644,0.00568463606433225,0,0.0383074596749505,0,0,0,0.0283271460557969
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp001278845",0,0,0,1.22692573688028e-05,0,0.00616175208853804,0,0,0,0,0,0,0,0,0,0.000411601423060456
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0,0,0,0,0,0.0155011020048118,0,0,0,0,0,0.00213291955958731,0,0,0,0.00117560143762661
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0,9.95775949112785e-08,0,0,0,4.21907965124629e-08,0,0,0,0,0,0.0198558340086561,0,0,0.000443449202616389,0.00135329499864426
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0,0,0,0,0,0.000123572784801983,0,0,0,0,0,0,0,1.97534827370742e-07,0,8.25135464195692e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0,0.119884521809661,0,0.000186029175983593,0,0,0,0,0,0,0,0,0.00100145351788776,0,0,0.00807146696690214
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0,8.43627956391646e-06,0.00160325189014818,0,0.0057150670103274,0.0152873196002423,0.000462783299246984,0,0,0.035975427168592,0,0.00698974244423738,0,0,0,0.00440280184615721
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.151205782862937,0,0.0100803855241958
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0,9.76525635977005e-05,0,0.00196322997832529,0,0,0.0383967152330101,0.00486675335225683,0,0.00152702583484493,0,0,0.00126404344972834,0.0102578446316155,0,0.00389155100289191
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0,0.0108096168461811,0,0,0,0,9.28616850479155e-05,0,0,0,0,0,0.107944682389607,0,0,0.00792314406138906
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0,8.89322349912362e-08,0,1.09342313629164e-08,0,7.99704472202041e-06,0,0,0,0,0,0,0,0.000434973897960705,0,2.9538053943272e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0,0,0,7.85556511464508e-09,0,0,0.000684096274304495,0,0,0,0.000371445102642097,0,0,0,0,7.03699488341138e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0,5.21594175765127e-07,0,0.022522629499561,0,7.86695500946262e-05,0,0.0191849780200672,0.0239961819923798,0.0216373570439949,0.000668147946597374,0.00230534925982715,0.0605282875225269,0,0,0.010061474828615
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0,2.24559005438914e-07,0.0333009398901754,0,0,0,0,0,0,0,0,1.6102141674837e-06,0,0,0,0.00222018497755655
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0,0,0,3.41997992270238e-07,0,0,0,0,0,0,0,0.0101656508575192,0,0.00839178569879734,0,0.00123718523695392
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0,0.00326251877233155,0,0,9.62218274830196e-05,0,0,0,0,0,0,0,0,0,0.000223916039987638
