"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",3.70042016135459e-07,4.97814838017506e-07,2.1855486856711e-07,2.935268211331e-07,0,0,1.59395218475605e-07,0,1.19148050934467e-07,0,2.12816145294181e-07,2.31522335406367e-07,0,2.09798679215624e-07,3.87942138029213e-08,1.56760879132156e-07
"m__1-Butanol",9.28582042310636e-07,1.96390696116322e-06,2.97739327985893e-07,1.6092705724169e-06,0,0,8.86542692229155e-07,0,2.02160991658909e-07,0,8.01961018996032e-06,1.38439342593385e-06,0,2.2661915590049e-07,2.44467866135493e-08,1.0362181430782e-06
"m__1-Hexadecyne",2.51947939685482e-05,6.76994021389565e-06,2.00111276937881e-05,3.67176813724087e-05,0,0,4.10648198256374e-05,0,1.58998225908722e-05,0,7.25886818160709e-06,4.31208463801406e-05,0,1.33082173231893e-05,2.31211215248269e-06,1.4110548646838e-05
"m__1,1-Dichloropentane",6.46626621757905e-06,1.21316035160249e-05,1.0895985381151e-05,8.36148886024776e-06,0,0,1.64455127465325e-06,0,4.00069314414232e-06,0,2.61946909445835e-05,7.20657197513063e-06,0,1.54974828773812e-06,8.22226462624209e-06,5.77825761516617e-06
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",0.000524324716889252,0.000118242056368619,0.000312132394911263,6.01744371690437e-05,0,0,0.000194335333970262,0,0.000144308921238487,0.000310056969571067,0.000786055741520222,0.00101809889422831,0.000481869905629479,0.000161980253573141,0.000144708385597226,0.000283752534044425
"m__1036_unknown",1.36859305492628e-05,1.12128938003414e-05,1.78938204456604e-05,2.26292339170965e-05,0,0,2.88028929446783e-05,0,4.34637157422646e-06,0,2.41731093105965e-05,1.99451075429652e-05,0,1.31035254921945e-05,5.48720829777579e-06,1.07520062583199e-05
"m__1152_unknown",2.39930828961441e-06,1.77386996624615e-06,8.2361214175974e-06,3.47266473999034e-06,0,0,4.36421901255001e-06,0,1.05693863299132e-06,0,6.64246762938926e-06,1.65978415198303e-06,0,8.20433078032095e-07,1.68552294525942e-06,2.14075532424356e-06
"m__2-Bromomethyl-1,3-dioxolane",6.26103415154167e-06,4.03588441782864e-06,1.10080616736076e-05,4.88723524663683e-06,0,0,1.85307726574778e-05,0,1.01011588774863e-07,0,1.36514178548125e-06,1.06235222870642e-05,0,4.93381939645697e-06,3.88938596731183e-06,4.37572461147878e-06
"m__2-Heptanone, 5-methyl-",6.37260405659922e-06,3.26850034459586e-06,1.29091737789566e-05,2.98013430440529e-06,1.2832123386249e-07,0,1.79617815223399e-05,0,8.55288721438427e-06,0,8.96650767583514e-06,8.24178721288235e-06,0,5.64943139252211e-06,3.26595153881202e-06,5.21980535167968e-06
"m__2-Heptenal, (Z)-",7.72602089047884e-05,3.46181024204297e-05,8.79246558842801e-05,2.02621359175485e-05,0,0,0.000106212213159912,0,2.41026893389585e-05,0.000110428205613868,0.00010667760830492,7.40458129860216e-05,0,3.01335804276701e-05,2.99572929779861e-05,4.67748337290922e-05
