"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.000542602897799828,0.00201343381196044,0.0102360864313818,0.0165997094286153,0,0,0.011903673992497,0,0.000816881680721001,0,0.0040613286850591,0.00850968769903261,0.00942627913932959,0.00048866161859151,0.000823222411258077,0.00436143785308308
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.042234220113579,0.0199805797680611,0.0896826102500926,0.0607695316640247,0,0.0621931604904386,0.0747007520734614,0.0777608737360849,0.0189753479427596,0.326219612718553,0.0378974194670383,0.0457068378266179,0.025372373941822,0.0248110635721771,0.0342507821160381,0.0627036777120499
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0464261155742607,0.0239901662651361,0.0502425341018067,0.0719686007684149,0,0,0.0676378073752804,0.0169039764663771,0.00906323219796743,0,0.0948601060937502,0.0398432219959667,0.049355658719213,0.0124287826822053,0.014915249019882,0.033175696750684
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0195131215298443,0.00215321533447721,0.0287941606589847,0.0438743111136484,0,0,0.0347170257377638,0,0.00704831069065186,0,0.00954454824200237,0.0245307617484282,0.0270227222052704,0.0101357017089004,0.00997632274400563,0.0144873467809318
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.221335867211061,0.0979920194140327,0.101017482779983,0.225932566400722,0,0,0.35016904671762,0,0.118851815791805,0,0.298944033676122,0.253159731619946,0.414853860015209,0.0801995366346167,0.102075112111307,0.150968738158162
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.0241031834561772,0.0234150741260662,0.0427741373558331,0.0949701823065663,0,0,0.0750760678034015,0,0.0133229799604399,0,0.100266928120536,0.114903928233285,0.247334605387809,0.0174611033382519,0.0312303444449747,0.0523239023022227
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.00148306238242602,0.00360157799956775,0.00716465707070132,0.0163177194720307,0,0,0.0115687224823218,0,0.00113201295610886,0,0.0118306500604697,0.0047150336861388,0.0174944372891206,0.002017402476638,0.00630148249955647,0.00557511722500533
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0354556205852032,0.0251162252828664,0.0617900425998692,0.0670754079334681,0,0,0.0730806802137825,0,0.0292388581918881,0,0.0449049689352512,0.0422562359091244,0.103041066305283,0.0154603091195004,0.0156974298114186,0.034207789659177
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.023939892342899,0.0398310756279976,0.0767054287316374,0.0195928783304763,0,0,0.144143643963962,0,0.026124485245105,0,0.0441277135591427,0.00480264317022886,0.0904317029925096,0.01548271322151,0.0327789307828746,0.0345307405312229
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0348389176492345,0.0134207695316976,0.0167135071995679,0.107106224932727,0,0,0.0188068612499652,0,0.00496494830578524,0,0.0301912805601221,0.0240379548583884,0.00414017761217008,0.0160256591915093,0.0160066791317836,0.0190835320148634
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0.331814530057828,0.0962158371143982,0.438571120329417,0.29759852934506,0,0.137456863000255,0.50240013405731,0.093188604280587,0.124297895709383,0,0.345460091012916,0.30722266635476,0.448339317114724,0.132142505473215,0.0963978100006555,0.223407060256701
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.107404927807324,0.0112820665989635,0.302660040900422,0.0860922085801257,0,0,0.138497250691198,0,0.0319289953553731,0,0.110946864037315,0.212115732163654,0.196912118311038,0.125789637656956,0.0010153520404428,0.0883096796095208
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373435",0.028625731284018,0.0189098039854549,0.0156806696018125,0.170978093947822,0,0,0.0401245583253127,0,0.00885579377560351,0,0.0176813753113725,0.00998300952444078,0.0472733505816026,0.000417854010343987,0.0136633921690503,0.0248129088344556
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia",0.0328486545015575,0.0293738737098969,0.0381705930766884,0.111239782234247,0,0,0.0605924164183147,0,0.0153566329514779,0,0.0456641018989765,0.0367996810112696,0.056477076888662,0.0175222936336915,0.0149835167536676,0.03060190820523
