"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.309597222081517,0.0718943114955144,0.0502451764897337,0.048912762043404,0.106338900618138,0.181542854228835,0.02782301925016,0.0225648662559565,0.0760080250561347,0.0492690106486792,0.125656532109125,0.10213597353338,0.0851437586389487,0.0499090353338354,0.0490501568043755,0.0904061069725158
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.287828768767872,0.105339921486909,0.188299557886518,0.0667051758002725,0.160889320871945,0.616264151689524,0.229700460556732,0.195051188788104,0.0879966132343534,0.0957312536836024,0.0650748636528434,0.251976358897775,0.0697159193974852,0.217105855774352,0.131831330620755,0.18463404940727
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.168781170166977,0.129842197564327,0.036504286162392,0.161901420397917,0.140250668426651,0.135380359029764,0.115719853320639,0.0693333655484775,0.148924036814593,0.0438399567126576,0.257395636857483,0.140533201939407,0.101817969495905,0.196482618132986,0.109268466797362,0.130398347157836
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.491712168756611,0.227257785631426,0.628574469134686,0.45557328242136,0.104706526684437,0.412311481486118,0.62560088332439,0.324310517860873,0.237547400177103,0.227294238069185,0.360537135672294,0.122670223364475,0.0599234082923347,0.358895814158602,0.383322174389768,0.334682500628244
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.168365202776208,0.046249266132078,0.0975517478560794,0.0129527045968571,0.0472694610644053,0.0479179268813183,0.0620533681060254,0.0208560996510257,0.0738554447709502,0.033409230885137,0.0673975082079782,0.0208651415525998,0.0951179519626273,0.181344013973818,0.0364504786832286,0.0674437031400224
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.131948454654904,0.0479607816716371,0.0673853858518066,0.103759537434568,0.0615638511387588,0.0511602885466784,0.0393607671012813,0.0443916885607376,0.0470532927556859,0.0372171733746771,0.102777821133767,0.0399747943369141,0.0738339584393914,0.0734312570834331,0.0803126947878885,0.0668087831248086
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.166142529642923,0.0520956632182871,0.0285286954527836,0.0703553210797285,0.0863694097689068,0.0773166060126166,0.0554798083455478,0.0507249535617299,0.0650164470524775,0.0436369734931586,0.0628009546484625,0.106648728899539,0.123328587072358,0.0520445157667651,0.119904538070951,0.0773595821390823
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.101679702928371,0.0817209765102533,0.0245359168929219,0.0672222154341498,0.0430563563184622,0.108167471791172,0.0484515154509749,0.0387299377413262,0.0934816634657873,0.0458284549510248,0.0208643883493374,0.126694827192479,0.0667734929571021,0.131137669997465,0.0283495863884612,0.0684462784246192
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.250301108894317,0.0232996486635893,0.0878446986928576,0.0281773874547459,0.040437991381432,0.133916576543982,0.164181206431303,0.0212578554204564,0.0438242071849978,0.0295888960509567,0.0282088302223245,0.0695041046914144,0.0603177871098076,0.0771483019712412,0.0613031775309384,0.0746207852162909
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0899975785276117,0.0780082950414201,0.0227410677770877,0.0181562189362184,0.0747378986657678,0.132513734329961,0.108798974885476,0.0504164437948346,0.0990379796407222,0.0699178053958294,0.0355677546518737,0.0812541493296417,0.102978913222057,0.0535421407548255,0.0220507648577591,0.0693146479874057
