"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",0.63682512400317,0.534441388916338,0.445329309015737,0.863599999404343,0.489214574716502,0.824836754063264,0.80417356910207,0.994192377655185,1,0.847814919610852,0.896352072637853,0.990635526816581,0.385375539813101,0.57447833678523,0.719617152733817,0.733792443018269
"m__1-Butanol",0.461150937976054,0.247577109502375,0.0659240550330002,0.380608525431745,0.328392183608356,0.1094102257304,0.237880109877137,0.0743205712990041,0.21567801805116,0.351526678460934,0.236479599174824,0.464417769313747,0.0618119637815866,0.224601349071682,0.280526418115812,0.249353700961854
"m__1-Hexadecyne",0.208899058135942,0.154088109255781,0.0524832178539089,0.314989552520734,0.254468515861792,0.195531760817401,0.193251359621615,0.178844761092407,0.533493517930575,0.11102021820535,0.201884574912839,0.156821156822166,0.145436298306933,0.20997176812615,0.100035205254045,0.200747938314509
"m__1,1-Dichloropentane",0.095890026684201,0.0583200077475749,0.394530903159585,0.153450981499468,0.545520202526672,0.203441105240725,0.26575696717929,0.20589074777813,0.100905130979246,0.262793326074857,0.0689398947850434,0.993529283035533,0.15807698783157,0.2697507369655,0.219428243721147,0.266414969680569
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",0.374182199546896,0.983893339617565,0.333265053630265,0.160195593696437,0.290990520376484,0.0902128029396094,0.301431929595333,0.159469796334359,0.360182671148378,0.350948113719044,0.345346511214779,0.559117329402512,0.529422545948382,0.489804818042787,0.918489766472099,0.416463532778995
"m__1036_unknown",0.154599197096849,0.245015528153775,0.144672473414898,0.07876804282132,0.177740600191966,0.0153725391783292,0.10651722741663,0.229538357294089,0.0900676624070485,0.147636843025107,0.188878669860912,0.138114325032227,0.00234616851650001,0.254761077262552,0.0505147671169462,0.13496956525261
"m__1152_unknown",0.0581211449830841,0.137819618250662,0.0405722366357555,0.0774731690908568,0.0275749830647918,0.0533731164208199,0.286599282239582,0.0443506890638587,0.0703541641684757,0.129714445552247,0.553140171029211,0.14529749583097,0.0165808110102527,0.370898851639056,0.164567376203237,0.145095837012191
"m__2-Bromomethyl-1,3-dioxolane",0.0420968602651176,0.102718973667014,0.00803930588388778,0.258104313736181,0.167565315670235,0.120144290156403,0.0919601696249196,0.320449315487343,0.202125142708129,0.234063268002626,0.15835418008562,0.452667845726405,0.262699502965857,0.0358352783599347,0.226997330729855,0.178921406204635
"m__2-Heptanone, 5-methyl-",0.0575924569489116,0.211129912466394,0.087196828826281,0.462574043309071,0.483676045327008,0.267457943551188,0.462304519024604,0.203887323313272,0.0722892411488551,0.171085664937838,0.124031442331576,0.190331226943906,0.0438079877524429,0.696002346961141,0.187362586447889,0.248048637952692
"m__2-Heptenal, (Z)-",0.403413748548042,0.850175655373998,0.110073609512067,0.848960756172753,0.224325635914511,0.317337403900823,0.337159345877222,0.149543430878029,0.275104516932142,0.568963052922614,0.622411219171069,0.0372736329052714,0.113999707893532,0.217933519801407,0.350927381330199,0.361840174475579
"m__2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.180080644868861,0.127810921932839,0.146046155041896,0.278838530802967,0.243375800968837,0.145156561893269,0.364551646990445,0.31775866901745,0.260696420414138,0.0453150526262796,0.187750688229507,0.190777945515448,0.478966591455642,0.959564112920107,0.218284349936532,0.276331606174281
"m__2-Hexene, 3,5,5-trimethyl-",0.0930086728689404,0.554330853958312,0.268385197962545,0.607037835785855,0.468052420353357,0.450007935027588,0.681755039314716,0.117993224052949,0.095086931512192,0.223396652633597,0.363484497635219,0.280496598679237,0.257299541936624,0.46765435640809,0.434807925838128,0.357519845597823
"m__2-Methyl-4-heptanone",0.212646147672455,0.205464756957769,0.474669785727554,0.412014394966607,0.517298215203008,0.089261556059445,0.111043560737311,0.0837818372735487,0.29249149126369,0.103814325614924,0.318333551664637,0.390625420825573,0.38409787030682,0.0804109706272765,0.307672643236495,0.265575101875807
"m__2-Methylpropyl butanoate",0.0150551215293516,0.10823511840519,0.216935374830378,0.119602975741756,0.134736823794019,0.366461244158819,0.0142366675114423,0.370939804890492,0.0155251695225946,0.242004358856213,0.00823382662481249,0.0947498738398392,0.0353232948459243,0.0706300931888873,0.17070757248453,0.132225154681617
