"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.15298395743452,0.348179428344753,0.273138608745651,0.129535317341697,0.184671889596149,0.469727058983524,0.24854706670573,0.179180146985701,0.553334955582755,0.137020951936983,0.202006370844685,0.265712056655114,0.0566705253401214,0.30305207422471,0.47857810051846,0.26548923394937
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0804628677446766,0.0259032601025702,0.0639526295110189,0.158568764270243,0.0965876312152532,0.153451247394494,0.165241934186753,0.651213744099977,0.412099239805354,0.0768636811616925,0.14615092275373,0.204164534158897,0.178913406396796,0.477311916307453,0.364039493599178,0.216995018180539
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0905043480046147,0.31943139165978,0.168694438669094,0.0172949345271436,0.148125596805862,0.161513369186571,0.259553798125431,0.399467412050664,0.209826400678687,0.0413195470273605,0.27845020756418,0.0961475338200859,0.172237695806094,0.357379836010489,0.152265202182037,0.191480780807873
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0927646707293809,0.0516969492253537,0.117754203887505,0.0421807689404037,0.264031884119587,0.452901291072588,0.401450593953971,0.324603772563518,0.253859850140745,0.0352037789193693,0.20029704015992,0.094996544077451,0.295397906921704,0.262986538989066,0.24557890972066,0.209046980228081
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.11027334154129,0.143843153365224,0.0921348051773262,0.164287577987318,0.30643946612339,0.118222983802901,0.148924821441133,0.34817990312772,0.133442109666986,0.119478441473629,0.216600365486155,0.0631548167448726,0.217951938164757,0.228026551690703,0.392570110944674,0.186902025782539
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.161803733211339,0.566947146962448,0.239028325313548,0.144240419597914,0.226235189037908,0.0824679855623525,0.086796730619211,0.390254867420339,0.251725690443996,0.148367960472484,0.767087896696326,0.178046639757079,0.295282558264431,0.235533802649508,0.179582307153494,0.263560083544159
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.499921261305442,0.193628541994831,0.278404169712762,0.373811969043617,0.367390607054596,0.883294401786519,0.125522984856329,0.0924599141195988,0.361376446567439,0.0256152189436062,0.219484732731408,0.0989711567948713,0.297125052516093,0.315072473180196,0.400576543901836,0.302177031633943
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0374863854472616,0.564337061422666,0.235403953188739,0.0464257211669705,0.187442264914446,0.160621421352851,0.183917880477119,0.522797244498241,0.219028656117116,0.0592319116715412,0.170971885511785,0.102663239874169,0.246664194908608,0.246969771599337,0.185676577736928,0.211309211325852
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.330597982583501,0.17454514756628,0.258953987746113,0.157204201458572,0.292935042259413,0.184488122700117,0.243308371368999,0.0875259404206985,0.248840091369449,0.14677396919344,0.350793339039314,0.286361503188847,0.0811015612736198,0.19154593423453,0.217546540628192,0.216834782335406
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0726929369500455,0.247380089372773,0.182982242660184,0.0670140781002654,0.22543977403717,0.265459918629288,0.0829273466410492,0.0860197196187233,0.240143429824285,0.0803488929588086,0.262913355643454,0.156812180359525,0.179251975442712,0.442455192371494,0.236100708595714,0.188529456080366
