"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",0.634510900424211,0.63607352902555,0.822029334268304,0.807576105405143,1,0.913302028077685,0.711382664243731,0.679354139452317,0.807760314923995,0.714036437858972,0.993219899005701,0.864802856407144,0.799796326601655,1,0.899697767243823,0.818902820195882
"m__1-Butanol",0.19830688245944,0.154078323413091,0.210445761446436,0.177668421285301,0.19040217844988,0.248898693258702,0.151390839818656,0.21939484553814,0.205024000138122,0.151921746315074,0.153103733076972,0.183398202778198,0.178586786085051,0.150399685106579,0.194101044106165,0.184474742885054
"m__1-Hexadecyne",0.0566251763602285,0.0869565724947705,0.167593920784474,0.102181228325137,0.168086724303846,0.148142401756954,0.121360085045392,0.124478393387514,0.10898841663422,0.0926102336106043,0.0868639565205074,0.139972453824742,0.11460326254306,0.0840028830335868,0.110934052097708,0.11422665071485
"m__1,1-Dichloropentane",0.141777657167721,0.150116274517063,0.225097531416917,0.145985615622207,0.235692409497208,0.166809261038979,0.20469567798751,0.161956000569474,0.185669590785788,0.184702861039816,0.169463329636028,0.170852865585924,0.183084739376047,0.182563847304035,0.155782524711053,0.177616679083718
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",0.746977062669657,0.811350109449584,0.861288505023941,1,0.930740096573264,1,0.794682111267327,0.941248212266813,0.956575398103229,0.816190113250325,0.983059742841019,1,1,0.94327303927785,0.931850357443862,0.914482316544458
"m__1036_unknown",0.156973622947002,0.214771025765097,0.206705963514077,0.169101890121425,0.251459604986108,0.254844128557629,0.219683373166834,0.134265478936935,0.225021269351619,0.136995474174799,0.17323519991671,0.221595686528759,0.178726021281273,0.21952195753563,0.248199269423169,0.200739997747138
"m__1152_unknown",0.117018766106274,0.108369093601021,0.150342445067308,0.164735602185606,0.16150630249883,0.237373133825079,0.125117468358572,0.134257793861768,0.169864754085837,0.179568916954188,0.161770980682422,0.186526921533464,0.163484882181578,0.137764645046013,0.226570081840964,0.161618119188595
"m__2-Bromomethyl-1,3-dioxolane",0.150082939416344,0.223406437185663,0.260974402014829,0.194398840154129,0.22255809735874,0.350528117836979,0.251323942454719,0.241349541780737,0.250298341530686,0.267850374496569,0.235122474045486,0.251701714442824,0.253239161487156,0.318299422875158,0.239517264272297,0.247376738090154
"m__2-Heptanone, 5-methyl-",0.507496510157908,0.587365227373354,0.635090095198476,0.484365681463315,0.708846737196933,0.983509101002998,0.671462053342083,0.620549877707132,0.688510466065948,0.500959581080175,0.797788987885835,0.77584895251062,0.665273438113445,0.823812912078315,0.817288682093231,0.684544553551318
"m__2-Heptenal, (Z)-",0.0811040659022569,0.0972656972010255,0.107845844215288,0.0982694469012295,0.0792319316255701,0.115823686117784,0.100813328689428,0.113382255349189,0.0884375758936875,0.0748884274403026,0.0949092607973054,0.0901620911414905,0.105530358906441,0.119328661439291,0.125139863680308,0.0994754996867065
"m__2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.136052634905467,0.165937431659696,0.183742137237377,0.125209684852497,0.235045956939472,0.214313413821225,0.226881238815789,0.144046543316857,0.168272544398892,0.171089652876481,0.192908354144772,0.257556070123445,0.143614171211981,0.215847247642388,0.182433039763525,0.184196674780658
"m__2-Hexene, 3,5,5-trimethyl-",0.105211806609948,0.168826222085892,0.130948039751814,0.164746983744093,0.153132179962228,0.169915380266652,0.126403626243579,0.142497833912289,0.258941355469285,0.15022791337017,0.175316023827216,0.153564088587721,0.198765399598124,0.149911436849145,0.171141482570949,0.16130331818994
"m__2-Methyl-4-heptanone",0.152743022878318,0.11660409452797,0.227850142737211,0.186635719658018,0.247266886003026,0.137602695853085,0.156071975270876,0.177060934437998,0.159637394437441,0.2018556228284,0.220008975751821,0.194188247770226,0.20669003925879,0.144626203326208,0.174219804529049,0.180204117284563
"m__2-Methylpropyl butanoate",0.124666800702569,0.106117194003402,0.124227228147674,0.107586800044366,0.146266578205889,0.143729875123021,0.132596791175897,0.106841902959801,0.124074419672291,0.164138986850404,0.120311481853525,0.173009639474298,0.131744707905996,0.12532648031814,0.132932164356366,0.130904736719576
"m__2-Oxohexane",0.648798558196752,0.493124116656982,0.824880689016887,0.549020676200262,0.68830450853306,0.803834790198413,0.502239594038993,0.676196437030201,0.570716365723472,0.579527832183875,0.483447569873243,0.716088319429899,0.657216533872225,0.974152047772373,1,0.677836535915109
"m__2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.108301511896936,0.124880281378633,0.142137417155014,0.0683824623593155,0.123264096809919,0.0770474865248225,0.12065733718501,0.0925463346217869,0.0890565475093208,0.0824832744409873,0.127558978114563,0.11396665163107,0.124465702003542,0.148696824782545,0.131744060542342,0.111679264463721
"m__218_unknown",0.132665066703879,0.0923281846721552,0.189752843679625,0.154894932711257,0.137963456722068,0.174162112542527,0.132286363951778,0.120037874853666,0.191916417859556,0.111795749339488,0.163425199868396,0.173179699979205,0.214562888762673,0.185019294191344,0.116252927299643,0.152682867542484
"m__3-Hexanol, 2-methyl-",0.197124610532855,0.147439650925515,0.171878514795696,0.190246391597313,0.243148826280859,0.384129207232487,0.223818932893479,0.155695673533542,0.240655831113678,0.185609521320003,0.201463066088709,0.293195310977907,0.176382679407193,0.189336724606647,0.23180002994461,0.215461664750033
"m__3,4-Dihydroxyphenylglycol",0.218675946522662,0.193345175052141,0.301580918769147,0.163426189005632,0.255879399492525,0.272268655110691,0.222725031770592,0.233124410742929,0.305075937676952,0.251046122850495,0.25258606739185,0.227163250779351,0.237645253058844,0.328687807313031,0.304443221228023,0.251178225784324
"m__309_Xylene",0.306504141262355,0.332873914434402,0.477507544424064,0.340278528882707,0.322163893705205,0.640098059636879,0.382604076589578,0.370238344166657,0.36578223006309,0.252550572811456,0.340163197583629,0.531419306656561,0.313372231082714,0.640134933266941,0.476760911907054,0.406163459098219
"m__319_unknown",0.154690589948638,0.118628921958454,0.153139437065754,0.141241261932563,0.192049951922766,0.157808938501213,0.157596501409881,0.132287192456753,0.205289621292989,0.195050046469267,0.162724354269756,0.21102587005865,0.139894616622985,0.197558397681821,0.188485144225244,0.167164723054449
"m__367_unknown",0.348800203900089,0.273036242196192,0.420908560322851,0.355024020803644,0.308625461980123,0.409376005136441,0.413040465073042,0.486471129472636,0.380521030558025,0.32764193815069,0.428127549720829,0.396791459193428,0.421863734396082,0.373448714113703,0.447417722882548,0.386072949193355
"m__384_unknown",0.141796672642967,0.125138820386485,0.173472396732469,0.137045119817016,0.176404520460606,0.217310641567393,0.149575713567986,0.165621203326073,0.189637848952473,0.148369054213301,0.156371701606426,0.197951734437424,0.169403254784716,0.188444440159293,0.208129366929738,0.169644832638958
"m__385_unknown",1,1,1,0.831209691099386,0.960593940472479,0.940920149819627,1,1,1,1,1,0.952571793662327,0.94240241119867,0.841720004577036,0.972882055004793,0.962820003055621
"m__5-hydroxy-7-methoxyflavanone, tert.-butyldimethylsilyl ether",0.167309974585858,0.152163104953415,0.157514557667855,0.162205296817665,0.191439995897414,0.201404481485086,0.18155486942663,0.186533530635823,0.194308113052794,0.173775281332471,0.25583790448828,0.220772619587349,0.202871045554744,0.188607173392406,0.23638934805578,0.191512486462238
"m__677_unknown",0.116758005716478,0.11571484009357,0.181530494600037,0.143965472625643,0.178908274119593,0.191254645147154,0.184668637043345,0.138201500759843,0.159981196732781,0.138478446005549,0.165669845002105,0.163871072934499,0.153440998650568,0.192679547589996,0.185944684229393,0.16073784408337
"m__882_unknown",0.156044986757776,0.186055529113762,0.189694059450713,0.116254666785143,0.166995962292015,0.176385299976976,0.106483317676868,0.156855702998076,0.17241379739401,0.125199409887613,0.104569006499855,0.15325021989848,0.263189021653427,0.163945347949681,0.186502867262509,0.16158927970646
"m__978_unknown",0.120415381415278,0.143539541034141,0.204071766457909,0.138670996036846,0.127215374471225,0.195933002740915,0.1079341971655,0.132090796427663,0.153223649359239,0.138209193538491,0.133743680753521,0.164090712954543,0.187071512063656,0.194561012565788,0.161183541141028,0.15346362387505
"m__Acetic acid",0.165018632158919,0.148142698111794,0.198600892237655,0.187045903762795,0.319611948545057,0.220924130405778,0.125435017425649,0.147265533660222,0.140370746778375,0.18186630610342,0.163648672087499,0.124053755529355,0.227128754160078,0.173204120777009,0.242701140544361,0.184334550152531
"m__Benzaldehyde, 3-bromo-5-methoxy-4-[(4-methylphenyl)methoxy]-",0.258605770752947,0.119294711738047,0.248447362982929,0.186749445335693,0.157154117397481,0.21498767042702,0.225623506007265,0.215247132338062,0.185515185063383,0.188111419416076,0.221291033306065,0.155347366843502,0.269115136383185,0.256274069946612,0.230224235019973,0.208799210863883
"m__Benzaldehyde, 3-chloro-5-methoxy-4-[(4-methylphenyl)methoxy]-",0.435892818036662,0.447893198732747,0.388197493624615,0.290461750825145,0.439711856026884,0.624726402098489,0.494722959896438,0.442603470701514,0.480665529960083,0.463504519867019,0.511280531650381,0.572020476088833,0.456600016474116,0.569026878811997,0.696248969225109,0.487570458134669
"m__Benzene, (2-isothiocyanatoethyl)-",0.103617829668065,0.0897553840914056,0.178062037399416,0.0993400130577755,0.163829490550146,0.163240303845935,0.151385131967485,0.131620820082337,0.188144675264139,0.127447345070268,0.109267218048894,0.20604014908005,0.150224025459849,0.132118664992736,0.118702011587741,0.140853006677749
"m__Benzene, 1-ethyl-4-methyl-",0.168423164520052,0.196594930730024,0.271984856939705,0.17976432498649,0.18107666619896,0.295232479409166,0.265694925946418,0.23782848493857,0.195035142108965,0.218109928343724,0.322486986330526,0.388930920862446,0.339688692679456,0.333799847779047,0.326751751762166,0.261426873569048
"m__Benzoic acid, 3,4-dichlorophenyl ester",0.178372829520339,0.11161957483395,0.266833852876238,0.18265126108283,0.164513682499461,0.258217343937473,0.227525767184163,0.238505119587752,0.126788894775079,0.15870588544586,0.157143391196882,0.214844497946173,0.240016693060209,0.27936180966585,0.211160167525436,0.20108405140918
"m__Butanoic acid, 3-methyl-",0.10116045423804,0.147653523023995,0.133617631198848,0.0885276709789218,0.150996111779991,0.13031950160728,0.101065742805403,0.0990772080316202,0.131442446526792,0.0965754038965873,0.127392335163662,0.140722034885086,0.117091924694409,0.174255378644295,0.135420529111069,0.125021193105733
"m__Butanoic acid, 3-methylbutyl ester",0.0956713408704424,0.0969309954091012,0.130197613418477,0.104381232083968,0.134866211058538,0.114765500950733,0.11962057182147,0.15371152461569,0.13105228482673,0.120189251381068,0.112766344932397,0.110727302747752,0.141056208139904,0.14483514591615,0.124453985025724,0.122348367546543
"m__Butanoic acid, butyl ester",0.120361478025697,0.147858119572372,0.195290311118301,0.147851157387746,0.212207958363224,0.281657351053383,0.230997432743657,0.205993295933448,0.198377475317704,0.195826029906819,0.199184372635982,0.192052363326865,0.208632563700321,0.239380669720417,0.250858264676738,0.201768589565512
