"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",0.608557329598408,0.164431982509424,1,0.354774602851112,0.535402030942769,0.715112937769456,0.57413294477934,0.191862140152889,0.0574376064614724,0.508894157250358,1,0.171338735753084,0.545703704058345,0.676657626857884,0.993131331988391,0.539829142064862
"m__1-Butanol",0.017681134217678,0,0.0180110358591078,0.00438996218906242,0,0.00188712254892292,0,0,0.0084087950004981,0.00987312688251672,0.00285064420279669,0.00567481990371215,0.00864627140961795,0,0.0213480292417869,0.00658472943037998
"m__1-Hexadecyne",0,0,0.00440593011290306,0.00205520943188429,0.00303772591161035,0.00297714631357787,0.00816336444002749,0.00126614741975679,0,0.00797980611452347,0.00266448346100829,0.00339093411967797,0.00633914542895838,0,0.0137117161078422,0.00373277392411801
"m__1,1-Dichloropentane",0,0.0271243725832521,0.0134865081913593,0.00112995134229229,0.00441782484571407,0,0,0.00159286409300792,0,0.00992046235844685,0,0.00375536895740124,0.00685635883172585,0,0.00253685361892526,0.00472137098814165
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",0.248859567988506,0.861421178991976,0.863269508291496,0.480440819060479,1,1,1,1,1,1,0.963668089132648,1,0.85556443305671,1,0.709002088379398,0.865481712326747
"m__1036_unknown",0,0,0,0.00192022526043785,0,0,0,0,0,0,0,0,0,0.00103645782874473,0,0.000197112205945506
"m__1152_unknown",0.00754942808799985,0,0,0.0114109646967429,0.0078800504473526,0.00318743008020177,0.00519555235934595,0.00512135011107156,0.00254104710673844,0.00494206868028547,0,0.00359770579568127,0.00809597933099001,0.0168472345490509,0.0132552527286442,0.00597493759827367
"m__2-Bromomethyl-1,3-dioxolane",0.00894992722318334,0,0.0779797882169368,0.0234382168993244,0.00869417799752128,0.00654575824920783,0.0271381247607728,0.00463442617510807,0.00116669304256488,0.0192037718685214,0.0130308119109945,0.0186265922892179,0.0208557226603552,0.0151131062002759,0.0192250110125012,0.0176401419004324
"m__2-Heptanone, 5-methyl-",0.219382154021267,0.123096660429069,0.0699065879160903,0.0396100422790543,0.0050943227445885,0.032823572715825,0.157426878208204,0.00404748044381995,0.159763998315227,0.0251738106710901,0.087738779156099,0.00947206361533494,0.00935580728332787,0.137929064351972,0.17685811849366,0.0838452893763087
"m__2-Heptenal, (Z)-",0.00939244910104234,0,0.00335925000084608,0.00398151244600581,0,0,0.0147836539652356,0,0,0.00353194442587562,0.0106449220436889,0.00355103212193451,0.0163861608448314,0.00272780552095375,0.00367193341400643,0.00480204425896136
"m__2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0,0,0,0.00197142885687835,0.0137345912175619,0.00158345408787304,0.00641284466780483,0,0,0.0572409630495501,0,0.00247308098841857,0,0.00199338507585203,0.00945805094818861,0.00632451992614183
