"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",0.00209867437430525,0.000515742109148293,0.00189194401064077,0.00188493587399258,0.000210630893324509,0.00198792984503953,0.00057951203583963,0.00108579217870748,0.000686142476594168,0.000192626626674718,0.000679207851217795,0.000393019585637765,0.000734906278067521,0.00151146597789774,0.00123245758887281,0.00104566584706404
"m__1-Butanol",0,0,0,0,0,0.000387189278048419,0.0018094429335373,0,0,0,0.000455391380113814,0,0,0,0,0.000176801572779969
"m__1-Hexadecyne",6.36357846350163e-05,0.025156082101756,0.00378953153830026,0,0,0.00312115719771714,0.0025105046902846,0.0207072087998995,0,0.00211569863621245,0,0.0119516773973234,0.00452316086804864,0.00274026741599925,0.0153580997263154,0.00613580161043279
"m__1,1-Dichloropentane",0.0314676347612647,0.0425541958290534,0,0.0731568404231124,0.0166959296485922,0.0298783806640036,0.0300468265619298,0.0215930137156071,0,0,0.0648325698964601,0.00235322832723771,0.0692768472807867,0.0373611834544228,0.0423675468603963,0.0307722798281911
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"m__1036_unknown",0.0345410848297087,0.0132081128869609,7.53477905002623e-05,0.0193353991545746,0.0153120099719653,0.00208072755327106,0.00516123865052917,0.00501713716278997,0.00454339869519874,0.00475113216481229,0.00160213725357918,0.0013653790263849,0.000514568124599006,0.0173981492318371,0.00657288964685392,0.00876524747623768
"m__1152_unknown",0,0,0,0,7.22246753775788e-05,0,0.002359354213004,0,0,0,0,0,0,0,0,0.000162105259225439
"m__2-Bromomethyl-1,3-dioxolane",0,0.00514374779340588,0.0128355592798572,0.0137908037042533,0,0.00895039955692313,0.00856864217403133,0.00253961349041743,0.0069905664061657,0.00226488437429062,1.00474511774824e-05,0.0127335904410537,0,0.00104592979624195,0.00241168031913414,0.00515236431913012
"m__2-Heptanone, 5-methyl-",0.0295883743518231,0.0144922507908249,0.0244969650793771,0.0241999184959754,0.00562868744882736,0.0279939731544698,0.0176582981050229,0.00665182685506183,0.00684089052936067,0.0104571859665818,0.0106601907874166,0.0166690017888554,0.00818370665318095,0.0201853640443657,0.0213324291414347,0.0163359375461719
"m__2-Heptenal, (Z)-",0.00570194419349811,0.0178910880805146,0.0196148414306553,0,0.00772997842339694,0.0658597974302638,0.0332240763747991,0.00739753669718271,0,0.0153225725456148,0,0.036235232724627,0.0303173717154709,0.010423140109831,0.00422963062434922,0.0169298140233469
"m__2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.0120081169400421,0,0,0,0,0,0,0,0,0,0,0,0.0137071745089447,0.00759815439276373,0,0.00222089638945003
"m__2-Hexene, 3,5,5-trimethyl-",0.00761535304673848,0.0183516263521651,0.0768949202451485,0,0.00571189874217114,0,0.0315349802531445,0.0386755243806959,0.0363052147177889,0.0177204555020423,0.0349777997134039,0.00204872248635678,0.0507803558248069,0.000130959678487314,0.0295881495395187,0.0233557306988312
"m__2-Methyl-4-heptanone",0.135490974772533,0.187487370301005,0.179487408097322,0.088851949644056,0.0371394997191726,0.240008176983779,0.119258536581946,0.0722636478057051,0.11458993880641,0.0697769202544058,0.0678259660135052,0.232260054554323,0.311171665919821,0.102695614571224,0.0859240570422467,0.13628211873783
"m__2-Methylpropyl butanoate",0,0,0.0659864516270703,0,0.0227089342346013,0.00466084085852399,0.0234913970201211,0,0.0479105418869914,0,0.0148821029539274,0,0,0,0.0579800984650895,0.0158413578030883
"m__2-Oxohexane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0,0.0268489448611428,0.0185234569989462,0.0347866035796496,0,0.0403257172009927,0.0205986318681953,0,0.000485992842772192,0.0075740693157575,0.0154334686254159,0.0276586074021663,0.011988994395289,0,0.0160849468297953,0.0146872955946748
"m__218_unknown",0.0129773678438378,0.037933214840311,0.0667873017277433,0.0619853061952125,0.0238879778272312,0.00454899870730815,0.0282835632050037,0.0576636160813318,0.0196192338380799,0.0247739188122057,0.0311230957503004,0.0296579010063478,0.0210628525116318,0.0440920636241881,0.0503672771566715,0.0343175792751603
