"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00146988947287534,0.0131697396221046,0.0195266286779721,0.0109229296501108,0.00252545157300419,0.00153864764388275,0.0384005692275186,0.00150605654769418,0.0028408132806441,0.0505264029100688,0.011294809596232,0.0161591574196652,0.00801834509070179,0.00239164004750575,0.0140447331976967,0.0129557209305118
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0337068327542301,0.0911125479453451,0.0560462289276412,0.0577943323743802,0.14811475178075,0.0822382141290485,0.245221312064464,0.128080214193053,0.0475423758257267,0.0801011349195609,0.0908568452680692,0.100188761764048,0.0810240351577204,0.0879646338552901,0.105692783866189,0.0957123336550345
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.00737798449790155,0.0267568249853374,0.0334461678639594,0.0168390864983424,0.0374366956042689,0.0166956870461226,0.0619513635196019,0.0348030435811885,0.00970660680190661,0.0279860155700261,0.0173224807228607,0.031079530965996,0.0209305757332451,0.0230492965619204,0.0178244797630532,0.0255470559810487
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.00808541820598853,0.0223342721828237,0.04636270620031,0.0180470414388429,0.0442154697222925,0.0139637535601472,0.0405613980969239,0.0265744385217356,0.013456408745517,0.0230181869478186,0.0205578887083018,0.0296869550774868,0.0230009672039106,0.0227732512804354,0.0345592155066477,0.0258131580932788
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.128777318802151,0.0835827318596597,0.19658848945378,0.316167807689547,0.521962366865916,0.117713812298123,0.242956223758707,0.400043904149792,0.0863498394748485,0.29217446864409,0.1759488404433,0.268735857591944,0.0446959546177669,0.0323937453767762,0.188293136799151,0.20642563318837
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.0404690214237002,0.0417150595788339,0.032682589783739,0.0102239357722466,0.0412469902861345,0.0737102751762053,0.065842884266058,0.0111591607693202,0.00717205005263353,0.110814874848037,0.0835631735448932,0.0392090456363993,0.0057840901328356,0.0198065365432531,0.0681423106177585,0.0434361332288032
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.00272875456246333,0.0128987778390183,0.0153493763126751,0.0108120123488403,0.000606760492072122,0.00278581573021691,0.0296028546872579,0.00159725870574772,0.00234428404479293,0.00524628039308821,0.0124428587863883,0.0299816900863505,0.000461404213764951,0.000892954803044074,0.00580716413304984,0.0089038831425847
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.019450105659565,0.0238741648921147,0.0409043043328319,0.0460522655244221,0.107645729478083,0.0563824149473321,0.0742814994924921,0.0992684727092043,0.0843930157348788,0.148399382737885,0.0952376206123556,0.0683500066924887,0.0488465705635241,0.0300581214297751,0.0705666058993748,0.0675806853804219
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.234778884574035,0.527814414057478,0.806433324863753,0.470713875167622,0.80110424811044,0.616830314474364,1,0.618664665179735,0.446866623791681,1,0.508966836868238,0.983357958042146,0.602818657781289,0.501544167424492,0.680786766988679,0.653378715821597
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0749569089859219,0.161814792848564,0.242152171642139,0.129871438955374,0.236353775791828,0.260203568862528,0.396228758447812,0.205225691901448,0.141754805211303,0.251912215963449,0.0996868277641025,0.250586075841494,0.165830985654362,0.134001422627891,0.461045131986473,0.214108304832313
