"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",1,0.572899493480018,0.877095849776662,0.802656059905422,0.748745654203088,0.649509709661321,0.624993865115623,0.775331212720011,0.539415232612518,0.702297302073894,0.651008544361306,1,0.549111613638603,0.645905139468163,0.796648148725472,0.729041188382807
"m__1-Butanol",0.00171269049525599,0.00975070059448543,0.0515276259703673,0.0110800072239183,0.0322856372692464,0.0367921697213206,0.0512539759101778,0.065105464832687,9.71775126378207e-05,0.0110766491533895,0.00667420968319425,0.0357226083104646,0.00596712088602314,0.0224869745043068,0.0239248372715131,0.0243638566225992
"m__1-Hexadecyne",0.00319926897245886,8.65956182632257e-05,0.0258055914824544,0.00959911617103983,0.031944502601864,0.011240247619079,0.00124184615347932,0.0130852379831383,4.28480343936385e-05,0.00349587721895167,2.79908849185483e-05,0.00199383636209384,0.00203774808596629,0.00853379988956117,9.33557067512305e-06,0.00748958950988914
"m__1,1-Dichloropentane",0.0241948501911726,0.0287557989032151,0.0291706533275119,0.0277115808449314,0.0785792044734467,0.0278786544897973,0.0438478280565087,0.0446459300896209,0.0039049259716551,0.0559620258438203,0.0140466641447313,0.0194198541498433,0.0292414442801914,0.0128766398497026,0.0417372654128095,0.0321315546685972
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",0.581060531692215,0.768950458487314,1,0.865342149005189,0.719991688380009,0.903420240488823,0.772771249830411,0.926091874210759,0.664439416268686,1,0.791199173563767,0.929668019669921,0.915142335186596,1,1,0.855871809118913
"m__1036_unknown",0.10548162586871,0.0330786339433615,0.0345378843801553,0.00873734171103666,0.0111436214731739,0.00953908246594875,0.0301641095544395,0.045452472453159,0.0547965794214128,0.0333311520883215,0.00805144187162174,0.026523473263101,0.0171994756875384,0.0679221814958513,0.0602903351059929,0.0364166273855883
"m__1152_unknown",0.00928510220679739,0.007481594708623,0.0465093292553962,0.00810954911547529,0.0008900009384337,0.0141696442970916,0.00860898082261873,0.0445894782849934,0.0193685103281115,0.00634959807813036,0.00868472471094774,0.00908232113439548,0.0367482722078893,0.00586164454649769,0.00824056838618076,0.0155986212681055
"m__2-Bromomethyl-1,3-dioxolane",0.028679894556155,0.0225787399028806,0.0338642773994522,0.0277085484888565,0.0170488917811554,0.017018189975689,0.0328793500441662,0.0127173181150906,0.0518659963482442,0.00808990315817073,0.0128101116132355,0.0225532058565251,0.00557423900441393,0.0278543480065321,0.00672479042574826,0.0218645203117544
"m__2-Heptanone, 5-methyl-",0.339539291950109,0.260983604155012,0.433275372863268,0.540845229140447,0.635543103992093,0.275744634596367,0.674826893927864,0.330617074887401,0.496918747135338,0.402838387857248,0.297789212723826,0.379406598864304,0.326072323382961,0.613228651276563,0.273721444883636,0.418756704775763
"m__2-Heptenal, (Z)-",0.00678323806435952,0.00373641971940582,0.0030226990099175,0.000730508084201635,0.000373110394018944,0.00625111010007433,0.000338866019968123,0.00940310714926694,0.00236930936977872,0.0287329587740746,0.00479591085215125,0.000275720656236037,0.00293027436572717,0.00278989245576361,0.014161914219251,0.00577966928227968
"m__2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.0109459114402551,0.00244869962217797,0.0168405631501018,0.00763696403190439,0.00405099748717563,0.0094011099448731,0.00692920789497152,0.0449647104622695,0.00296443534328986,0.00811104703659577,0.00891386843904146,0.00906914490098799,1.65192182396304e-06,0.0105697755436355,6.6123731728907e-05,0.00952761406338883
"m__2-Hexene, 3,5,5-trimethyl-",0.00257985767139366,0.0311271068383398,0.0103473981410043,0.00282880710095103,0.0371172525614327,0.00611076101528069,0.0195491241097542,0.00809224821593534,0.0145867593609802,0.00103154060915487,2.32999224301584e-05,0.0021729379591786,0.0050799241110162,0.000186079214927348,0.0145002261763854,0.010355554867211
