"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.0425363996419373,0.0052495519538717,0.0699606628229883,0.040690932366771,0.0484265234174613,0.0180696850207616,0.0225059278508976,0.0267600545103122,0.000389231070985113,0.0658851310349828,7.38135198581068e-05,9.09855562533253e-05,0.0178655177961911,0.00442990912726043,0.0477684796907305,0.0273801870254175
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.00870310698443587,0.000272236648735633,0.00816233044155249,0.0177769640797077,0.0016204663810765,0.0138852482311615,0.000123800768649665,0.00012629976250695,0.000857588773261328,0.0247662952773668,0.0250299204628459,0.000377427423448758,0.0238544078365635,0.00495941564248019,0.0201225777456088,0.0100425390972934
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0098482268445677,3.37998780802177e-05,0.0208071173292342,0.0207951275845289,0.000175915173088412,0.0127123462131994,0.000149797134931051,1.58844667915776e-05,0.049557833889036,0.0697207734013165,0.00123035300512846,0.000210560183373102,5.37600418468178e-05,0.00970805919645296,0.000568862195401512,0.0130392277691318
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.167231853701227,0.137971183820591,0.0546956549975603,0.0178124266199732,0.0140288344064369,0.089555231782139,0.00204818679468511,0.032333238506348,0.0848846695946422,0.0917194097046773,0.0721038414529842,0.124442516993574,0.118277728934772,0.0974978923641918,0.0545379597896005,0.0772760419642268
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.0206017760504402,0.00915928445770153,0.0273918360085721,0.0125464046828479,0.0505915154571326,0.0680555449996679,0.0313868120476031,0.00597145501840785,0.0510883735939654,0.000644566908752805,0.00746177661409121,0.0225536814592873,0.0675011732688333,0.000429971034941018,0.0485580868169819,0.0282628172279484
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.0172602170155273,0.0315508013141852,0.0155663528434228,0.00636152141995069,0.00144193697421695,0.0333991902878436,0.0291045526928079,0.00806779123176312,0.0260300849836994,0.0195957610416607,0.000198034000185687,0.000418240714719235,0.0425003048261994,0.01102740955456,0.000123317113999264,0.0161763677343161
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.0255686124280444,0.0157849791578997,0.000422586417701889,0.0335444156835665,0.0277619118362616,0.000180365066010278,3.71020649996068e-05,0.00971488854417996,0.0110002524457689,0.06422104307299,0.0154937491248571,0.00274359383779134,0.0299619183007903,0.00724298491439603,8.30155558701671e-05,0.0162507612300752
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0191144490205562,0.021020042609159,0.000621324340944627,0.0527052759349889,0.052665079665198,0.0198717094426905,0.0747768971499781,0.0157164917299282,0.0800045631330714,0.0363085519226291,0.0516612450823546,0.0155549503063722,0.0405060111679291,0.0104119385729892,0.051642367079859,0.0361720598105765
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.0128866582147859,0.0138049458403783,0.000868101808414312,0.0692488556715299,0.0929972990051086,0.0518140538056787,0.0903806155756223,0.0074792403739649,0.0390015025824481,0.184227903313734,0.0223747017705986,0.0274035372390121,0.0503076520792613,0.00321423217255742,0.0492824050919488,0.0476861136363362
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0401985586676032,0.0345809178011539,0.015692122454636,0.000603182002301216,0.0431568508244337,0.0422735904931863,0.0277718138094169,0.0634361092739432,0.0485304448648263,0.100651511038751,0.0108087881179283,0.0514769582628056,0.0316887497653361,0.00201787741269104,0.142018310301541,0.0436603856727036
