"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.0107764996930803,0.140592163302626,0.0142835093350317,0.0387073078190782,0.151800784639004,0.18427016814915,0.101693839854176,0.129588095011731,0.15560825911805,0.261908252404297,0.0410887690920775,0.0262444832182914,0.110255758538614,0.145109319526602,0.206311547937509,0.114549250509288
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0376976836000905,0.610777434258468,0.132738454419523,0.0580798819258318,0.243522430695256,0.0845453900426474,0.0223147106777602,0.172650185989351,0.280855022590735,0.407247939166168,0.0911630911589687,0.0477582330043688,0.253086549512165,0.353029973201891,0.265687668445687,0.204076976579261
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0979505418408717,0.353023240381629,0.0798263783722463,0.341920645406052,0.175882240208545,0.082239972453808,0.421218128729021,0.256893590865698,0.412186513648227,0.454993133747535,0.112527877031402,0.23376514028952,0.144525488428038,0.209011089654905,0.515304111732463,0.259417872852664
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.106388771150177,0.464043531865204,0.205088097959617,0.268017459313289,0.297609770978636,0.138645610772546,0.134256230048381,0.102482600642,0.262075035661746,0.37008779234626,0.167650504926208,0.166224066675266,0.220342794655324,0.0748979168110709,0.549097801864871,0.235127199044706
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.042666113805575,0.153800357360801,0.0319101904858902,0.112393946422085,0.32757811577907,0.0631082468877046,0.0482440542778707,0.0891629226158316,0.183616537764033,0.361510106361265,0.11626135703245,0.0193581756683024,0.0234309350698498,0.288550020336778,0.0154497708114078,0.125136056711928
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.0306899305606904,0.110462618262403,0.0554708378592942,0.220536743355008,0.33355756557186,0.117419117931602,0.110479871192746,0.360387186724976,0.154973236884382,0.314223099078967,0.0773334270272545,0,0.0781602357512195,0.274180902568795,0.172877807648448,0.16071683869451
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.128268733827048,0.228269994282449,0.019839230644317,0.0437287679503089,0.375293136056318,0.241448558203164,0.2769829524804,0.441486721526142,0.211680741177445,0.358345916147542,0.26966258842996,0.0784045112090831,0.266386115300836,0.301323071725346,0.233160967592592,0.231618800436863
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0976603511489973,0.38606610388973,0.0445736346811781,0.0128209463224942,0.328206210648142,0.112996956430917,0.0746318261149745,0.0163164901611711,0.211443348508638,0.231938021997832,0.0509365181089794,0.0101223023094431,0.196891346277341,0.166740730129852,0.223828031771177,0.144344854566724
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.0396325742715305,0.327725864146053,0.0372856371271036,0.057459026387801,0.328782840208148,0.0816522571081858,0.0609428587195416,0.322911734648681,0.0983768708765811,0.35117697422003,0.209469143453928,0.00841886064302867,0.111711629357291,0.300162696246564,0.138210146876422,0.164927940952726
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0687587962089945,0.228969578181132,0.0779386065447868,0.0725439216056597,0.369271242994054,0.24641233623306,0.0999033607948785,0.197615136823796,0.0828611937471117,0.353288959711133,0.0375037948977999,0.0947423216555889,0.142140014253154,0.267863322814009,0.210257466406383,0.170004670191436
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0.0356263105781668,0.0577832660257423,0,0.0505609743458218,0.362602248378951,0.0909497878860128,0.0927445859423454,0.117842437633777,0.016480600374131,0.236256331907675,0.06638979631888,0.0783942990080373,0.0626617464891596,0.212216674236668,0.271145448735591,0.116776967190731
