"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0.000826057640528848,0,0,0.00364601095192233,0.0231696613215155,0.0279897569706086,0.00217189947088496,0,0.0181222006778394,0,0.0159068712965906,0,0.0217160957844741,0.00468955946675762,0.00788254090540813
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0857222979441287,0.0394556503301512,0.0945274391694544,0.00702171879482921,0.0966508008119854,0.136426881160077,0.13060367013435,0.036520229452869,0.0785375971268659,0.136155399012888,0.0435214218643349,0.0973818484277996,0.00279504350412059,0.120668486893866,0.116259146191856,0.0814831753879718
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0300250229390262,0.0132751246546212,0.0080387568143899,0.00149700348689293,0.0480222591964908,0.0605686862946357,0.0594931410138465,0.0129953186364768,0.0303290705549954,0.0473804067208191,0.033435729629649,0.0428774613476269,0,0.0342992650213132,0.033433615425986,0.030378057449118
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.00824273298058612,0.00867131329314821,0.0198423544764591,0.000519969213224638,0.0150844514522617,0.0242211192535497,0.0323399790896628,0.00852542781884242,0.00508477976679423,0.0283741537452879,0.0138928146987198,0.0224084135076951,0.000543862984020555,0.0285865334469632,0.0278362513619105,0.0162782771392751
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0,0.042897774951994,0,0,0.13923441166593,0.219015528307294,0.461382255957631,0.0535140552754823,0,0.106889811781628,0,0.209265587724859,0,0.235944541468359,0.0583637232927327,0.101767179361727
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0,0.0666236413216824,0,0,0.137351188403159,0.231537410676903,0.251509477442376,0.052901559448662,0,0.108289629680931,0,0.0849373715728175,0,0.33296531306747,0.0345849043156092,0.0867133663953073
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0,0.00355504833342159,0,0,0.00645520537606006,0.00810043629823698,0.0124807397275405,0.000564974320021704,0,0.00160084038625324,0,0.0125829091801265,0,0.00160266746889748,0.00989509791275185,0.00378919460022066
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0.0343455811534928,0.0446985788392528,0.00701568083815815,0.0617433360255218,0.199091195732899,0.0988216204632075,0.0201474104285015,0,0.0682236649051565,0,0.182506390053532,0,0.109781264439894,0.0677215355045489,0.059606417225611
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0.268521021739984,0.112524128770729,0.0536300698541305,0.291605137440246,0.384836075088225,0.444953574847994,0.101898630983488,0,0.274827599473689,0.182960035883311,0.210505354672428,0,1,0.335013099504757,0.244084981883932
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.304328409146848,0.152249519648278,0.378827826730998,0.0275911485624108,0.261733220718748,0.444175734685924,0.438555460057211,0.127991248492898,0.141258898560968,0.332716365749258,0.262007139488192,0.33956323141508,0.0719113458590491,0.602878615331888,0.449824177265322,0.289040822780872
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0.438446381956846,0.212267685456381,0.490360238379396,0.0351951669423769,0.355176179580983,0.468874317178886,0.617947703027208,0.147167509859232,0.459227253342043,0.508153777485215,0.386913631115826,0.358150895504655,0.139464657000552,0.620775213035179,0.462071002420409,0.380012774152346
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.839404054603329,0.244839264368745,0.910408653070609,0.171604952345286,0.490135122594579,0.637321011786743,0.797198825418602,0.194361913750125,0.823548076518572,0.508930978939316,0.753672043293882,0.630890730199611,0.125433276733755,0.685022186980515,0.68563652017068,0.566560507384957
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373435",0,0.193611108071061,0.238456909353336,0.0152871529279687,0.265402865561167,0.410904137350216,0.43834017533791,0.114866153095485,0,0.384890760320188,0.122079473211249,0.319273182782138,0.00993569379033887,0.620723016776096,0.40835145684582,0.236141472361532
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia",0,0.0173915112832848,0,0.00345346411048576,0.00834504696894582,0.0126213684730608,0.0165427024407928,0.0191774332392212,0,0.0100592140267865,0.00532642813295008,0.00745173353576786,0,0.0155620802600076,0.0498490324619804,0.0110520009955522
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens",0,0.0177974855001531,0,0.0033498859301069,0.00802349262011793,0.0128351968628036,0.0157088954128614,0.0196476112560449,0,0.00967222387305785,0.0103294944803201,0.00715994669504739,0,0.0145352718982512,0.0493349420000498,0.0112262964352543
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0,0.000313003096102598,0,0,0.000350820339358128,0.0018898484184984,0.000238346649474589,9.3043499472457e-05,0,0.000766978343120601,0,0.00168570206127745,0,0.0130026134219283,0.000315988459017663,0.00124375628588335
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium",0,0.000115309491579549,0,0,0.00018184265199952,0.000366901638097235,0.000409861391450034,9.34633283770569e-05,0,0.00148338569253972,0,0.000353353859521675,0,0.000382172286908856,0.000297479924150628,0.000245584684308285
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Parascardovia",0,0.0157586789537173,0,0,0.0188881787128692,0.0480637674427559,0.04208759921495,0.0126321023574239,0,0.0843555682379887,0,0.0368885295119255,0,0.0263976655470606,0.0531765723286604,0.0225499108204901
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Parascardovia;s__Parascardovia denticolens",0,0.01569764332881,0,0,0.018741318042811,0.0478323835924743,0.0420012684315417,0.0124290897872236,0,0.0838598313628999,0,0.0370208459089372,0,0.0265117794312421,0.0529264381430356,0.0224680398685984
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia",0,0.00918038514645514,0,0.000387890003629402,0.00851500801171873,0.0194729828985611,0.0194094645474739,0.00717878514288382,0,0.0182769895538297,0,0.0137706721839372,0,0.0124254695916794,0.0155231068782514,0.00827605026389465
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0,0.00818739473330078,0,0,0.00715084648796132,0.0144438716294259,0.0161884971283681,0.00547249839055433,0,0.0150627778357852,0,0.00872181553937595,0,0.00869817541638826,0.0116840638603084,0.00637399606809789
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium",0,0.00270117391627354,0,0,0.00784619314989054,0.0175120045297882,0.0115948066866167,0.00281959345957183,0,0.134957677951857,0,0.00892390793490414,0,0.0204419144255254,0.00792920781161907,0.0143150986577364
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas",0.119667286389422,0.0894414172947037,0.00693349526366051,0.032915596340333,0.225350925480162,0.329287929589399,0.327052817974351,0.0729318690994918,0.051461550873399,0.211880212942677,0.0470306831341634,0.35697223657516,0,0.310231212229226,0.303322411065175,0.165631976283422
