"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",0.658473893554142,0.513039462071879,0.666636264703688,0.599967793469544,0.801414979960736,0.482072329423284,0.728579522974362,0.655898422602666,0.731302746463815,0.718760770517298,0.758493978594085,0.517258074543111,0.644500438575957,0.481135701247656,0.641991219208255,0.639968373194032
"m__1-Butanol",0.00955610086454305,0.00351913592536095,0,0.016230557558309,0.0433263333436413,0.0105056253772447,0.0240781526838826,0.00525809084476268,0.0095185827974709,0.0303415863374199,0.0400947143683055,0.0297596269646253,0.007574854648072,0.0258253287590351,0.0237818151067424,0.018624700371961
"m__1-Hexadecyne",0,0.00486960060860418,0.0127537874509926,0.0140430545532736,0.00553180962663257,0.00177586828145689,0.00784471681159104,0.00137100640877809,0,0.00753141162791449,0.00130653792299396,0.0145096558162658,0,0.00240047595705271,0.0014896204312301,0.00502850303311906
"m__1,1-Dichloropentane",0.0137013990555691,0.0449140171653933,0.0982899019329039,0.0182879099738238,0.0478002530049219,0.0246251125054916,0.0153554033755677,0.0309220112413545,0.0315037866033799,0.0562157136510212,0.00893385802334142,0.0107402823489219,0.0430936408928942,0.0245579095960606,0.0277126691617813,0.0331102579021617
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",1,0.502702991314347,0.636059726081322,1,0.831072193236643,1,1,1,1,1,1,1,1,1,1,0.931322327375487
"m__1036_unknown",0.0269007293253483,0.0362320392400152,0.03524569400996,0.0370058336413534,0.0571230372642242,0.00717138487309297,0.0130550127629545,0.0455436554969193,0.0508500570745295,0.0396982685088713,0.0299797760608388,0.0175813867958952,0.0486055851519231,0.0305793445351735,0.0384334114431662,0.0342670144122844
"m__1152_unknown",0.0142553142463978,0.00514575319677008,0.0095363264024571,0.00410791871513495,0,0.00537905935082127,0.00786953354318254,0,0.00579354668995288,0.0161232803649847,0.00627400201993687,0.0032523773558141,0.0116500025839154,0.00531170706977661,0.0100652228142084,0.00698426962355685
"m__2-Bromomethyl-1,3-dioxolane",0.0555265405660322,0.146821795697503,0.0157856073862156,0.0363830873745848,0.156610116044989,0.041834773615024,0.0766136711972224,0.0397058786059261,0.12928241025696,0.06863978139105,0.0937496440989188,0.0656398862284848,0.0864011263085418,0.044260099060136,0.0720434076374892,0.0752865216979385
"m__2-Heptanone, 5-methyl-",0.506797827581421,0.337897776898871,0.540159584840223,0.449764263639848,0.529871417096215,0.352215890692181,0.649889190100488,0.262877616424447,0.510035939349387,0.405280957748125,0.526398236455843,0.478229355711173,0.339803825443562,0.484556755312929,0.348788133327639,0.44817111804149
"m__2-Heptenal, (Z)-",0.00171809111361183,0.00444185163582207,0,0.00162661300954392,0.00441743184864186,0.00906250516102143,0.00401769574214998,0,0,0.0114617874319518,0,0.0219800914936082,0.00745587127737771,0.0208374748974193,0,0.00580129424074321
"m__2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.00500535116185346,0.0213928048441519,0.00446263193130473,0.0281761851358511,0.0230478136010484,0.001759116918886,0.041636206255809,0.0202478156945758,0.0170933948729984,0.0062890918513983,0.0515535846323896,0.0221506327441427,0.0112077834975498,0.0165840089089124,0.0107003889764303,0.0187537874018201
"m__2-Hexene, 3,5,5-trimethyl-",0.00983175924892203,0.00497499165969775,0.038449482205074,0,0.0103076390524888,0.0158673370356466,0.00210532825971866,0,0.00818326420336081,0,0.0129690755567334,0.0153109388056813,0.0215156728905353,0.0159387444078857,0.016800790435088,0.0114836682507222
"m__2-Methyl-4-heptanone",0.0386424171320605,0.0365504764450302,0.031871914044865,0.00887389225270084,0.0249796405515196,0.0382788045262454,0.0111507220589143,0.0229755630181271,0.0232212400268935,0.0269384305938652,0.0388016171584879,0.0676714778415554,0.0221156595445752,0.0170222968279483,0.0310834042473318,0.029345170418008
"m__2-Methylpropyl butanoate",0.00771146934549816,0.0372135670478517,0.0358533308471969,0.00757195919409675,0.0284972697038112,0.014962827633696,0.0123364359831593,0.0232925140100691,0.0309973157803611,0.0242485839103412,0.0432626300013632,0.0234677421224435,0.0163219466638301,0.00650759374324528,0.0242279746835756,0.0224315440447026
"m__2-Oxohexane",0.447728587012546,0.401715129210498,1,0.469643772144898,1,0.617922788747798,0.607141147231141,0.365843515572885,0.55423571238474,0.599410372529482,0.539802327354647,0.572416907158957,0.406108591739181,0.518917747911887,0.292396756687592,0.559552223712417
"m__2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.00517580922985232,0.00942754265806141,0.00354643543512008,0.00996216604792695,0.00559725429055881,0.0111601914099695,0.0223761470469888,0.0100970851801497,0.0116290787907392,0.0128138980886532,0.00797421301963528,0.0129165513294505,0.00804715495577233,0.00698375381733695,0.00156883818442599,0.0092850746323094
"m__218_unknown",0.0150470796072091,0.0427550553536653,0.00754406199876393,0.0197144578697797,0.0332916167448518,0.00298197882261304,0.0443462118081878,0.00873478430714216,0.0465485242862019,0.025564044304287,0.0356888098637908,0.0231528527280026,0.00972778408857412,0.0179104879539421,0.0123435613501223,0.0230234207391422
"m__3-Hexanol, 2-methyl-",0.0183488146704839,0.0319877298755073,0.0459421381734218,0.0417722161316341,0.0443708490679352,0.0337408207260241,0.0358704274564671,0.00549281413773274,0.0501812722687677,0.0399985864118617,0.0289602259046391,0.0159308992818656,0.0202024652485247,0.00661280541425632,0.0389136266005354,0.0305550460913105
"m__3,4-Dihydroxyphenylglycol",0.0286292858849531,0.0228797713593753,0.257906428404431,0.0454369011179511,0.047106360080098,0.0457918727884218,0.0591081943243436,0.0404470498299539,0.113504622174616,0.0726300798414641,0.0600645935271005,0.041778326961523,0.0356610036973264,0.0522105085620378,0.0767586874637804,0.0666609124011584
"m__309_Xylene",0.0893553946718769,0.112499527458525,0.0930301887856123,0.132984135301097,0.0574760504649786,0.143612124364383,0.223250085828235,0.243289119625197,0.166420396863072,0.256195955811516,0.333207730318365,0.118996792494955,0.0954738182815999,0.109852525591309,0.0999530489800606,0.151706459656052
"m__319_unknown",0.0263703870077719,0.0176083611063199,0,0.0373956697531665,0.0107721910357207,0.0206240734438334,0.0282870202896972,0.0326553946564755,0.0158942759725523,0.0180656290835609,0.0288399242441597,0.0176385235933424,0.0440353949809647,0.0107842071874864,0.00137032182526578,0.0206894249453545
"m__367_unknown",0.11104753349715,0.198070739953577,0.187258647032739,0.176516887948326,0.193131385109133,0.189724515227542,0.311695719180869,0.213571966775843,0.290237784006333,0.231190175292463,0.119183533989793,0.165840676978532,0.161024133922346,0.163859367769675,0.0921892686855197,0.186969489024656
