"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.104199797828902,0.0193292540990306,0.0089780310469616,0.0333174792188009,0.0332535143801482,0.0255951685895831,0.00409660625603526,0.0412680579080249,0.0105255332701577,0,0.00721793644823409,0.0339345018991816,0.0135454626503954,0.00701536891195948,0.014324288832248,0.0237734000893109
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0990217052234338,0.0176118893346393,0.0172593342042829,0.0103920598044446,0,0.0847094442268017,0.00583822300503407,0.0328825615303298,0.0419583671173539,0.169872840728966,0.0814595743861479,0.0605662786160393,0.0202785203778794,0,0.00667343338537671,0.0432349487960487
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0400357171868543,0.00529824337483732,0.0996574381715148,0.0248094390701788,0.0503862423380253,0,0.0204767288090131,0.0462715251071168,0.0760241864030144,0.19278781252949,0.0070735777192694,0.0237258325908869,0.00352182028910282,0,0,0.039337904239287
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0979401439938563,0.0125484711509305,0.0972760069786751,0.123229086298743,0.0630135297600958,0.0279421805895959,0.0144961338517133,0.108588160300387,0.0143848954692155,0.216688784286827,0,0.0780942065646235,0.00220113768068926,0.0802200382281557,0.0720177093615406,0.0672426989676699
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.104566850950666,0.0105220099712771,0.0556735762443538,0.0414101914858515,0.00888286495439208,0.0790800772301863,0.00232591346517965,0.0528307978531303,0,0.0213262227292076,0.0343241369967932,0.0224385360648998,0,0.0517970122676566,0.0190684932934886,0.0336164455671389
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.161420517219845,0.0312556110561469,0.010231066566335,0.12666280624158,0.0601495152418661,0.0064227313155211,0.0316895096762733,0.0077500986771821,0.0614218529296179,0.0262631745389963,0.0191323850278459,0.0180458067823533,0.018931942032046,0.0593786839432151,0.0123823055258575,0.0434092004516454
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.0474924379191859,0.0582545947983682,0.0522734044510593,0.0347585630057796,0.0658885247770854,0.0522590767238354,0.0542792119823576,0.0217740867597021,0.0159988105706397,0.118916443453884,0.0264333604599211,0.0557520451644282,0.0104435931137877,0.00173621538442853,0.0111949826565877,0.04183035674807
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.202552109237146,0.0712145691090423,0.13968364175891,0.0403790601249285,0.0126753920702672,0.0377027205098988,0.135475700210603,0.0747052921887504,0,0.0177651288374042,0.0877120159340098,0.132033304409509,0.00142589422082386,0.0412372504017307,0.0244613379321995,0.0679348944630148
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.012596695908083,0.0596766570422932,0.0689343911790294,0.0272875764795643,0.0183359332433519,0.0747872933749005,0.0462926385129158,0.0294206026854564,0.0243809625203289,0.0359668327874401,0.0386143269807564,0.143968234996149,0.0809088552175794,0.0729975761504408,0.0299119621453527,0.0509387026149095
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.167674028232361,0.0165571830274766,0.0998338020857637,0.0449172122960111,0.0649237826970284,0.117119024186086,0.102344368267447,0.0184485771943034,0.0325225779820788,0.118896227742833,0.101281649139142,0.0285124036182189,0.0468683057829453,0.0893382835719094,0.0833314389922137,0.0755045909877212
