"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",0.164860537463389,0.059335561081486,0,0.143545789284149,0.0938937858884911,0.0226895207308823,0.120133740547484,0.103027671678817,0.255506952522255,0.156574597707487,0.360403827066501,0.0971385260667523,0.340053173638685,0.204577473874339,0.0635128715830585,0.145683601942252
"m__1,1-Dichloropentane",0,0,0,0,0,0,0,0,0,0.000744741196715904,0,0,0,0,0,4.96494131143936e-05
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",0.530703791221444,0.156424446380583,0.679645344953634,0.665334027416998,0.941802791468104,0.959151227322562,0.982080134635892,1,1,0.720218359342798,0.785169533170336,0.208738234139416,1,1,0.73637261448246,0.757709366968949
"m__1036_unknown",0,0,0,0,0,0,0,0.00500790123522516,0,0,0,0,0,0,0,0.000333860082348344
"m__2-Bromomethyl-1,3-dioxolane",0,0.151896989499558,0,0.0721120395040846,0,0.025398854937532,0,0.0117883422912249,0.0423111093844799,0.149463105725393,0.0437803286343974,0.167978687970389,0,0.0277526286930719,0.0912784644093466,0.0522507034032984
"m__2-Heptanone, 5-methyl-",0.125130557802676,0.00261578384641718,0.0493250237377849,0,0.105973081084797,0.0406444641274814,0.0779209990457318,0.0309473282212861,0.048095029393609,0.038402297188351,0.0260919722769618,0.0213720605872734,0,0.229156813867335,0.00675257873466853,0.0534951993276249
"m__2-Heptenal, (Z)-",0,0.000120215416744343,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01436111628952e-06
"m__2-Hexene, 3,5,5-trimethyl-",0,0,0,0,0,0,0,0,0,0.00666413606541537,0.00105378690405104,0,0,0,0,0.000514528197964427
"m__2-Oxohexane",0.261520116003524,0.506014778196835,0.414097668883452,0.131475650243014,0.68981173408575,0.303430636897839,0.282078710355027,0.131896027707544,0.281527906581806,0.436459767846758,0.156023613903234,0.350976980943872,0.313020245983671,0.52900284755884,0.272599747832704,0.337329095534925
"m__3,4-Dihydroxyphenylglycol",0.0133286901806176,0,0,0,0,0,0,0,0,0,0.00158249940013671,0.0160005412064971,0,0,0,0.00206078205248343
"m__309_Xylene",0.0479552008289009,0,0,0,0.028856833960942,0.00995758354219409,0.0186616400272543,0,0.0355530484182122,0.00451423884052676,0.0143580249616655,0,0.00431493829190756,0.0770203268702656,0.00451058975579686,0.0163801616998444
"m__367_unknown",0.0402116404069062,0.0257685121965118,0.17777326678214,0.0724179923779125,0.0936678186801633,0.167358816359033,0.0582503988847881,0.142566067536603,0,0.0898959954592125,0.059795504011384,0.0595162999115407,0.265060655502373,0.0521251635733638,0.0964287646040675,0.0933891264190666
"m__385_unknown",1,1,1,1,1,1,1,0.738170403111943,0.37263728706818,1,1,1,0.590259757181745,0.921587076321949,1,0.908176968245588
"m__5-hydroxy-7-methoxyflavanone, tert.-butyldimethylsilyl ether",0.0616688789564036,0.013844089903061,0,0.212451303243357,0.208590859306757,0.191232925194411,0.117602741763636,0.0705185255266286,0,0.085731560332511,0.141133228145185,0.0720372080176883,0.150181202232434,0.090426327478482,0,0.0943612566733703
"m__978_unknown",0,0,0,1.0941520399078e-05,0,0.000410471482242333,0,0,0,0,0,0,0,0,0,2.8094200176094e-05
"m__Benzaldehyde, 3-bromo-5-methoxy-4-[(4-methylphenyl)methoxy]-",0,0.00077247094137841,0,0,0,0.0058003019546608,0.0022112142135793,0,0,0,0,0,0,0,0,0.000585599140641234
"m__Benzaldehyde, 3-chloro-5-methoxy-4-[(4-methylphenyl)methoxy]-",0,0.00627451526419394,0,0.00439568835033009,0,0.00769785797771909,0,0.00883279938140064,0,0.00965348268556068,0.0247496530719168,0,0.0162736667898724,0.0286300788377537,0,0.00710051615724982
"m__Benzene, 1-ethyl-4-methyl-",0,0.00693305444688854,0,0,0.000563789228199524,0,0,0.00197191368895715,0,0.0124654178479991,0.00181000628334837,0.0240478221777987,0.012424083056747,0,0,0.00401440578199589
"m__Benzoic acid, 3,4-dichlorophenyl ester",0,0,0,0,0,0,0,0,0,0,0.00328612926336952,0,0,0,0,0.000219075284224634
"m__Butanoic acid, 3-methylbutyl ester",0.0204641793733665,0,0,0,0,0,0.00013846536952967,0,0,0.00576626534684177,0,0,0,0,0,0.00175792733931587
"m__Butanoic acid, butyl ester",0,0,0,0,0.0404090399176736,0,0,0,0,0,0.00130871092994618,0,0,0,0,0.00278118338984132
"m__Butyric acid",0,0,0,0,0,0,0,0.00529636476388952,0,0,0,0,0,0,0,0.000353090984259301
"m__Cyclohexanecarboxylic acid",0,0,0,0,0,0.000258935788588763,0,0,0,0,0,0,0,0,0,1.72623859059175e-05
"m__Ethane, 1-ethoxy-1-methoxy-",0,0,0,0,0,0,0,0,0,0,0.00744094461331754,0,0,0,0,0.00049606297422117
"m__Ethanol, 1-(2-butoxyethoxy)-",0,0,0.0208903406474386,0,0.00761944207650945,0,0,0.012396371333925,0,0.00142345648639478,0,0.00888682128506962,0.00358143176532352,0.0260694530198868,0.0681292863311151,0.00993310686304419
"m__Ethyl methyl disulfide",0,0,0,0.00106112750738678,0,0.00523601047848961,0.0425102467819293,0,0,0.00559249979014657,0,0,0,0.0187185294063439,0,0.00487456093095307
"m__Ethyl propionate",0,0,0,0,0,0,0,0.00240512959452952,0,0,0,0,0,0,0,0.000160341972968635
"m__Ethylbenzene",0,0,0,0,0.00776474626221667,0.00163191256595989,0,0.00212556692292039,0.0337985414114783,0,0.00242078543090363,0,0,0,0,0.00318277017289859
"m__Heptasiloxane, hexadecamethyl-",0,0.00018607061081529,0,0,0,0.00125413828245854,0.0171466958607871,0.00541316395733816,0,0,0,0,0,0,0,0.00160000458075994
"m__Hexanal",0,0,0,0.00114911570274462,0,0.00308729660665277,0,0,0,0,0.00364067946026438,0,0,0,0,0.000525139451310785
"m__Hexanoic acid",0,0,0,0,0,0.00091965789589568,0.00284350782918002,0,0,0,0,0,0,0,0,0.000250877715005047
"m__Isophthalic acid, butyl tridec-2-ynyl ester",0,0,0,0,0,0,0,0,0,0,0.0043080899172397,0,0,0,0,0.000287205994482647
"m__Mequinol",0,0,0,0.0118540870965053,0.00107445880369837,0.00281531457996909,0,0,0,0,0,0,0,0,0,0.00104959069867819
"m__Mesitylene",0.0196729449614269,0,0.0250962073568211,0.000565496955597548,0,0.0248928228231194,0,0.0219963553053774,0,0,0.0301401967510734,0.00796204142903804,0,0,0.0278044635663021,0.0105420352765837
"m__Methyl acetate",0.00341396745718324,0,0.0176303461815358,0,0.0194461515456643,0.0311666675781283,0.00865967880542577,0.00754668111968902,0,0.0297246195042988,0.0121192476542016,0.00592755094288146,0.0338512597852805,0,0.00528400506351277,0.0116513450425201
"m__Methyl butyrate",0,0.00133069914101441,0,0,0.00266086596739197,0.0018851739717223,0,0,0,0.00638126385610321,0.000711680883310843,0.00246523169505798,0,0.0187035241420462,0,0.00227589597710979
"m__Methyl propionate",0.00062611591390925,0.0109677484474866,0,0.00247769225587735,0.0157757898569844,0,0,0.00482406960353874,0,0,0,0,0,0.0101799148612161,0,0.00299008872926749
"m__Methyl tetradecanoate",0,0,0,0,0,0,0,0,0,0,0.0016172948408326,0,0,0,0.00748451465256121,0.000606787299559587
"m__Octadecanol",0,0,0,0,0,0.00839998209590035,0,0,0,0,0,0,0.0103836942457794,0,0,0.00125224508944532
"m__Pentadecanal",0.103984853963405,0.242278151067445,0.125368449164645,0.158899841146682,0.44664669671266,0.171186088037074,0.349481883377126,0.283353730128231,0.259362670401115,0.289148976372062,0.286131254744067,0.170669776277492,0.473801275456257,0.272025890668485,0.138795178419553,0.25140898106242
"m__Pentanal, 2,4-dimethyl-",0.00241932307327886,0.00504613330407639,0,0.00337296671759226,0.0443660177038696,0,0.0256855360286777,0.00616567621929285,0,0.0612577604119812,0.00443270656232055,0.0235793208045836,0,0.0061508466073502,0.00318670489548673,0.0123775328219007
"m__Propionic acid",0.0706006984618117,0.0117404517190305,0,0.00409642394825879,0.010889196805809,0.0202398701954816,0.00643380653246418,0.00304283793214704,0,0.00394660681585123,0.0746138224350748,0,0.0311439385690089,0.0300354216967396,0,0.0177855383407785
"m__Quinoline",0.011959856710315,0.000628307975314966,0.0302045194558148,0,0.0276776369563137,0,0,0.0124749904951943,0,0,0.00936489390181065,0,0,0,0,0.0061540136996509
"m__R(-)3,7-Dimethyl-1,6-octadiene",0,0,0,0,0,0,0,0,0,0,0,0,0.0136458234506999,0,0,0.000909721563379992
"m__Tetrahydropyran Z-10-dodecenoate",0,0.00721799463688509,0,0,0,0,0,0,0,0,0,0,0.00468882838124328,0,0,0.000793788201208558
"m__Toluene",0.00588733955761615,0,0.0934559884433415,0.000534536354747646,0.00838155495091479,0.0131662828868967,0.021358618860488,0.0132898765218288,0.0636971370046783,0.0179632652784849,0,0.0023773235494746,0,0.00905681452969202,0.00227937871542259,0.0167632077769057
"m__Z-1,6-Tridecadiene",0.0197832971314391,0,0,0.00405803067342902,0.0699235805499204,0.00107298464198004,0,0.0276470274786102,0,0.109135584713986,0.00127894985325204,0.0445768446339056,0.140631830565623,0,0,0.0278738753494763
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0,0,0,0,0,0,0,0.00166963631947803,0,0,0,0,0,0,0,0.000111309087965202
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0,0,0,0,0,0.00702532107801045,0,0,0,0,0,0,0,0,0,0.00046835473853403
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0,0,0,0.00156421740698578,0.000379017127779196,0,0,0,0,0,0,0,0,0,0.000129548968984332
