"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0,0,0,0.0043169446071712,0,0,0.0271905796623522,0,0,0,0,0,0,0.00210050161796822
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0195835510217628,0,0.00714928863913311,0,0,0,0,0,0.00829885588275172,0,0,0,0,0,0,0.00233544636957651
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0,0,0,0,0,0,0.0386775658448992,0.0295911078604652,0.145971133169748,0.0140680786981301,0,0,0,0,0,0.0152205257048829
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0,0,0.0215778471773398,0,0,0.0251875086301973,0,0,0.0168063688920806,0,0,0,0,0,0,0.00423811497997452
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0199275767114018,0,0.0102098887926185,0.0809125883285201,0,0,0,0,0,0,0,0.0454694056422334,0,0,0,0.0104346306316516
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0,0.0260218182272019,0,0,0,0,0,0,0,0,0,0,0,0,0.00173478788181346
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0,0.00956897904912772,0,0,0.0169952179076668,0,0,0,0.0586555536348684,0,0,0.0540462274424465,0.112019507177671,0,0.0167523656807853
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0,0,0,0,0,0.018351036720045,0,0.0356259643221435,0,0.0358453972026979,0,0,0,0,0.0901345280798594,0.0119971284216497
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0,0.00386747267015317,0,0,0.00523509944580058,0.0393566159793546,0.114526726713631,0,0,0.35523502954898,0,0.0696951097019575,0.127904310731369,0.0100401056018028,0.0483906980262033
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373435",0,0,0.00209626159663163,0,0,0,0,0,0,0,0,0,0,0,0,0.000139750773108775
