"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00173483023905862,0,0.00707979745235454,0.0121565231685282,0.0140299839983976,0.00163402401427687,0.00340542915082124,0.00809023535110724,0,0,0.0087300702626137,0.00998191024037312,0.00218608820555068,0,0.00130916673662182,0.00468920392131358
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.110758554283437,0,0.117545098460971,0.0853082577527928,0.114623967316818,0.153069157707562,0.101541164017689,0.111226124708789,0,0,0.154942671603888,0.0487943931917307,0.148688081225651,0,0.0421154105670552,0.0792408587224256
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0330458330858149,0,0.0324990675155624,0.0345783346754482,0.0366449312230642,0.0549554570163576,0.0427307568468089,0.0279984372681273,0,0,0.0380240094917708,0.0444376008581312,0.0365981294325686,0,0.00852297578823034,0.0260023688801256
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.014202353910118,0,0.0139738302615206,0.0085245521471046,0.0177582541819783,0.0122049865700037,0.00673374759651448,0.00546955587148738,0,0,0.012674662119258,0.0102500876886654,0.00620967643999508,0,0.000599130273913815,0.00724005580403729
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.292464013703544,0,0.253697997644869,0.215995402092448,0.298546491909945,0.312124473778073,0.248756209489937,0.206120846836614,0,0,0.293537260945836,0.425304834413238,0.24410608111471,0,0.078983837862817,0.191309163319469
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.154535130978357,0,0.0291540952449219,0.0694155923152333,0.0200038737996066,0.00885769295007418,0.0091401647744445,0.0408010480893864,0,0,0.107564622738905,0.021557848512373,0.0107699584482309,0,0.0100521902831184,0.0321234812089768
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.00173682140065426,0,0.00358906787457757,0.00461806982763275,0.00152027569966302,0.00696455383284743,0.00439876229212563,0.004773450293137,0,0,0.0119448250078919,0.00573236093943418,0.00546561312308053,0,0.00365268012478665,0.00362643202772206
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0364440388922357,0.0155121048900986,0.0292738018992365,0.0989086285110988,0.054866959435304,0.0634250641797398,0.0479352896626944,0.0409394177209598,0,0,0.0696647133385415,0.0706189548422914,0.041004533395723,0,0.0272477834460432,0.0397227526809311
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.618423143663634,0,0.346533382868737,0.404118509884683,0.469945015145401,0.588109786268189,0.412654738608504,0.360868275077977,0,0,0.564035860598476,0.77829116004332,0.464037574007543,0,0.16075162751618,0.34451793824551
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.195237296467304,0,0.188647083152424,0.14004026099553,0.167927727391969,0.224671782341933,0.116505227869179,0.152226602156541,0,0,0.212638536318657,0.245366336581443,0.182240500504311,0,0.0502790170847308,0.125052024724268
