"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.0269120868917056,0.00619376742327146,0.0579959543559455,0.030333318498932,0.0306550355503362,0.0477417491204654,0.0280264974547378,0.0430014573561563,0.0117334896298217,0.0220085208216045,0.0172932120394182,0.0104423927266376,0.0311252819924253,0.0274268116626625,0.0239800022672112,0.0276579718527554
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii",0.0585749575332757,0.0621944554988254,0.0537994361515657,0.0294809453839264,0.00435137158060966,0.0498045884915595,0.0319923605202626,0.129270500286579,0.061001280016736,0.0303698005607926,0.016747506530183,0.0243934763714192,0.0832889311234098,0.0457159793702742,0.0490534668168782,0.0486692704157532
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0301401983604782,0.0153842275806526,0.0377166121098206,0.0710768539886833,0.0257685014306548,0.0535710836042085,0.0252942113659505,0.0894246119140462,0.0411802268467469,0.0110389143685824,0.0350954371891925,0.0284931028928839,0.0431840976997036,0.0417487018621628,0.0374058109398353,0.0391015061435735
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0709161545675905,0.0963327246427507,0.0286492879345234,0.233368244679294,0.211269825469342,0.0176915106097058,0.211237594399534,0.0144368973198989,0.152090123065916,0.0251377620223041,0.0878338150166917,0.0918680006782003,0.0511741835054107,0.0658882177636035,0.0607656364437369,0.0945773318745669
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.0750390153552277,0.0560102222515391,0.0830422354567121,0.104914774252578,0.00286035865536003,0.0382005771390959,0.0226222867404037,0.0458272048847748,0.0559401947722448,0.042352684736821,0.0324550633225315,0.0697824205286697,0.0115815440224046,0.0274684024851049,0.0278511975097182,0.0463965454742124
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.000984143084825759,0.0455822924871231,0.0156132775490251,0.0413623958491731,0.0211823923576346,0.0592644285669112,0.0325931275496336,0.0162160315829508,0.0469097961678317,0.0353639640376454,0.0483754220659544,0.0381951254170323,0.0285420494023823,0.0281911036818239,0.0178390165281178,0.0317476377552043
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.0426490317996554,0.0415890809908928,0.0515609912198018,0.0310808264648324,0.0164784730930803,0.0606117009944127,0.0341193186286304,0.0581513123884972,0.0315772690677855,0.0243088359719186,0.00413361393989969,0.0574430271871629,0.0537258991031416,0.0903741465036735,0.00945232304906277,0.0404837233601632
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.123305941419188,0.055044115838195,0.0669068786440975,0.0282206489760605,0.0708220291165735,0.0609379373252633,0.0347682200985357,0.0274639285934144,0.179865103776302,0.0623901601627371,0.0265105707989595,0.0803912477324231,0.0444288016837513,0.0833897524454923,0.0399129016419977,0.0656238825501994
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.037670016185876,0.0238889197365359,0.0407376024137112,0.0446746869126658,0.0466680268515862,0.0654591351759206,0.0256277817009348,0.063720598664918,0.132475896047202,0.0173704965978144,0.0378042586132446,0.0899713738175088,0.0206144726638651,0.0251022525185527,0.0597751915218634,0.04877071396148
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0261552925258824,0.00603044782304197,0.072380587560913,0.0440542659519937,0.126969334746969,0.316978686540862,0.0138852182533346,0.026731681571616,0.129316788582746,0.0804354476362937,0.0359599325387732,0.0968780536505703,0.0591428112951538,0.0595448717852289,0.084568071583713,0.0786020994698061
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0.102763406803036,0.0658137015507963,0.147033685607418,0.152375260075172,0.0925509350352903,0.272616346761719,0.103612505808459,0.0774742242069553,0.0974561948774115,0.136457763473039,0.0348010377109303,0.167784997441907,0.0818539137172273,0.153434074099818,0.0269779526766097,0.114200399989719
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.0768520230040319,0.045677212818603,0.161071449215135,0.0724822196373949,0.110568687121941,0.164488764382954,0.102189365052373,0.0197593396648035,0.132607681791117,0.0320359982033201,0.0320189583640186,0.117508868273828,0.0775385236219281,0.0451653038811295,0.0267671391693421,0.0811154356134614
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373435",0.0832989241811358,0.057190666689642,0.0510334396766208,0.0186566018548068,0.0833907310466485,0.0691715217686322,0.0221234342020004,0.0703043325020018,0.0714638223316523,0.0828055399280975,0.0596353749661281,0.102841802194701,0.0521483526799419,0.0491073179170686,0.0654230552843739,0.0625729944815634
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia",0.0284179420537657,0.0607401508469576,0.0716763057760706,0.0379643860907563,0.0414321385503917,0.0968496593238269,0.0142991820429736,0.0486589810765409,0.0334597204888285,0.0197733381770644,0.0240008848111587,0.0160351179025749,0.0337280585831298,0.0585443993053454,0.0310453380335021,0.0411083735375258
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens",0.050582469062284,0.0505826187378585,0.0409956927585177,0.0385715453414508,0.0753492157902364,0.0875969163704297,0.0732070536533305,0.02783464292464,0.0818608474402577,0.0314641216682538,0.00661641432226602,0.0533379699338915,0.0705544548401729,0.0732470533306748,0.067132556409023,0.0552622381722192
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis",0.0122350818387537,0.0483636055196787,0.0204031991971863,0.0551175466617865,0.0412446908708288,0.017622774506539,0.00460030675397293,0.0113196501061012,0.00374878464600086,0.00980751550111088,0.0325800163483228,0.0075541918152078,0.0232931736640454,0.0333945290264414,0.0550715899281788,0.0250904437589437
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium",0.0994470098781545,0.0513972746061125,0.0469311630119617,0.0202619539406493,0.0183939882597818,0.0841393977565865,0.0481163067214045,0.0567193812133763,0.0648429593885676,0.014891036489833,0.0455175155398604,0.0383371742377802,0.0412666634179307,0.0828545405985984,0.0146964040484629,0.0485208512739373
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Parascardovia",0.0142375107192147,0.0119700660070823,0.044481693461614,0.033787083521463,0.00975622777003793,0.0359901722907026,0.0412665503518501,0.0785685395719044,0.0116149064082654,0.102134344589535,0.0233256849617259,0.0333525461939869,0.00333836699497727,0.0854290214191697,0.029006732655087,0.0372172964611077
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Parascardovia;s__Parascardovia denticolens",0.0561075263077998,0.0114620563807734,0.0554005040092357,0.031389273138759,0.0174117843085452,0.0655541433572766,0.0235431429368018,0.0364940268821136,0.0187440175705912,0.0137661591045908,0.0288850443750214,0.0410770653165732,0.00555783674664994,0.0575050928489046,0.0156015528225874,0.0318999484070816
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia",0.0154785319464203,0.0308815185977404,0.0330455025851917,0.0398782598653235,0.0231050489213382,0.0310283677095529,0.00748030377011669,0.0258670538640656,0.0368863795757464,0.00850363651049239,0.0349648818584192,0.014102841172921,0.027113983568109,0.0427507304611994,0.013824269660918,0.0256607540045037
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae",0.0366271167539774,0.0203183386163962,0.0549255934834947,0.0427920414442401,0.102543876021656,0.0332067517051546,0.016512471719579,0.0387834924029404,0.035232745386164,0.0110610346364541,0.0531963962890836,0.0104892625001394,0.0126319689634843,0.0424847085460451,0.0347954873677931,0.0363734190557735
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium",0.0875771253299639,0.0367427272673535,0.0273613916230531,0.0428800555109998,0.0284326439353428,0.0573467303209575,0.0210879281172555,0.0542467321740052,0.0663268331169044,0.0558722909353033,0.0282838303760361,0.0474868074288852,0.0173739769151172,0.0505211001698422,0.0260338090090766,0.0431715988153397
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas",0.0557682219045794,0.0282374183640468,0.038628091985344,0.0926755200175259,0.118058055810657,0.0401385364348185,0.0150015967835576,0.0271046648921402,0.00203985007395859,0.0101059214911397,0.0712606098052647,0.0282228346829265,0.0151831168862871,0.028063912189093,0.0252534655010698,0.0397161211214939
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium",0.0263620337925298,0.0139305707395581,0.0501035563454117,0.0253487123557002,0.0172980747215271,0.125397158851458,0.0307221139045645,0.0716962111593013,0.0427875527883601,0.0236067661118121,0.0461873105219614,0.0434165731803874,0.0999983197518391,0.101070805962421,0.0337365587366043,0.0501108212615624
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria",0.012553343953459,0.0497410211377136,0.118150153932533,0.0622983868622908,0.109983041822612,0.219291941707105,0.0327463171598803,0.155871176096933,0.11322370366682,0.0208032678341633,0.0507306024102732,0.0367386906584804,0.0420957557233171,0.0554787734275017,0.105437572294534,0.0790095832458411
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa",0.0297250992612105,0.0308986427884615,0.0524191414119037,0.0781178521249307,0.0520591919750148,0.102474853496629,0.0653758017285148,0.076827412580425,0.0644700236411191,0.0468477206151875,0.0466610169360834,0.0833719486708542,0.0135068673308623,0.0922484520621117,0.0249496227110158,0.0573302431556216
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa_B",0.0772301425640428,0.0338948745796036,0.0467897961278937,0.0516123769092835,0.0364824351894704,0.0637336313026391,0.0248911589638859,0.0376542817785426,0.0220110860229832,0.0213719655137063,0.0416628957369939,0.0494711659325148,0.0507545296352192,0.0648381120915179,0.0244307382301859,0.0431219460385655
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia sp015265375",0.0393800857708474,0.0630004194824151,0.0553897288393762,0.0656025372492076,0.0093262831184311,0.0332078489422005,0.0454699198975755,0.0158743890618545,0.0688663018128873,0.061479199655794,0.0137410380372436,0.0478666964830447,0.00765022046133691,0.0576645760959402,0.021440564072327,0.0403973205986988
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Specibacter",0.0639861244950141,0.0180066735832564,0.0297154731106331,0.0422892833443971,0.0381489756939428,0.0125865207080442,0.0425193623548938,0.0367155802870259,0.0404933851387579,0.0145393340739623,0.018923900802832,0.0123382273968775,0.00701379478053309,0.0411407764065504,0.0294857172714947,0.029860208629881
