"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__(-)-Menthone",0.294823960388088,0.177110273735513,0.576946037923735,0.158237456981866,0.229031194643409,0.703821400337094,0.366743345418375,0.222304576227903,0.156768157732637,0.105273970292008,0.85977339475926,0.195694828560284,0.317642498763401,0.357885930456855,0.673865697877814,0.359728181606549
"m__1-Butanol",0.0115052874947773,0.00159393033231709,0.000397860960102657,0.000793840316754614,0,0.0117484140136288,0,2.96710847567185e-06,0.000679372306415566,0.000154437422525419,0,0,0.000698661892557663,0,0.000303506384297564,0.00185855188212349
"m__1-Hexadecyne",0,0,3.09239397697175e-05,0.000500852369454647,0.00247228786047367,0.000273307250445538,0.000463101818545074,0.000593743029974057,0,0.00115273945207625,0,0,0,0,0.00162629468471649,0.00047421669369703
"m__1,1-Dichloropentane",0,0.0009445774459109,0.000170330391691152,0.0174297801174742,0,0.0225334750566392,0,0.00072983371413308,0,0,0.00284685514746343,0,0.000190210117764815,0.000156140680157314,0,0.00300008017808227
"m__1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",0.16870574244581,1,0.427642936817518,1,1,0.532482934544938,0.324288159782037,1,0.087518829908606,0.790853601004582,1,0.49447215694516,1,0.802973137487216,0.229214395774785,0.657210126314043
"m__1036_unknown",0,0.000355853987869254,0.000284599370992959,0,0,0,0,7.95440028783638e-05,0,0.000237622479283552,0,0,4.26492488450758e-08,0.000167522998449729,0,7.50123659148469e-05
"m__1152_unknown",0,0,8.82925488269908e-06,0.000125287505403304,0,0.000461105530215538,0,0.000165609043721117,0.000723937362268481,0.00400428741279666,0,0,0.000374830477170164,0.00108453157473684,0,0.000463227877412987
"m__2-Bromomethyl-1,3-dioxolane",0.00075696402758075,0.00386440177103904,0.0549719901838011,0,0.0425876405520849,0.0138088320841167,0.111494604977692,0.00070590015207786,0.0439627026538508,0.0214278376755172,0,0.0133726756719639,0.0233108063456501,0.0531185854267128,0.032731476925726,0.0277409612298542
"m__2-Heptanone, 5-methyl-",0.00202640752621931,0.00018250993115216,0.0639551490307135,0.00393464618449554,0,0.0426689176442568,0.000163259142391469,0.0187123538680687,0.000149412045664134,0.000104020485399611,0,0.000402694591551066,0.000493144139580899,0.022127985316336,0,0.0103280333270553
"m__2-Heptenal, (Z)-",0.000459652969989986,0,2.82200790690572e-05,0.000106523797947622,0,0,0.00141427358092353,0.000226688997979024,0,7.94869739371261e-07,0,0.000276199182679822,0,0,0,0.000167490231888561
