"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0624745972127485,0.148520270225253,0.0566546677892516,0.0373742840284467,0.0700717513721488,0.0967976902942723,0.00845131944445057,0.000999465731888698,0.0900235112392897,0.445300068974618,0.112018046660908,0.182855485086031,0.0476295987066305,0.010157274018782,0.320271511284202,0.112639969471261
"m___Diazoxide",0.0262125701175319,0.0222798295869105,0.0544653495379595,0.0934567144393562,0.00738650696786587,0.195672717394971,0.0916664998795097,0.0970892303587755,0.0660255870309319,0.020206432486957,0.0494275844035713,0.000241171653102142,0.0367580075004329,0.08166868216088,0.0730088264041724,0.0610377139948619
"m__2-Hydroxyisobutyrate",0.00470347993926497,0.0251655018580724,0.0648151960264193,0.00272677062330746,0.0308401963401395,0.069924377571104,0.0248411899086928,0.00224566897759416,0,0.0409193258403206,0.0172433412029746,0.0285311124626947,0.013852429506964,0.000125372733372544,0.00224307599182114,0.0218784692655161
"m__2-Hydroxyoctanoate",0.112606239313484,0.0270680039920507,0.0056492929761273,0.0341623526351072,0.0688619174597701,0.150937365438958,0.0221262159719099,0,0.00188798437014225,0.155486215800378,0.00113093947626813,0.0076113410409038,0.00478660241681025,4.62984241334039e-05,0.0235203356773093,0.0410587403328901
"m__2-Hydroxypentanoate",0.0659793819931209,0.0907618428413072,0.0598740295186704,0.0272730976221762,0.214201457465008,0.0977444787757996,0.0188238450381254,0.0116751134528424,0.0727607202366108,0.0894930186826501,0.000478397060958461,0.013929811587748,0.0250360555546399,0.00398914410131946,0.0182113329560116,0.0540154484591326
"m__2-Oxooctanoate",0,0,0,0.0528163583842976,0,0,0,0,0,0,0,0,0,0,0,0.00352109055895318
"m__3-Indoxyl sulfate",0.00288547988108999,0.0397391908235225,0.00652927063776971,0.0132020580847564,0.024232829187253,0.0654106099519245,0.000196523566371902,0,0.00348230030810492,0.066083229647646,0.00514679614226835,0.0353467462687008,0,0,0.0375875945936016,0.0199895086062006
"m__4-Oxohexanoate",0,0.041370030427896,0,0,0,0.0222604352168915,0,0,0,0,0.0484294496313545,0.00160201123405696,0,0,0,0.0075774617673466
"m__4-Oxopentanoate",0,0.00123961413558647,0,0,0.0243577117047262,0,0,0.00356100822316771,0.0102355066154177,0,0,0,0,4.31852110602709e-08,0,0.00262625892427395
"m__C00002_ATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
