"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.506842406751207,0.377140459487915,0.27760880135411,0.536159890155903,0.885621954081106,0.654858922692528,0.610196250729684,0.370196948175966,0.49246446199113,0.653828567867929,0.666222635136529,0.403470216682715,0.749225529529288,0.589670661124203,0.668609602522809,0.562807820552201
"m___Diazoxide",0.298048595837234,0.168042308353715,0.22617460217548,0.419128974665177,0.303555496029194,0.346380872485975,0.293925180314412,0.180425982401819,0.215378619781525,0.241728044119262,0.459227113397272,0.153687053366121,0.390159568240526,0.217949529066322,0.643686607520013,0.303833236516936
"m__2-Hydroxyisobutyrate",0.195383442336475,0.0793338230555863,0.0953569129482416,0.207277843772005,0.207245567421481,0.240445570198455,0.171276553623081,0.0996751321632024,0.07296968167509,0.231601188903999,0.238211295420129,0.0670798186897907,0.237561028234323,0.148131534598564,0.223170009980694,0.167647960201408
"m__2-Hydroxyoctanoate",0.273230407917404,0.0874655760831797,0.121764766649506,0.178005583664415,0.284958584974565,0.250630880643317,0.319305810642862,0.098321414655822,0.15622252842117,0.146082309334622,0.157885450480415,0.180318286331484,0.266912036957765,0.173723011307073,0.230389363961727,0.195014400801688
"m__2-Hydroxypentanoate",0.343996080529445,0.163883526285066,0.242996966936096,0.453472665555813,0.41144579749578,0.30752151853525,0.297009550927641,0.254229579681409,0.228637956833614,0.461064849409279,0.515159139368679,0.232037854507926,0.259996124918785,0.231263113432969,0.381616227125466,0.318955396769548
"m__2-Oxooctanoate",0,0.0119684446805411,0.0450299686040819,0.0337555402394338,0,0,0.0379610986376146,0,0.0312872954719239,0,0.0320922139229297,0.0440753577667589,0,0.0209291213021725,0.0972004759734681,0.0236199677732616
"m__3-Indoxyl sulfate",0.173575323284841,0.0492575847962513,0.0473130818366478,0.254966000402891,0.190686180197036,0.274702797823919,0.15885922948242,0.066566800405917,0.0674986560961323,0.142459301391885,0.168985279763091,0.0366336374247227,0.163333584202162,0.132195295119881,0.200199672835802,0.14181549500424
"m__4-Oxohexanoate",0.062666530513462,0.0174188025659553,0.00595713641415976,0.049998807507345,0.0298336683128337,0.0566324855199766,0.0176563599880626,0.00439421502820639,0.0125112701473811,0.0548265904426985,0.0560451309629169,0.0288483931922764,0.0711636875056687,0.00532282669035794,0.0681456064105613,0.0360947674134575
"m__4-Oxopentanoate",0.0159262329794678,0.0031892668179066,0.0070477267818052,0.0345826233805785,0.0350223918204323,0.0205167463826393,0.0201498144738909,0.00777324711241234,0.00471329751154127,0.0311262584015512,0.0287703058348696,0.0106031674589642,0.0278232283917534,0.0342739717506392,0.0318779218035761,0.0208930800601352
"m__C00002_ATP",0.0139744643846761,0.00228629073694995,0.017158993048933,0.00995936621007069,0.0274230192780666,0.0362384033309133,0.0231322268049175,0.0001970149296374,0.000954903766553698,0.0632052218728706,0.00813259850041372,0.000470514916991886,0.0151356265229613,0.0209323258321973,0.0791421974405265,0.0212228778384453
"m__C00003_NAD+",0.302447913333044,0.187007546783292,0.199754987545825,0.366135776822272,0.433371754109798,0.303343123641187,0.416737786988758,0.232733395519016,0.275364223268774,0.378039224920178,0.424097435092251,0.147222432836575,0.443296622057481,0.448364259366526,0.514768812235285,0.338179019634684
"m__C00006_NADP+",0.0336627554523869,0.012863970001414,0.0285997704829736,0.0937467466425168,0.0548104943893559,0.0459463165163194,0.0446039509852549,0.0246011913514035,0.0462123700927469,0.103953049842096,0.0513433179736771,0.0330331204861114,0.0238948076944297,0.0624689374654377,0.059648876862826,0.0479593117492633
"m__C00008_ADP",0.190929096660277,0.247555709286152,0.175772650083425,0.507113141262115,0.447932525781085,0.301707344828377,0.361770753917007,0.151206668761121,0.143944423904922,0.632642755238292,0.418647574245412,0.257162609210891,0.32551886507881,0.334844683198053,0.541399072816613,0.335876524951503
"m__C00015_UDP",0.188822894286209,0.115158245591118,0.159914223828327,0.241773302756061,0.268671849103941,0.183204827473919,0.258958358012435,0.0855754795384081,0.12179620552969,0.329997971044998,0.423052238203448,0.266405125265893,0.249435025528888,0.413686478369981,0.394089209186278,0.246702762247973
"m__C00016_FAD",0.0374033023588053,0.0325104582532816,0.00309082696150519,0.0723585867494497,0.111083789464128,0.0388980284014067,0.045991117041865,0.0276453900837459,0.00482880709343729,0.0740095719258228,0.036988932015006,0.0385222696595308,0.0635759707421152,0.101538664282038,0.0415778089469962,0.0486682349319423
"m__C00019_SAM+",0.408794877183782,0.326106963851694,0.36832422547448,0.601604390501517,0.551446269813025,0.518911198735274,0.549325889180651,0.378648465350489,0.266221475065803,0.503747803839244,0.628718379047807,0.321033941771219,0.581511237612852,0.510291211141441,0.678652502667518,0.479555922082453
"m__C00020_AMP",0.486411220333142,0.196689452463452,0.218975279918357,0.488324928397455,0.455538718939059,0.544730878221534,0.373387582322394,0.214274011932167,0.241938099981315,0.487232539704471,0.463318400751816,0.272737143537756,0.436877696854435,0.380131853205606,0.495835729621935,0.38376023574566
"m__C00021_SAH",0.0849543223345474,0.0476727530965104,0.0438564282461517,0.177734428270336,0.169394702263355,0.10072121207785,0.108993651600447,0.0656048687663306,0.114744993514635,0.108301341798813,0.0789274588452113,0.0547272978888465,0.102141315717842,0.190560951660349,0.13450087978919,0.105522440391361
"m__C00022_Pyruvate",0,0,0,0,0,0.00429266306756021,0.00257800185258903,0,0,0.00266339341456681,0.0115343524281178,4.41076594598092e-06,0.00355890429347843,0.0072279837825587,0.00823300033124566,0.00267284732907084
"m__C00024_Acetyl CoA",0.262982854080011,0.200503692227436,0.144454795638832,0.464337695351202,0.392179843399998,0.311440951316614,0.25358236886534,0.182507970822363,0.214423303255769,0.429282999970316,0.353459343137206,0.184635592515725,0.303202435615274,0.354307177728238,0.33521395220797,0.292434331742153
"m__C00025_Glu",0.663943678120708,0.398823410501173,0.314203381704491,0.466178424707476,0.498758141312361,0.672025421825697,0.56816648890106,0.293317353162997,0.435102455319498,0.630545325704767,0.647379154099177,0.44484232006434,0.476446955163597,0.503912145594237,0.716307350958819,0.51533013380936
"m__C00026_2-Oxoglutarate",0.00589796966708704,0.000385824752306508,0,0.0189834059289374,0.0215997429713034,0.00167643194770802,0.0104837668805461,0,8.37737896827862e-05,0.00757389794279225,0,0,0,0,0.0216427232402829,0.00588850247470976
"m__C00029_UDP-glucose",0.259155739442832,0.0711870271114228,0.0621151094109575,0.223164302321964,0.262028283029326,0.405949653014698,0.153016088175596,0.0586792493569737,0.0768168215309044,0.239976024301126,0.281303660637546,0.0988923574542283,0.258366795028788,0.265048516817941,0.277856720419974,0.199570423203619
"m__C00035_GDP",0.00158543492052588,0,0,0.00889614871052166,0.00146303897820289,0.00873761916557297,0.011105135363511,0,0.00283568284791746,0.00287935839214701,0.00300570100389475,0,0.0129364143707682,0.00121100363429732,0.0164484518021705,0.00474026594596865
"m__C00037_Gly",0.625024301474197,0.283723996594901,0.289371816709246,0.623164450100001,0.610957442273534,0.535952206939694,0.394878390190317,0.312234985581719,0.400079066467221,0.796197105934101,0.551040419347114,0.305241455074311,0.508407834602969,0.490042621215895,0.762702995259304,0.499267939184302
"m__C00041_Ala",0.389797532370158,0.350173018546041,0.354423182764795,0.584016033234176,0.629970208325517,0.455807529781134,0.561542757137774,0.387281501276133,0.317165951953604,0.489019111085573,0.807589115270205,0.353973320679415,0.758970740449552,0.399745690792097,0.810430840995742,0.509993768977461
"m__C00042_Succinate",0.45081129125486,0.544989813657153,0.351271239006247,0.674246738664673,0.63283744141369,0.58696741252431,0.594794360372169,0.648198234726897,0.395887657060261,0.636046363019693,0.608800910677935,0.439297446462608,0.518441426545501,0.404632688241441,0.729991900013829,0.547814328242751
"m__C00043_UDP-N-acetylglucosamine",0.404299236425343,0.271046621065596,0.290381280096705,0.374367996663026,0.532939176316845,0.585233758339284,0.36305884660484,0.302157103433441,0.476843147193451,0.481288998799254,0.647304694517965,0.368195741772378,0.685078070168699,0.507064055715127,0.473322965827368,0.450838779529288
"m__C00044_GTP",0.0573931525286323,0.0155351950755864,0.0210897978541328,0.0501714322676534,0.048599022023199,0.0550427973937804,0.0760500515558648,0.0125701509254503,0.0103577002340801,0.0705236530197233,0.113858062605344,0.0342548022327713,0.0524228984556006,0.0818597192068869,0.070525751680768,0.0513502791372982
"m__C00047_Lys",0.595700380076696,0.375187029326306,0.365787904870852,0.56711134799231,0.556273880771888,0.449893289906675,0.522174514834686,0.267828819838457,0.427428444002041,0.520190397785696,0.669173458032697,0.316457099776792,0.733904145597658,0.58986041517223,0.720834044041997,0.511853678135132
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0.425762891854653,0.490141924061687,0.375978636703796,0.496159861637746,0.672386489389295,0.458091646732443,0.428942563004089,0.305671586285193,0.383356912146172,0.688290797169863,0.54418731465861,0.374631532815159,0.543189092005102,0.401619438472716,0.579876520101637,0.477885813802544
"m__C00051_Glutathione(red)",0.114964258025203,0.0823539737404776,0.104491929106017,0.0830113203267053,0.0899077507740788,0.149248413860369,0.184772418800422,0.101876083651534,0.0525219275662663,0.28970832558459,0.147344675157359,0.0530097684824912,0.112243972281854,0.100860006920007,0.21589432301373,0.125480609819407
"m__C00054_Adenosine 3',5'-diphosphate",0.00580692697166191,0.00240250829831789,0.00228667982285822,0.00258051132469076,0.00609765119480807,0.0217251096295315,0.00470703091510459,0.00187159307962852,0.00446590278671293,0.00603110318798688,0,0.00199510273705928,0,0.00794098897379953,0.0167037717595426,0.00564099204544684
