"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0119423211882148,0.136145646967402,0.00905629867082582,0.0192558816658804,0.01257221112275,0.0507187457526471,0.0667474669769581,0.00587799637489574,0.0272093446615058,0.0688005124694972,0.0487734876560216,0.0246033730038122,0.140998238152455,0.001089006779671,0.0327179693808081,0.043767233388223
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0,0.0208616964055133,0.0049572790700806,0.0272850030209258,0,0.00119391705834358,0.0117053049941948,0.0138345664294815,0.00124592615005213,0,0.0229427098863466,0.025687721809515,0.000531637774995043,0,0.000977810792662111,0.00874823822614069
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.0253954274007704,0.0216182583371306,0.0160013018802561,0.0191062388544869,0.163830945718463,0.0475171021984356,0.0394316192898386,0.048550055706604,0.0513475752278249,0.0525427126247876,0.00786280012927751,0.0873639029664088,0.0295356115608764,0.0527119574674714,0.0639872607063074,0.0484535180045959
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.0545921836099807,0.169749195487642,0.082076858156756,0.0165533438517654,0.584780909463485,0.0431849000191328,0.0996190261797228,0.0397120700909401,0.0361101510138789,0.12711134497459,0.0583036799786881,0.0899308510125438,0.0647818677677476,0.0334167640250779,0.0577470695498853,0.103844681012122
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0148390439943955,0.108401175251842,0.0614986189249695,0.00151253374533905,0.12949421848992,0.00948194688626726,0.0861020192948787,0.0210370276257925,0.0522749770992551,0.236307091130751,0.0166788125252174,0.0776814158647849,0.0352595680330894,0.0208123175646538,0.0276036580788411,0.0599322949673331
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.0859708707879146,0.0720488695964228,0.174812282276418,0.0521862309365028,0.108124885708508,0.0292279207163136,0.0624162111534442,0.0556461212803312,0.0372045962013693,0.0103756508853237,0.0328206599449325,0.0164032734334004,0.114754768236108,0.00541462680455042,0.13245616338213,0.0659908754229113
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0577878168997987,0.023692888469841,0.0951798952961331,0.0840671804913526,0.155507064199276,0.0518830670442719,0.0652138873501112,0.0881713484653866,0.0746887747617395,0.0870770599746741,0.013717022240976,0.126196729524954,0.0280709908075857,0.0616563880679623,0.0437137712735703,0.0704415923245089
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0188038027488217,0.104240848076921,0.03895101333571,0.0553684092210763,0.16354438612244,0.0063511428530252,0.0258566801125821,0.00642048468213875,0.00728984860704842,0.0440453851734074,0.080502166141522,0.0784694043609671,0.0799281664013091,0.00885200047699914,0.0374945858770728,0.0504078882794028
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0595546040055961,0.0913862612041358,0.00647176216486877,0.0430845466878956,0.0687783979770998,0.0489314947737736,0.00949611102033893,0.00528391169530581,0.0304960299261137,0.00246763230820057,0.0588915375413908,0.0332072096077137,0.00201179355584095,0.0245840256568201,0.0152774660109012,0.0333281856090664
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.0471648023243249,0.140809910833073,0.162429185787663,0.0740964162452566,0.156088637097237,0.0302357316326558,0.0612129385758961,0.00131124428479407,0.00228516066779393,0.0876355134029894,0.0479173138521157,0.11150333813735,0.0318525662285512,0.00126407389433722,0.0669370326598502,0.068182924374926
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0.0297033599225964,0.420790518134906,0.0171963908312602,0.00536888688561809,0.331677226494796,0.00154058533942891,0.0202186651112441,0.00395003303228715,0.0315277874450787,0.10397343489562,0.149952306480061,0.245372255439474,0.0973700314779626,0.0300238413027507,0.0201558014725239,0.10058807495104
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.0827946301476966,0.0744193297158176,0.0347909413993931,0.117478673056376,0.0338003897267946,0.0154979345433506,0.0544111794336783,0.0496090237049925,0.162555395442083,0.0481681383398694,0.161681457483672,0.100330670356512,0.169559867652869,0.0850278852954614,0.0655564355787785,0.0837121301251563
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0168160333332471,0.0533669345773494,0.013769000494003,0,0.255705513322783,0.0874250172966872,0.0863050115414765,0.0569153428549028,0.0708793503625326,0.0811506712222732,0.100261275080115,0.16838804375824,0.00983700911420002,0.0245882666720276,0.0434776008115387,0.0712590046960917
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.00973125409595067,0.214355147811801,0.112529436243842,0.145385952130027,0.336245983208438,0.0184371478249261,0.0291174715723266,0.0822969674168401,0.0607940647096552,0.158605900196586,0.0722308923598559,0.0910180330979138,0.0126495148950029,0.0680106641265534,0.148379281608828,0.103985847419903
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.252169859149226,0.148735198660425,0.251974126980691,0.00534536575977239,0.333358202189385,0.00701372880693389,0.120876029104192,0.0256431303627115,0.170145693224364,0.423317538712545,0.0247947927594193,0.19516881089334,0.0987527019081054,0.0475193047571661,0.275949859764135,0.158717622868827
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia cardiffensis",0.0342078066348084,0.0458231737622543,0.0273555548968504,0.0197188666313575,0.00371363556254335,0.00135706168268791,0.052150359694246,0.0333900969203201,0.0154575017465705,0.0276565693792765,0.152885132387582,0.210894232556022,0.0290808540164263,0.0980724166629969,0.0912787294565474,0.0562027994660327
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hongkongensis",0.0160411177629928,0.141723202488662,0.0453057099952782,0.0343627932504081,0.340660798729809,0.00662371348978034,0.0106002839826453,0.01878597922677,0.00890277712461938,0.144191096379352,0.0231276729699498,0.367467118100893,0.0038026490492274,0.0382306623514136,0.0143256612792988,0.0809434157454066
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0.0644354421314639,0.426999358793444,0.0877988694926393,0.0196499604958157,0.123317780643515,0.0539454155499087,0.0173154837247393,0.0034440951088911,0.111488072914585,0.0645882087500764,0.0534946898600424,0.178584333175382,0.0790091833672786,0.00159196962121883,0.0660822338062716,0.0901163398290181
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.0859263390200074,0.532720818862324,0.0917871362917308,5.8387275523984e-05,0.120567706886527,0.0163478913998668,0.137592071996737,0.0610796877207797,0.00388275974594417,0.141295019816215,0.10915244190844,0.213189640400465,0.00805142999685826,0.00714325295126308,0.000669615822226987,0.101964280006327
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.121634514067122,0.326315916722419,0.0520212679459833,0.0400188890335815,0.0834575044720264,0.110951180106437,0.142114281032191,0.120693254427249,0.0462660041193279,0.207296132593685,0.158283230557693,0.198245979895326,0.0766301555074092,0.0694667326984529,0.0276222751653566,0.118734487889617
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.0148039512599084,0.338436522204943,0.0551570399551437,0.0376998482242073,0.10839233542067,0.080112583014678,0.0152399606337482,0.0433649548235437,0.0501219137105754,0.346470388695221,0.141183163304694,0.0958384823726997,0.00864958192906365,0.0120670222640303,0.0158272356690523,0.0908909988988119
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.0509366433470112,0.0928147285077589,0.0646570883093872,0.0652409369706875,0.197141554614626,0.0941858497848442,0.0611234899712401,0.0511157531896353,0.0469606008397934,0.1135240935229,0.0365617848225792,0.16194115014955,0.00812516102743303,0.0213381793234304,0.0805432465671675,0.0764140173965362
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0.0683525498809806,0.22000656875771,0.127481963234233,0.0286029181463801,0.19626713293363,0.118272823031918,0.0290473896262585,0.00877880248255607,0.0266872599230177,0.156231345311884,0.0421233615457439,0.321413921241116,0.0899795969284501,0.0396212988763335,0.016278811213658,0.0992763828755913
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.048751297903442,0.0853054205647647,0.0707326397738332,0.115611556259402,0.211921601313127,0.0887621277467825,0.058948945869041,0.0200825975821493,0.0353326618726853,0.35645995701583,0.0792091156948619,0.172698105362638,0.303282310821961,0.0021333838649786,0.211925961939587,0.124077178905672
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0.0268433674574856,0.469579010303637,0.0644551031784202,0.0602951927091553,0.221996226245997,0.0150968368939771,0.00767992125232255,0.0472397175601024,0.0197434362125142,0.140031138738126,0.182380195463538,0.269923111252496,0.25042419346275,0.0349107955197262,0.0613435180674777,0.124796117621182
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0.0734282040050867,0.210277278321341,0.0417577405396905,0.0256042874160949,0.0378768676402399,0.035045257793283,0.0591836563369071,0.0201016840038518,0.0317033933769614,0.20799592321308,0.0670385827888568,0.202425161435261,0.0794637805240241,0.0171637477520675,0.0124222255009325,0.0747658527098453
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0.0661903816135591,0.0866365731469105,0.0468801982760262,0.0206472674142864,0.426338100607627,0.0101093039296804,0.0705851932088594,0.113709965683021,0.0712642400184046,0.239010794515286,0.0423826490330093,0.144215340181493,0.0708298466976922,0.0686494978274726,0.00486217722747658,0.098820768625387
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.199078175518747,0.220038830329981,0.0785015042829777,0.0414135409369904,0.207364191364145,0.0334187903407241,0.00592841156114359,0.0946027788312867,0.142891974707245,0.0663404085545975,0.17327601794632,0.0615056694062528,0.0704069929274234,0.00616468030242242,0.0417317961584202,0.0961775842112452
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0494901258963888,0.318576519659052,0.110026321749841,0.0194009148068029,0.11951681943121,0.0764034230855171,0.0544752358610784,0.0385511289424011,0.072636455111512,0.21322911426939,0.194510519736469,0.334395462265569,0.170542187467862,0.0486355058949569,0.0614223540544674,0.125454139215501
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.00591321082671151,0.107228193700624,0.0395101801073754,0.0404391322375605,0.0459438137673045,0.0458175630742818,0.0167465960978591,0.00413701249141238,0.00852814077508349,0.247192083891411,0.0181215247895563,0.106230642341582,0.139649778831407,0.0429819488176002,0.0343925197418824,0.0601888227661101
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0692461237866902,0.195351639792265,0.029881812824618,0.0137847574760791,0.391870614091223,0.0862113184060326,0.297466923386593,0.0291495586297186,0.0691017035436008,0.128507823908781,0.0676660804745401,0.181507410605556,0.027056068235317,0.0177417630082806,0.0575345084000906,0.110805207104626
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0.134350883585624,0.137354891999693,0.136399447193235,0.230959244761919,0.178386606178051,0.127790231922813,0.230327499673568,0.0284536055806849,0.131296514313603,0.344972160833711,0.346088636985101,0.150258014687121,0.101746487315006,0.075829202039075,0.0264604412237108,0.158711591219528
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.0216673919643688,0.159631575086022,0.0401058966601395,0.0299676892064507,0.196775930365488,0.0180099265153357,0.0172413401055382,0.0326681757418408,0.000944265996558883,0.18165790640398,0.1150397627795,0.142100623423548,0.0334592858816028,0.0165122302926341,0.155354406797504,0.0774090938147008
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900541895",0.00687976629412993,0.0912067033850123,0.114111971255705,0.07171857404396,0.118862051601838,0.203203840321876,0.104010136120624,0.0210939815893636,0.0155294288987818,0.161268243756268,0.00744060007686917,0.118568006005584,0.10409177802493,0.157451699527609,0.0427993320519074,0.0892157408636305
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900554605",0.0150991729319931,0.229311637521444,0.21670977172027,0.0185934262089678,0.142740429350108,0.0493548435603772,0.0285883354545969,0.129202406812632,0.322269411852006,0.0636590411023166,0.104771628136166,0.0530816372577753,0.0245375919757909,0.00905319768512196,0.0708669882173526,0.0985226346524613
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900556405",0.0658985699544461,0.0153713259761177,0.0337633241178924,0.0616442046537174,0.140815701540266,0.0229889033486489,0.0783327030173623,0.012490607629722,0.0208362077985894,0.301576499550517,0.251202762050667,0.449951149637174,0.0618115564373464,0.00426149306092956,0.103012183831331,0.108263812840315
