"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.327011878259878,0.221686292125848,0.439232482642902,0.190796197971021,0.36907331143114,0.316935706763622,0.629926049406081,0.33398940445856,0.446830267369053,0.321919914534622,0.33112879940024,0.598472913090424,0.335441515856426,0.513263667882975,0.290770525671297,0.377765261790939
"m___Diazoxide",0.0818450889784506,0.089255593753695,0.173045571195105,0.0883731986927068,0.137562415799908,0.122954906782777,0.197396788805247,0.101683312083368,0.100143411153002,0.129167969713201,0.0935328444027494,0.143626234424246,0.0841221858839006,0.0904246032510471,0.0767070831972864,0.113989413874446
"m__2-Hydroxyisobutyrate",0.12682541095661,0.125415002010354,0.175067044995196,0.124188607241242,0.112832722813253,0.18091091745338,0.210091868515677,0.194601845120716,0.18955849488846,0.141027427158449,0.246350824161648,0.217888363386486,0.0690064362303777,0.151366132318022,0.143231800377405,0.160557526508485
"m__2-Hydroxyoctanoate",0.0925488988370831,0.102731689685711,0.127652037950007,0.0637911156081072,0.14783763213364,0.1315436320601,0.191947756969588,0.084137493943369,0.173573557916802,0.128262852711879,0.0950961079589286,0.131733325643147,0.114489062791528,0.112402092118876,0.0993688858393867,0.11980774281121
"m__2-Hydroxypentanoate",0.0913476118249682,0.118295843024191,0.155362162687513,0.157308001303453,0.184987252053713,0.183881454367484,0.306365313850956,0.144798192867033,0.2373909387482,0.165537650611268,0.130491485388982,0.290359569947156,0.196974332689758,0.183844092852747,0.136210128345627,0.17887693537087
"m__2-Oxooctanoate",0,0,0,0,0,1.03463998870183e-06,3.19477757172917e-05,0,2.36496436863393e-07,5.55689807278597e-06,0,0,0,0,0.00234965069151714,0.000159228433448853
"m__3-Indoxyl sulfate",0.119362846050764,0.101959632634384,0.145962277049287,0.126255489871006,0.0658354754891258,0.249423812663023,0.1615473378773,0.328323546894867,0.183056308597902,0.142529017206806,0.137899186262066,0.300300388648121,0.203862112678379,0.336321447228579,0.270238762047797,0.191525176079961
"m__4-Oxohexanoate",0.00331693688123581,0.0120618969735165,0.0181004214033025,0.00470274107436916,0.00204270496772327,0.0129121527662963,0.0132096579119938,0.0097770931824508,0.0171227888288202,0.00569114477939129,0.0056449086923486,0.00316266252824767,0.00822854931939378,0.00812603492999985,0.00556800505689268,0.00864451328639882
"m__4-Oxopentanoate",0.0172215548750719,0.0115323624370748,0.00405838336135846,0.016718294999207,0.0078620229666192,0.0361614507174092,0.0411321018086634,0.0202166407031518,0.019670664441751,0.0242136590324511,0.0381131965509307,0.038130660130123,0.0162241936491707,0.0382546964380254,0.0253930107950827,0.023660192860406
"m__C00002_ATP",0.0110346804783994,0.00762332371549226,0.0205713080460761,0.00219523762202502,0.0075736773354944,0.0182678883935274,0.0188970152086283,0.0078503969806822,0.00376093966721922,0.0125454823525642,0.0141088631372929,0.0262085114583876,0.00574034760689983,0.0125174740500304,0.00389011451091907,0.0115190173709092
