"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,0,0,0,0,0,3.54186503541148e-12,0,0,0,0,0,0,0,0,2.36124335694099e-13
"m___Diazoxide",0,0,0,0,0,0,1.06887077129106e-09,0,0,0,0,0,0,0,0,7.12580514194041e-11
"m__2-Hydroxyisobutyrate",0,0,6.392053758358e-09,0,0,0,1.56490692427387e-09,2.42630467057158e-08,0,0,0,9.90292018360191e-09,3.92839975815135e-08,2.1059698652518e-09,0,5.56752633458099e-09
"m__2-Hydroxyoctanoate",0,0,0,0,0,0,1.61066851560009e-09,0,0,0,0,0,0,0,0,1.07377901040006e-10
"m__2-Hydroxypentanoate",0,0,0,0,0,0,2.85727134677603e-10,0,0,0,0,0,0,0,0,1.90484756451735e-11
"m__2-Oxooctanoate",0,0,0,0,0,0,2.99805323999356e-07,0,0,0,0,0,0,0,0,1.99870215999571e-08
"m__3-Indoxyl sulfate",0,0,0,0,0,0,9.49066669855801e-11,0,0,0,0,0,0,0,0,6.32711113237201e-12
"m__4-Oxohexanoate",0,0,0,0,0,0,5.75031229066372e-09,0,0,0,0,0,0,0,0,3.83354152710914e-10
"m__4-Oxopentanoate",0,0,0,0,0,0,4.57729406662079e-09,0,0,0,0,0,0,0,0,3.05152937774719e-10
"m__C00002_ATP",5.19238300289615e-07,0,2.75814075114524e-07,0,0,0,8.92702898550902e-08,1.51010655687059e-07,0,0,0,0,0,0,0,6.90222213964192e-08
"m__C00003_NAD+",0,0,0,0,0,0,4.95371349264099e-10,0,0,0,0,0,0,0,0,3.30247566176066e-11
"m__C00006_NADP+",0,0,0,0,0,0,9.61182260113476e-10,0,0,0,0,0,0,0,0,6.40788173408984e-11
"m__C00008_ADP",0,0,0,0,0,0,4.26750785444133e-09,0,0,0,0,0,0,0,0,2.84500523629422e-10
"m__C00015_UDP",0,0,0,0,0,0,7.09614256836387e-09,0,0,0,0,0,0,0,0,4.73076171224258e-10
"m__C00016_FAD",0,0,0,0,0,0,9.52134482335229e-09,0,0,0,0,0,0,0,0,6.34756321556819e-10
"m__C00019_SAM+",0,0,0,0,0,0,4.44477167797253e-09,0,0,0,0,0,0,0,0,2.96318111864835e-10
"m__C00020_AMP",0,0,0,0,0,0,1.60725416702136e-09,0,0,0,0,0,0,0,0,1.07150277801424e-10
"m__C00021_SAH",0,0,0,0,0,0,4.19385491510269e-08,0,0,0,0,0,0,0,0,2.79590327673513e-09
"m__C00022_Pyruvate",0,0,0,0,0,0,4.05566711806634e-09,0,0,0,0,0,0,0,0,2.70377807871089e-10
"m__C00024_Acetyl CoA",0,0,0,0,0,0,1.07595232634923e-09,0,0,0,0,0,0,0,0,7.17301550899484e-11
"m__C00025_Glu",0,0,0,0,0,0,2.77726934527283e-11,0,0,0,5.16337189264488e-11,0,0,0,0,5.29376082527847e-12
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,1.23345864018719e-11,0,0,0,0,0,0,0,0,8.22305760124791e-13
"m__C00029_UDP-glucose",0,0,0,0,0,0,3.48830752101173e-09,0,0,0,0,0,0,0,0,2.32553834734115e-10
"m__C00035_GDP",0,0,0,0,0,0,1.45975458373074e-08,0,0,0,0,0,0,0,0,9.73169722487157e-10
"m__C00037_Gly",0,0,0,0,0,0,2.77673155477923e-12,0,0,0,0,0,0,0,0,1.85115436985282e-13
"m__C00041_Ala",0,0,0,0,0,0,1.13763911822413e-11,0,0,0,0,0,0,0,0,7.58426078816087e-13
"m__C00042_Succinate",0,0,0,0,0,0,1.54844157720518e-12,0,0,0,0,0,0,0,0,1.03229438480345e-13
"m__C00043_UDP-N-acetylglucosamine",0,0,0,0,0,0,9.32462055404759e-10,0,0,0,0,0,0,0,0,6.21641370269839e-11
"m__C00044_GTP",0,0,0,0,0,0,2.91125704646837e-11,0,0,0,0,0,0,0,0,1.94083803097891e-12
"m__C00047_Lys",0,0,0,0,0,0,5.62800391921485e-12,0,0,0,0,0,0,0,0,3.7520026128099e-13
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0,0,0,5.34209436702391e-11,8.59575000920858e-10,4.86242607289078e-10,1.22369572635777e-10,0,0,0,0,4.79379095494496e-10,9.91246461365835e-11,0,0,1.40007457743135e-10
"m__C00051_Glutathione(red)",0,0,0,0,0,0,2.51923197826674e-08,0,0,0,0,0,0,0,0,1.67948798551116e-09
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0,0,0,8.380748616086e-08,0,0,0,0,0,0,0,0,5.58716574405734e-09
"m__C00055_CMP",0,0,0,0,0,0,2.98047361585092e-09,0,0,0,0,0,0,0,0,1.98698241056728e-10
"m__C00062_Arg",0,0,0,1.39450981631927e-09,0,0,1.0289766981702e-10,0,0,0,0,0,1.2985304589862e-09,0,0,1.86395863008165e-10
"m__C00064_Gln",0,0,0,0,0,0,2.74404601699433e-11,0,0,0,0,0,0,0,0,1.82936401132956e-12
"m__C00065_Ser",0,0,0,0,0,0,1.53234271100556e-10,0,0,0,0,0,0,0,0,1.02156180733704e-11
"m__C00073_Met",0,0,0,0,0,0,5.11145994299095e-11,0,0,0,0,0,0,0,0,3.40763996199397e-12
"m__C00074_PEP",0,0,0,0,0,0,1.04278939321682e-10,0,0,0,0,0,0,0,0,6.95192928811212e-12
"m__C00075_UTP",0,0,0,0,0,0,1.0683666141853e-07,0,0,0,0,0,0,0,0,7.12244409456865e-09
"m__C00077_Ornithine",0,0,0,0,0,0,4.17214604729632e-11,0,0,0,0,0,0,0,0,2.78143069819754e-12
"m__C00078_Trp",0,0,0,0,0,0,1.73793385789473e-10,0,0,0,1.8144617236273e-10,0,0,0,0,2.36826372101469e-11
"m__C00079_Phe",0,0,0,0,0,0,1.76367383712186e-11,0,0,0,0,0,0,0,0,1.17578255808124e-12
"m__C00082_Tyr",0,0,0,0,0,0,1.53366001091599e-11,0,0,0,0,0,0,0,0,1.02244000727733e-12
"m__C00083_Malonyl CoA",0,0,0,0,0,0,2.43711821525817e-09,0,0,0,0,0,0,0,0,1.62474547683878e-10
"m__C00085_F6P",0,0,0,0,0,0,2.58763286014451e-09,0,0,0,0,0,0,0,0,1.72508857342967e-10
"m__C00086_Urea",0,0,0,0,0,0,2.37029105028996e-12,0,0,0,0,0,0,0,0,1.58019403352664e-13
"m__C00092_G6P",0,0,0,0,0,0,8.09978235415802e-10,0,0,0,0,0,0,0,0,5.39985490277202e-11
"m__C00093_Glycerophosphate",0,0,0,0,0,0,2.07679795741846e-10,0,0,0,0,0,0,0,0,1.38453197161231e-11
"m__C00097_Cys",0,0,0,0,0,0,9.05286368191595e-09,0,0,0,0,0,0,0,0,6.03524245461063e-10
"m__C00099_beta-Ala",0,0,0,0,0,0,7.09784210087468e-11,0,0,0,0,0,0,0,0,4.73189473391645e-12
"m__C00103_G1P",0,0,0,0,0,0,2.81112013500276e-09,0,0,0,0,0,0,0,0,1.87408009000184e-10
"m__C00104_IDP",0,0,0,0,0,0,2.39438405018532e-09,0,0,0,0,0,0,0,0,1.59625603345688e-10
"m__C00105_UMP",0,0,0,0,0,0,9.74721583968881e-10,0,0,0,0,0,0,0,0,6.49814389312588e-11
"m__C00106_Uracil",0,0,0,0,0,0,2.68069460232991e-09,0,0,0,0,0,0,0,0,1.78712973488661e-10
"m__C00108_Anthranilate",0,0,0,0,0,0,1.66688146915351e-07,1.69868384948039e-06,0,0,9.89558303706688e-07,0,0,3.27790089070169e-07,0,2.12181359278173e-07
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,2.01741481190451e-09,0,0,0,0,0,0,0,0,1.34494320793634e-10
"m__C00112_CDP",0,0,0,0,0,0,1.99881560349895e-08,0,0,0,0,0,0,0,0,1.33254373566597e-09
"m__C00114_Choline",0,0,0,0,0,0,1.09797889721254e-10,0,0,0,0,0,0,0,0,7.31985931475025e-12
"m__C00120_Biotin",0,0,0,0,0,0,1.97169339033321e-09,0,0,0,0,0,0,0,0,1.31446226022214e-10
"m__C00122_Fumarate",0,0,0,0,0,0,6.34922573473224e-11,0,0,0,0,0,0,0,0,4.23281715648816e-12
"m__C00123_Leu",0,0,0,0,0,0,1.73296404356109e-11,0,0,0,0,0,0,0,0,1.15530936237406e-12
"m__C00127_Glutathione(ox)",0,0,0,0,0,0,9.8477192331098e-09,0,0,0,0,0,0,0,0,6.56514615540653e-10
"m__C00128_CMP-N-acetylneuraminate",0,0,0,0,0,0,4.60263343618933e-09,0,0,0,0,0,0,0,0,3.06842229079288e-10
"m__C00130_IMP",0,0,0,0,0,0,7.53051151028717e-09,0,0,0,0,0,0,0,0,5.02034100685811e-10
"m__C00134_Putrescine",0,0,0,0,0,0,4.12768310512629e-11,0,0,0,0,0,0,0,0,2.75178873675086e-12
