"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",7.29575733517229e-06,0,0,3.61234423834205e-06,0.000285015184000684,0.000136577658782438,0.000130624000900869,7.87387516077242e-05,5.48077648311421e-05,0.000248133399917291,0.000927254487058867,0,0,1.94711739813835e-06,6.82478081963673e-05,0.000129483618284469
"m___Diazoxide",0,0,0,0,0,0,0,0,0.00047645593308071,0,0,0,0,0,0,3.17637288720473e-05
"m__2-Hydroxyisobutyrate",0.000762639111364922,0.00106010615090744,0.00214758938996244,0.00137007155829425,0.00334777064351935,0.000155700087017941,0.00217174081795526,0.00100208831538042,0.000462800399858455,0.00168815998725256,0,0.00278246919828737,0.0498503443769954,0.00133121040949835,0.000400641341473245,0.00456888878585116
"m__2-Hydroxyoctanoate",0,0,0,0,0,0,0,0,0.000238343012013938,0,0,0,0,0,0,1.58895341342625e-05
"m__2-Hydroxypentanoate",0,0,0,0,0,0,0,0,0.000114323391311673,0,0,0,0,0,0,7.62155942077821e-06
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__3-Indoxyl sulfate",0,0,0,0,0,0,0,0,3.15894399860911e-05,0,0,0,0,0,0,2.10596266573941e-06
"m__4-Oxohexanoate",0,0,0,0,0,0,0,0,0.00621859795435178,0,0,0,0,0,0,0.000414573196956786
"m__4-Oxopentanoate",0,0,0,0,0,0,0,0,0.00211387859924155,0,0,0,0,0,0,0.000140925239949437
"m__C00002_ATP",0.0625084439060602,0,0.0764539827455395,0.0361481721743404,0.0545991842467262,0.0413478084039094,0.0753524881817326,0.0353090583494721,0.0187745005507153,0.0159731447677159,0,0,0.426681106651395,0.000106752446510587,0.0457943390487101,0.0592699320981885
"m__C00003_NAD+",0,0,0,0,0,0,0,0,8.27526826006745e-05,0,0,0,0,0,0,5.51684550671164e-06
"m__C00006_NADP+",0,0,0,0,0,0,0,0,5.86178956183394e-05,0,0,0,0,0,0,3.90785970788929e-06
"m__C00008_ADP",0,0,0,0,0,0,0,0,0.0016010209026725,0,0,0,0,0,0,0.000106734726844833
"m__C00015_UDP",0,0,0,0,0,0,0,0,0.0019245465887958,0,0,0,0,0,0,0.00012830310591972
"m__C00016_FAD",0,0,0.00140925409044149,0.00611002079292374,0.0537361048923754,0.0110522444521925,0,0,0.00918637613393813,0,0,0.0177343533986548,0,0.00018020933342111,9.25910034448368e-05,0.00663341027315946
"m__C00019_SAM+",0,0,0,0,0,0,0,0,0.00115660656105895,0,0,0,0,0,0,7.71071040705967e-05
