"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0344383984975946,0.118930150301926,0.112403991646828,0.0561885381844616,0.019698262302988,0.0225517296907466,0.0814912702663482,0.0268625410312415,0.0405107854204402,0.033843378606481,0.0498001926696631,0.0230489158955996,0.0945789451622526,0.0636195119625249,0.0410645244641318,0.0546020757402152
"m___Diazoxide",0.00731447268655833,0.00387042635735051,0.0672261614029189,0.00291270412059472,0.0784631133550564,8.6757567356309e-05,0.0145892260415908,0.0197091720614677,0.00568413881589143,0,0.000891172387436666,0.00210303805385407,0.00953112257109661,0.000875071148163114,0.0047798800803957,0.0145357637766488
"m__2-Hydroxyisobutyrate",0.0282971256900935,0,0.0461056822085386,0.0834192667284971,0.00547918501040603,0.0208423526237718,0.0208134405765019,0.0493775015413909,0.00503283584783025,0.0423259092647046,0.0134268090233809,0.0604046487577132,0.00423717160048027,0.000361636545924552,0.0430617341757861,0.0282123533063346
"m__2-Hydroxyoctanoate",0.049895656473339,0.0881765232186911,0.00567940831289707,0.0174768896177336,0.125240721430786,0.0186767231569584,0.00192757393247496,0.0533780598942948,0.0550009450241462,0.033541773873674,0.0104089113654834,0.0220250168946735,0.0852813402933349,0.0325316071823104,0.0167074825420539,0.0410632422141901
"m__2-Hydroxypentanoate",0.00215090639795606,0.0400883127162212,0.00410437973497068,0.00450049588441459,0.0257151316897578,0.0182962492826874,0.0298187468586322,0.00990352504836771,0.0028573038421347,0.0196068338023101,0.0333319490681207,0.000444751250059758,0.000276569007448116,0.039380826339615,0.000715265751455997,0.0154127497782768
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__3-Indoxyl sulfate",3.98138765484399e-05,0,0.00180683916777264,0.00103304007525734,0,0,0.000761523257423281,0,3.3006672849781e-05,0.000795542345853075,0.00434548877308867,0,0.00211268692756159,0,0,0.000728529406423655
"m__4-Oxohexanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__4-Oxopentanoate",0,0,0,0,0,0.000115676756475078,0,0,0,0,0,0,0.00112343542076553,0,0,8.2607478482707e-05
"m__C00002_ATP",0,0.000151957620109486,0,4.73115879897058e-05,0.00664246618185117,0.000146403394913771,0,0,0,0,0,0,0,3.21454707488503e-05,0,0.000468018950374199
