"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.150249458787655,0.0509233264296657,0.12006803999099,0.00750476177394432,0.204143299281431,0.0442492407249657,0.0496075487182042,0.112056410734499,0.134764263721711,0.034397034497608,0.0971033182232444,0.113555767232888,0.166425501778237,0.12571292727613,0.0910166817586495,0.100118505395322
"m___Diazoxide",0.0317154528523197,0.0283611806318737,0.0412659311321937,0.0624714700692902,0.000304370204098481,0.0166741853600357,0.0136108762351172,0.00236844817474596,0.0758294332813619,2.95762179690759e-18,0.000563097012118372,0.00071504109623058,0.11248755361925,0.0168217918588197,0.0633000830057977,0.0310992609688835
"m__2-Hydroxyisobutyrate",3.24323216721403e-05,0.0607349544184353,0.0453866725563153,0.000307642633491809,0.110501300818799,0.0265781587619729,0.0785315729490484,0.0220959122060439,0.0484233677955422,5.91524359381518e-18,0.0470639488613801,0,4.02918514523616e-05,0.0373078148501443,6.55348681826188e-05,0.0318046403261653
"m__2-Hydroxyoctanoate",0.0915861510644187,0.077129541023731,0.0188647594824626,6.51207108197934e-18,0.027864016292213,0.0895300734482408,0.038150397898885,0.0224360706786424,0.00843074144969327,0.0424797143864746,0,0.00104046963630932,0.0248060211848827,0.0669534503690427,6.64805362814358e-05,0.0339558591634185
"m__2-Hydroxypentanoate",0.124755495227962,0.000145279848590458,0.0656105447312711,0.00219859428881856,0.0613495918275504,0.0667652022886011,0.025405000117315,0.000724365963476863,0.0144898672636995,0.106848688562829,2.33310718401724e-05,4.69861033097352e-06,0.000347718556277509,0.0785713843984233,0.0452955047400137,0.0395023511664666
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__3-Indoxyl sulfate",0.0014408262430926,0.0292141008186871,0,0.0189464540802636,0.041220412204814,0.0764436578475899,0.0177978129424879,0.043924040623359,0.00843193199379935,0.0129128177667635,0.0636325732615414,0.0297279623147907,0,6.20769424815413e-17,0.0287458795077833,0.0248292313069982
"m__4-Oxohexanoate",0,0,0.00616123048481252,0,0,0,0,0,0,0,0,0,0,0,0,0.000410748698987501
"m__4-Oxopentanoate",0,0,0,0,0,0,0.0266041531643572,0,2.86486415835682e-17,0.00648170253639061,2.81658514574724e-17,0,0,0.0645823559574438,0,0.00651121411054611
"m__C00002_ATP",0.000325833045331971,0,0,0,0,0,0,0,7.16216039589205e-18,0,0,0,0,0,0,2.17222030221319e-05
"m__C00003_NAD+",0.083174651859183,0.501828019407644,0.000775554359808335,0.0512495524064719,0.0256018693379748,0.135499097259183,0.105226389290822,0.1497985414925,0.215600445876143,0.00278157321377315,0.112440712765221,0.170200305662563,0.0032109079114666,0.00014160340108336,0.16397328850619,0.114766834183335
"m__C00006_NADP+",0.0279798819151224,0.0183320570974975,0,0,0,0.0312501654317296,0,0.0576220140822685,0.0588575164167491,0.0782927271912146,0,0.0144987712536801,0,0.0311687249421702,0.0692705631302427,0.0258181614307116
"m__C00008_ADP",0.0395494934324499,0.00912375062437301,0.152120337106644,0.132386791473707,0.0567170829570599,0.158500495495441,0.0898245408125494,0.185699266193635,0.320497330754134,0.228473787412354,0.0560711286913055,0.0837657835877248,0.0475053711681488,0.0818422851219068,0.00898039212034949,0.110070522463452
