"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.471658204842804,0.350495032993923,0.549490819057093,0.313974989707445,0.62891696620526,0.56382401956403,0.390170443787063,0.547780257470285,0.778468773447612,0.314856730763611,0.405957666691358,0.578611226626555,0.552275141314222,0.48787762703602,0.353507787225457,0.485857712448849
"m___Diazoxide",0.143422771291228,0.141760492505859,0.0752836546806568,0.101076846434005,0.141960277480854,0.148096951195863,0.140752506468984,0.132430648868442,0.311123866794726,0.0827785914411204,0.084046802223344,0.120790241153115,0.182738953090224,0.0980107177150379,0.103371129805516,0.133842963409932
"m__2-Hydroxyisobutyrate",0.18239681299835,0.105392475043969,0.169109991177351,0.111351664659093,0.170230297002757,0.11329824065755,0.314981364337683,0.173471796627473,0.324796557658712,0.130295238701993,0.192494279257512,0.152055718834021,0.156795100468696,0.143008020275812,0.211190396593312,0.176724530286286
"m__2-Hydroxyoctanoate",0.180020415470232,0.170361050590568,0.184112143260487,0.127379568753373,0.135777574421753,0.0661131732260402,0.145684097709992,0.234567497716054,0.192880391917471,0.16880470416527,0.185639559993676,0.125553949300008,0.233725656064128,0.405544764054285,0.259727012197845,0.187726103922745
"m__2-Hydroxypentanoate",0.364185765022578,0.219075456408256,0.224646678334805,0.233564775576308,0.314803097530212,0.341071897821414,0.185054895002982,0.271303988538695,0.47396322304347,0.211656450485572,0.369850333938389,0.23421083563204,0.289767738200019,0.217431123890268,0.230299335715489,0.2787257063427
"m__2-Oxooctanoate",0,0.000125674967668277,0.000335316909618334,0,0.00194494941288982,0,0,0.000548571624499725,0.00593382323273246,0,0.000603270176412729,0.00605944689118492,0.00201815894858211,0,0.00103650026301813,0.00124038082844043
"m__3-Indoxyl sulfate",0.11570143321014,0.110597064765746,0.0509031207966918,0.144072417067648,0.221056116670936,0.137289215520805,0.110751387547804,0.118588339959244,0.265750909915443,0.0823600286621079,0.133056813158989,0.0729536386741674,0.141056396824494,0.125732606043082,0.0933745710467828,0.128216270657605
"m__4-Oxohexanoate",0.00417681326740485,0.00379310658240887,0.00622120742721117,0.00796762264954247,0.00261943374782402,0.00909851882444435,0.00682478355243415,0.0176658093124263,0.0522946362169108,0.00870472068411837,0.00409184354582212,0.0132093857330194,0.00836987499106541,0.0212575460354013,0.0139031353818447,0.0120132291967919
"m__4-Oxopentanoate",0.00691481217802113,0.013879329181761,0.00973057899500441,0.0115611165191958,0.0303066119488699,0.012107249256205,0.025786802606024,0.0386803171102831,0.0587119153392175,0.00596332487381254,0.0196931792803744,0.0100305039611069,0.0126585905122643,0.0179508436584333,0.0129505287577349,0.0191283802785539
"m__C00002_ATP",0.00363925597906161,0.00326622919884624,0.0100475089861795,0.00596034893818086,0.0102660310713835,0.000245210903986764,0.0032533274673357,0.00968438382129997,0.0132760196934879,0.0126930160729756,0.0120602262198854,0.00608594138970529,1.00402520913487e-05,0.0059567978098205,0.00818740665380968,0.00697544963053665
"m__C00003_NAD+",0.475579610080299,1,0.539437974178679,0.448173797320287,0.561304813366477,0.452786410751738,0.390739624758823,0.510923409734371,0.623348848593716,0.449990669362564,0.471231183279886,0.556248021882751,0.539230405051374,0.631972146699507,0.800224856774672,0.56341278478901
"m__C00006_NADP+",0.0801320757997803,0.0518209480210695,0.0275485299246456,0.0554468031995236,0.0422690616959424,0.10110151904154,0.0388411290533024,0.0688411643292145,0.0908957365331709,0.0267335772513649,0.0618261491199154,0.0465516085078166,0.0544688051292228,0.0634344525318041,0.063572380660513,0.0582322627199217
"m__C00008_ADP",0.339038045045727,0.596252802019866,0.42316797209924,0.382812764257092,0.560821774416704,0.432599184035798,0.382085211141076,0.55426324237278,0.594361301954872,0.583874056454528,0.358449441777877,0.343786976800901,0.600177246239541,0.409825000482092,0.564354602660037,0.475057974783875
"m__C00015_UDP",0.214166555854388,0.188946918374374,0.091557427205185,0.115539844747143,0.332348198229893,0.204501657318867,0.156973766472268,0.201071228028431,0.309869673283308,0.219775597496768,0.282100506097493,0.251084267745261,0.158969918750932,0.274154590890498,0.171598599788855,0.211510583352244
