"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0880039769303781,0.198256832922627,0.0776939986995433,0.110218863587186,0.0471303328384664,0.149188345358858,0.0773351819813632,0.0899594410080093,0.0257480006894169,0.000557964377768775,0.036055783834538,0.0271779202917413,0.0323194556043944,0.619107809929742,0.281717559290571,0.124031431156307
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0.000231365144734663,0.00870290965890273,0.0970257180704222,0.0184294196339793,0,0.0556928078827207,0.00184431854678847,4.77186584598169e-05,0.0924553885764643,0,0.0374515494770353,0.0436001350950283,0.0932283107929202,3.62229054900457e-06,0.135032380504855,0.0389163762888573
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.000572436613628137,0.0206797979102825,0.117711435038113,0.0119401433685608,0.0807934162757116,0.0856304111856457,0.00946360011132937,0.0540029761970122,0.0329142748976877,0.0195405645666877,0.0108219146292502,0.00695929173428991,0.0663051375241574,0.0724375962858874,0.00292272310789137,0.0395130479630757
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.052888606796285,0.0669738985935708,0.264996290180977,0.0857158689865173,0.0329129696600052,0.0250867296456601,0.0576241807051521,0.0453170412736566,0.111606247712773,0.0502167962544203,0.135491539700643,0.0554372791492043,0.10578994089164,0.137542842950373,0.0694117292700102,0.0864674641180592
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0833962613566824,0.442694973008449,0.169804078909815,0.141367415021854,0.289591311079934,0.101421822179502,0.0444028237216594,0.11781790299418,0.101870506746057,0.424292915109802,0.52775401256184,0.0841968812918217,0.148952384591175,0.228980172648436,0.589018266386098,0.233037448507154
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0,0.114416404447269,0.182336465445144,0.00722590754362585,0.16986127214328,0.0400370076834444,0.0455905607546349,0.095470215571549,0.0151488779243638,0.0387645221001394,0.00281818900388607,0.00303788352755503,0.000323866184087635,0.0623674385018425,0.0587618213758819,0.0557440288137802
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0160165358743366,1.02065172145313e-16,0.00161843645049383,0.0176884259472807,0.0252974581874426,0.0110101194867504,0.0228035950748575,7.4135129875273e-18,6.692783056957e-05,0.108680732141536,0.00725122624238227,0.080573476332635,0.00728568701659295,0.167401041829342,0.168453124285339,0.0422764524466373
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.109374880582242,0.0261632404893027,0.105886082830878,0.0453313592878205,2.04748265637831e-06,0.0307675630167471,0.0336955682310417,0.0197371176715439,0.00525951422023339,0.0475252929722371,0.0189057869968645,0.00393416751711161,0.0213889386023015,0.0419358929248224,0.0144411309198058,0.0349565722497072
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0578948479554618,0.0493437690814522,0.0810519815871308,0.00818314466136819,0.0211236365385201,0.302591355251571,0.0644415073729343,0.0419514398546211,0.0628518837921516,0.057784329649921,0.107195190417673,0.0697764018433172,0.0424563813744865,0.0849193532303362,0.0299373925052525,0.0721001743410799
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.00437806361320485,0.230162784055115,0.00431815541599753,0.0203092647834171,0.264403160398754,0.160021043836697,0.0726034855056678,0.0453798283049063,0.172378516621434,0.00279965169309402,0.0551739868204186,0.134506689503117,0.172046752923047,0.475545178626695,0.115781007837887,0.128653837995963
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0.0197694255395989,0.0362243982541962,0.0970424353369027,0.0642730365481358,0.094924227047877,0.116259985258948,2.51206104861829e-05,0.0769320283311144,0.0254709223602126,0.0111582384841406,0.0179508234778198,0.00485445420042197,0.0742811945653331,0.0011653153346277,0.00096715336187914,0.0427532505807796
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.123731223082838,0.0294693604025564,0.0876395343482504,0.0312065336748418,9.57719945094421e-05,0.11224067705833,1.6841597115172e-18,0.0943688848496023,0.034236961133299,0.0872635217698952,0.072124434780151,0,0.000597445771674026,0.263641097737077,0.0106024855448625,0.0631478621431925
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.12128975987446,0.370784230398891,0.0185786982366074,0.0186042530423268,0.0388994908034361,0.25513916545608,0.0430447040349838,0.0927256427703835,0.184177063782489,0.513487376770013,0.216526868709648,0.286275392086492,0.22220981797482,0.544273811008592,0.16714296468298,0.20621061597548
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.0262939240105293,0.126795930898345,0.161492742927908,0.000333830532186081,0.210994488213761,0.0544491679517951,0.0304564611607993,0.0558562883751072,0.052713744612181,0.136195090414145,0.0810307805695082,0.0388114686812143,0.0330767424082313,9.72485147808234e-17,0.245134613136816,0.0835756849261684
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.074645016494884,0.0540816666589132,0.645022735286889,0.118005308831606,0.341249359352748,0.242273064043587,0.139036730330237,0.155887078606287,0.180300690061881,0.179463067278204,0.23083658557219,0.129714351257818,0.176448399657675,0.0858208298682367,0.10573478202465,0.190567977688387
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia cardiffensis",0,0.0097991693981391,0.0835119266236325,0.0191805924845892,0.0309943718148927,0.00149873018528397,0.0244494105576387,0.0162525804052983,0.00755387510847729,0.00493073770888226,0.137746827145898,0.000457967649529292,2.53090345479615e-05,0.209485307808518,0.018360640961892,0.0376164964591479
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hongkongensis",1.05008417060506e-06,0.140664945991308,0.0754054669158537,0.0705092317524632,0.220142193541403,0,0.0057700352058493,0.105707002321988,0.00923616253708998,0.0745511348956198,0.072774713010304,0.0184365812609791,0.180084371180378,0.0868885032714032,0.0973062834427231,0.0771651783607688
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0.0163540296584441,0.00380840033757022,0.0220362744850042,0.00173833062465688,0.0583774213343635,0.0369112974157893,0.0559656918743926,0.102009388423529,0.0592090535919047,0.0386847980721943,0.0548109538796775,0.0424220109161019,0.00812469843398566,0.0332330924102528,0.0123613828405876,0.0364031216198969
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.00216041869686363,0.0385444107272204,0.0599014899251887,0.00974738464263844,0.38190489265742,0.073184733853671,0.0537645995254414,0.0783560463055148,0.100093960700343,0.133546448242869,0.0815464085641679,0.0111870732374862,0.000661984111748698,0.282920698703554,0.0602680362819631,0.0911859057450727
