"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0,3.83526071610476e-05,0.0228146107941504,0,0,0,0,0,0,0,0,0,0.00152353089342077
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.0511403677271537,0,0,0,0,0,0,1.39001372623911e-07,0.00701108408248643,0,0,0,0,0,0,0.00387677272073419
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0,0,0,0,1.24281023754739e-07,0.109284129071449,0,0.0117925598256557,0,0,0,0,0,0,0.0265699911364437,0.00984312028763814
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.00173474031404096,0.318928360488173,0.0382622193905737,0,0,0,0.0356723815040643,5.63240989804735e-06,0,0,0,0,0.0144445228043147,0.368779629456187,0.37650470027093,0.0769554791092121
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.00232669097671565,0.00581416647463349,0,0,6.33938278800441e-05,0,0,0,0,0,0,0,0,0,0,0.000546950085281946
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.00268917151014795,0.217163413290054,0,0,0.00158993402015883,0,0,0,0,0,0.00580824850848689,0,0,0,0,0.0151500511552565
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144467171458777,0.000963114476391845
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0,0,0,0,0,0,0.00199668516367,0,0,0,0,0,0,0.0889677910862064,0.0522928530692411,0.0095504886212745
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0,0,0,0,0,0.0169517047709772,0,0,0,0,0,0,0,0,0,0.00113011365139848
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0,0,0,0,0,0.0507266654241348,0,6.21149548581455e-06,0,0,0,0,0,0,0,0.00338219179464137
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.00192475856450655,0,0.0363429930267863,0.0133215027056918,2.34780664720674e-06,0,0,0.0173566943290212,0,0,0,0.0471118718454677,0,0.146722234015717,0.0628683461006755,0.0217100498929676
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0,0,0,0,0.000205518778846827,0,0,1.39548256333076e-05,0,0,0,0,0,0,0.060670011004536,0.00405929897393441
