"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.150403910751719,0.0699069500871812,0.219994399798797,0.0370970888446653,0.0290960619307175,0.0180974596618535,0.164091139399414,0.0993801028908605,0.0699986789492643,0.0529683690794546,0.00320230184187183,0.0560988488905296,0.0219299972379174,0.125160688745185,0.0825684249460306,0.0799996282036974
"m___Diazoxide",0,0.0133191845060437,0,0.0212343569991818,0.0116258732231815,0.0754775619266299,0.0529438857222242,0.00543429157866467,0.0957218356736665,0.0461956221510289,0.0372141602951353,0.0380959763148665,0.0131248633953261,0,0.0707591212193564,0.0320764488670204
"m__2-Hydroxyisobutyrate",0,0.0663165541067703,0,0.0302544542890676,0,0.00761094876049374,0,0.0283677743788044,0,0.0569831728516013,0.0481022223993942,0.00615697236301441,0,0.0285109789155312,0.0475421197629122,0.0213230131885059
"m__2-Hydroxyoctanoate",0,0,0,0.0366024240891311,0,0.00300107580645294,0,0.00543608590706433,0.00694464146045519,0.00668088574705319,0.00437324453556638,0,0.00731841321376007,0,0.0055819871618267,0.00506258386142066
"m__2-Hydroxypentanoate",0.243150507059099,0,0,0.0384806457389759,0,0.00559917542482817,0.0297797688971409,0.0791765087926614,0,0,0,0,0.00702567668520967,0.0273867333869273,0.0339964650986822,0.030973032072235
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558527779832658,0,0.000372351853221772
"m__3-Indoxyl sulfate",0.154498843958382,1,0.246346102621951,0.717717112638791,0.493332746022489,0.7336703422976,0.807295875736676,0.573922448903976,0.380028242880581,0.970553350614168,0.465446009155497,0.520548260904818,0.234062577318934,0.757362032868858,0.471304968571686,0.56840592763296
"m__4-Oxohexanoate",0.0955157442445736,0.00506034338983798,0,0,0,0,0,0,0,0.00686567620388657,0,0,0.00683643286877306,0.00584635310340032,0.00570742507557563,0.00838879832573648
"m__4-Oxopentanoate",0,0,0.0120289088715148,0,0,0,0,0,0,0,0,0,0,0.00596066925851343,0,0.00119930520866855
"m__C00002_ATP",0,0.00925634241184647,0.0280100517280291,0,0,0,0,0,0,0,0,0,0,0,0,0.0024844262759917
"m__C00003_NAD+",0.0148573046656233,0.039174555889182,0.092189170737465,0.0184738646619328,0.0118139096859863,0.0242994421164273,0.0927899325010605,0.00280447822529547,0.0224139221739559,0.0239584114649695,0.0211308978818535,0,0.0519955732102993,0.00924408779442483,0,0.0283430367338984
"m__C00006_NADP+",0,0.00247647757509928,0.0243231613210776,0.0236265225371634,0,0,0,0,0.00854725102825254,0,0.00473765204002957,0,0,0,0,0.00424740430010816
"m__C00008_ADP",0.526282528282357,0.0328615405301921,0.290669365022243,0.0107472294968063,0.13710899473678,0.0255296621264307,0.153830651104995,0.0110453296257791,0.0580987781046492,0.0262250461286249,0,0.0153310365962239,0.0353012235510532,0.06400230937038,0.13006852354059,0.10114014788114
"m__C00015_UDP",0.0357319232414536,0.00491692200327088,0.159509556273269,0,0.0114073780813966,0.0301016210286395,0.132739103821429,0,0,0.0353740247113764,0.00457594667957185,0.0269190473937408,0.0217100625487408,0.0141357445981011,0.00966022430734052,0.0324521036458886
"m__C00016_FAD",0.000140125189182179,0,0.0348021175964722,0,0.00502862217053899,0.0209773313951427,0,0.00553795700184928,0.0084151001344719,0.00341393261674416,0,0,0,0,0,0.0052210124069601
"m__C00019_SAM+",0.0745182116455483,0.00836093362429942,0,0.027470186658789,0.0129182276120891,0,0,0.0203449871254693,0,0.017040332365807,0.0038427622102462,0.0444100136184095,0.00744920070709067,0.0610770437793663,0.030394375344183,0.0205217516460865
"m__C00020_AMP",0.0963466605810231,0.0286361148972955,0.195574818225569,0,0.00724121592557614,0.0406004886846256,0.0305505836223825,0.00714717026507117,0.017361603651138,0.0171800832787069,0.0559955182045212,0.0190638107240002,0.00557151392956497,0.028669324160047,0.00393564694002762,0.03692497020597
"m__C00021_SAH",0.0672998139841954,0.00642843556079072,0.0440739751251085,0.0398826735159104,0.0055496055485678,0.0212819746326656,0.126053156633776,0,0.00885693403652256,0,0.0286545292122884,0.00642072486049295,0.00764176561267043,0.0086759067374589,0.0217388269908811,0.0261705548300886
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00024_Acetyl CoA",0.116114011614324,0.0957336278413726,0.261120376226412,0.0378773264850034,0,0.0535377928669098,0.0639884010676377,0.0961923338475341,0.0433476514891236,0.0788391277514025,0.0288918795860835,0,0.00842385709397472,0.0113871275929148,0.116091659257449,0.0674363448480094
"m__C00025_Glu",0.0824595979562723,0.0288755848767874,0.0393673381249574,0.105850131870378,0.0270957002585202,0.0160512261439644,0.111688608276907,0,0.0857397157690984,0.0469207158530038,0.0204947317879797,0.0337546596130701,0.0171213045592963,0.0173802713486643,0.0455425672629582,0.0452228102467905
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,0,0.00552131650605045,0,0,0,0,0,0,0,0.00036808776707003
"m__C00029_UDP-glucose",0.184316789439557,0,0,0,0,0.010596549116175,0.0312922140397661,0.00490783689426707,0.00694464146045519,0,0.00469670936807869,0.00990327829818191,0.00357789090450492,0.0127246632149397,0,0.0179307048490617
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0.0554386203018917,0.0237107964909198,0.0416103203224303,0,0.0216771538794352,0.0344452935643722,0.102283815890058,0.0286967549093342,0.0166420187184748,0,0.00930402771594092,0.018135002500007,0.0107430084588265,0.0250676657031056,0.026019509494169,0.027584932529931
"m__C00041_Ala",0.274053182182515,0,0,0.0498069966447954,0.0697529206103987,0.0770810240360978,0.0248585559673487,0.00373930430039395,0.0771047800496768,0.00467662002293723,0.0192712686201641,0.0577686298216164,0.0106552496645838,0.0224910157124132,0.0714448618118153,0.0508469606296504
"m__C00042_Succinate",0.226460989076946,0,0.220569899185607,0.0241279013439969,0,0.00609301574180061,0.108569762869615,0.0328190580216072,0.021800135367168,0.0232478620356646,0.00720517914421163,0.0177987273072507,0.0323040567828626,0.0613152146348935,0.0320217694612433,0.0542889047315245
"m__C00043_UDP-N-acetylglucosamine",0.150794824100001,0.122262874480155,0.165915971614008,0.0239996822080676,0.0648728726123148,0.0319232818550882,0.119509051687956,0.0920299054511769,0.0191150026903237,0,0.00640460368374367,0,0.0589051160764532,0.0894798263508227,0.0869778827068307,0.0688127263677961
"m__C00044_GTP",0.0476255794505222,0.00506419365111286,0,0.011307825018364,0,0.0408360913491005,0.00972467781817327,0,0.0161350133505123,0.018332350489914,0,0.0260568819327353,0,0.0224084276544687,0.00975944838367172,0.0138166992732383
"m__C00047_Lys",0.19821614309194,0.0095380028692063,0.285201544686806,0.0278075195280189,0.0196953488087824,0.0312568061260188,0.131767416192898,0.0328925623484717,0.093312676025239,0.0189403110928958,0.0714084819406567,0.0448823983129145,0.0313353198191758,0.0131712298036579,0.00557145375055071,0.0676664809598155
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0.468253245434815,0.0393268492092616,0.134489221606204,0.0324473851112354,0.0115701867530704,0.0244958288978571,0.0274620531726236,0.01070800776931,0.0737814597386217,0.0199056044955438,0,0.0128135997228798,0,0.0212087544294849,0.00870157729152599,0.0590109182421622
