"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.177316664408728,0.275945437104378,0.227207060161186,0.31029401219838,0.223487010943506,0.182566037750376,0.31644393926434,0.258288098100229,0.233277840106196,0.190742720389472,0.243407076646315,0.218740372147293,0.286806785016538,0.291346452547917,0.438787893892034,0.258310493378459
"m___Diazoxide",0.0943931392890656,0.0390120539394586,0.0778077367467565,0.140978657622232,0.0793305964405913,0.114174255260436,0.0738134611304551,0.131599623354493,0.0816900667499768,0.118541898969445,0.180857609872351,0.0657215321263048,0.0979770346032391,0.105554721063424,0.132438093759641,0.102259365395191
"m__2-Hydroxyisobutyrate",0.0741618890353151,0.0692325700855392,0.0946668122345308,0.0940856897929386,0.0626466157898282,0.0772503371662195,0.0653123780814715,0.0764899716020906,0.0447554395158918,0.056372880741688,0.0948363053249073,0.042916003605024,0.0910826225287401,0.0636348722330944,0.071076870460163,0.0719014172131628
"m__2-Hydroxyoctanoate",0.0700283228362209,0.0836473627393074,0.0629951032776222,0.0788880514673931,0.123134593607005,0.0815469487297853,0.0801403097531524,0.06102666305125,0.0627788382821552,0.12532400211157,0.158265236657556,0.0965920387266036,0.115991293440429,0.0753689119920194,0.101285531558657,0.0918008805487152
"m__2-Hydroxypentanoate",0.0909674939752018,0.247231864562023,0.14198949763054,0.100967883904137,0.178094958392923,0.0765519560230598,0.211816506428737,0.183786757670271,0.0682166850096874,0.0964929690064919,0.130509273529345,0.0910813010990995,0.0992961869152261,0.159530433624934,0.15457510601884,0.135407258252701
"m__2-Oxooctanoate",0,0,0,0,0.00160152024260166,0,0,0,0,0,0,0,0,0.00106108026961717,0,0.000177506700814589
"m__3-Indoxyl sulfate",0.439901749877899,0.452331916747895,0.512092447407027,0.555371231155825,0.690861111231615,0.716244448680149,0.606532564360321,0.531807169265858,0.435486378490101,0.593995332725933,0.669023918881062,0.523344584195358,0.862275067967182,0.447082765399891,0.75314317871897,0.585966257673672
"m__4-Oxohexanoate",0.0183093549060954,0.0093138369186548,0.0116962346289288,0.01411240729574,0.0150685113365659,0.0118035102420089,0,0.0142608989097268,0.00953396795745306,0.00829628262552832,0.0175639767477327,0.00996075941438863,0.0202245408549133,0.00976809910545737,0.0114681808593795,0.0120920374535049
"m__4-Oxopentanoate",0.0139503791595911,0.0133977336313831,0.0222530069766504,0.0160261659102414,0.00470664297046777,0.0119351711906907,0.0126825279739444,0.0131394318177471,0.00361486450277682,0.0127562335964486,0.011334698284273,0.00269639473704707,0.0276869604541871,0.0164893515188142,0.0336026731439978,0.014418149057884
"m__C00002_ATP",0.00168434836699542,0,0.00493524950061914,0,0,0,0.00279537568459972,0,0,0.000344443435070692,0.00147567974905057,0.00453809975488642,0.00556952589116755,0.00723221923850946,0.00419244983896101,0.00218449276399067
"m__C00003_NAD+",0.143445716612659,0.131920720104683,0.179659135751922,0.122050181450151,0.129656464470384,0.133571165744479,0.224367762861631,0.157351394561557,0.11365876002559,0.161230206974541,0.150768344214566,0.0998463829104862,0.177654223872206,0.145339219358989,0.166853148945228,0.149158188523938
"m__C00006_NADP+",0.012932886759735,0.00949377802650197,0.00714178433623467,0.0178371788733927,0.0173838470078822,0.0149505500732687,0.0208393276282986,0.0135182041235973,0.0113955624922953,0.0131321778720153,0.0174610945775541,0.0147187871961033,0.00827244275551988,0.00649597315017174,0.00063757696412765,0.0124140781224466
"m__C00008_ADP",0.255153421543666,0.366278015025045,0.397703986255938,0.167169965111464,0.495770929965396,0.330553658310116,0.329350867789441,0.282531157773276,0.226022749913422,0.309153918040461,0.271626425693392,0.266562291836667,0.228503252512159,0.258673633249304,0.534602836539559,0.314643807303954
"m__C00015_UDP",0.0973020299390821,0.216900377310106,0.142663987071736,0.0637314493080275,0.0974134667385719,0.0408444640973431,0.131693144618756,0.0955428294472214,0.112778155674746,0.0830932817268939,0.0592291436149918,0.0647010020713789,0.0669964193202515,0.103065668749664,0.126869760159597,0.100188345323225
"m__C00016_FAD",0.0293284565978452,0.0323030300733829,0.0220939841078189,0.0186954742261656,0.0224152766967047,0.0248868747337848,0.016551718405907,0.0293980517950394,0.0186215359997587,0.0102307859314186,0.0211094864014283,0.0196979960767622,0.0151012568808871,0.017290113135034,0.018208344508466,0.0210621590380269
"m__C00019_SAM+",0.161836392731296,0.190398527463672,0.21869306169934,0.214872723407913,0.245096811400461,0.155843993521629,0.246062292489636,0.182477045712578,0.182718143908488,0.206072017885249,0.176467618076525,0.168287596715505,0.233536664910776,0.339751517119621,0.23747261016675,0.210639134480629
"m__C00020_AMP",0.151896466014277,0.120763151889205,0.142907170988845,0.148285088913143,0.132256646155906,0.142997123578323,0.103078741415052,0.19653691196186,0.148726470445028,0.117717584797818,0.211204768953834,0.122227474008521,0.160166942712725,0.110650710035095,0.113425762132083,0.141522734266781
"m__C00021_SAH",0.112887425755627,0.117506308429425,0.0941140981260866,0.177438261564783,0.106899235365253,0.0553389280258948,0.254638907050854,0.0987488657363653,0.047616776032376,0.0840596490089924,0.180402904024376,0.0427746932073794,0.0577740638296186,0.0790124049214812,0.0530338733833483,0.104149759630791
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00024_Acetyl CoA",0.22401787211531,0.222439759205798,0.345664926947193,0.210471000520542,0.321054105209018,0.177399942143083,0.265766280479777,0.238741223701598,0.234038689817264,0.141501037990216,0.186727818396281,0.167375612874036,0.229799795029177,0.228562383483875,0.284721409610286,0.23188545716823
"m__C00025_Glu",0.192400377345817,0.181517956523626,0.213074843553833,0.201653539540772,0.219042166550783,0.179333767012783,0.23639060641832,0.211735259574083,0.12679104125119,0.167880392661414,0.195879157425301,0.141431284215594,0.185567220703525,0.148033852089619,0.181426236887364,0.185477180116935
"m__C00026_2-Oxoglutarate",0.00128840555358985,0.00166819622363595,0,0,0.00163117802487206,0.00369056374101018,0,0,0,0,0,0,0,0.0016205589572335,0.00880581635954157,0.00124698125732554
"m__C00029_UDP-glucose",0.0487404152542616,0.0254420113060007,0.0685988689553466,0.0748189079988347,0.0961140465852256,0.0782516566951217,0.0778084592302974,0.0875513115129124,0.0585211458406522,0.0246138009831265,0.0758045658452943,0.0504447735799142,0.0674407877504287,0.0410741737038548,0.0697254141570278,0.0629966892932199
"m__C00035_GDP",0,0,0,0,0,0,0.00145552041216354,0,0.00220869520352136,0,0,0.0015209079931793,0,0.00145580212991476,0,0.000442728382585264
"m__C00037_Gly",0.256892809149404,0.19823217432157,0.292369650021322,0.228828266240413,0.464534713629985,0.252990748761551,0.430820967691484,0.305826143178992,0.201434082478301,0.247924406478553,0.273914508858693,0.163270189588687,0.179325572528809,0.162345303025249,0.335196033211264,0.266260371277619
"m__C00041_Ala",0.225535588151746,0.183145273768781,0.173692041321192,0.134837720617368,0.25728801756914,0.213457378343109,0.246324884566781,0.212574402403432,0.175419134787077,0.185585337139906,0.300944466870745,0.160687533403161,0.201454994331963,0.144784348774485,0.25870882728232,0.204962663288747
"m__C00042_Succinate",0.164967553061982,0.234135245291398,0.204827151594385,0.236142620230176,0.241600648184387,0.227574038510666,0.211173382138321,0.202401593679823,0.177103801938585,0.268575841622033,0.212218520971616,0.188385309580479,0.254702053523975,0.183928038854503,0.176135417473417,0.212258081110383
