"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,0,0,0,0,0,0.0132372139437087,0.00504599843624349,0,0,0,0,0.00111420792126763,0.0285730878691465,0.0058121704183575,0.00358551190591492
"m___Diazoxide",0,0,0,0,0,0,0,0,0,0.028112667027007,0.0589099820268099,0,0,0,0,0.00580150993692113
"m__2-Hydroxyisobutyrate",0,0,0,0.000229064864727388,0,0,0,0.00541695872985147,0,0,0,0,0,0,0,0.000376401572971924
"m__2-Hydroxyoctanoate",0,0,0,0,0,0,0,0,0,0,0,0.0108775935596227,0,0,0,0.000725172903974847
"m__3-Indoxyl sulfate",0,0,0.13042740649908,0,0,0,0.0115104397912457,0.0219541582771177,0,0,0,0,0,0.00625953966148791,0.0378792846639683,0.0138687219261933
"m__C00003_NAD+",0,0,0,0,0,0,0,0.00299479731062381,0,0,0,0,0,0.000704106350850092,0,0.000246593577431593
"m__C00008_ADP",0,0,0,0,0,0,0.0160606624812548,0,0,0,0,0.00656065666089256,0,0,0.0213820333736354,0.00293355683438552
"m__C00015_UDP",0,0,0,0,0,0,0.0155568765125206,0,0,0,0,0,0,0,0,0.0010371251008347
"m__C00019_SAM+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000736635186307727,4.91090124205151e-05
"m__C00020_AMP",0,0,0,0,0,0,0.00285207054818353,0,0,0,0,0,0,0,0,0.000190138036545569
"m__C00021_SAH",0,0,0,0,0,0,0.0721258130147358,0,0,0,0,0,0,0,0,0.00480838753431572
"m__C00024_Acetyl CoA",0,0,0,0.00600320785986021,0,0.0485068500204856,0,0.0015704766896715,0,0,0.0386173404452361,0,0,0,0.0131361999062173,0.00718893832809805
"m__C00029_UDP-glucose",0,0,0,0.00011982918946779,0,0,0,0,0,0,0,0,0,0,0,7.98861263118597e-06
"m__C00037_Gly",0,0,0,0,0,0,0.00278395827019868,0,0,0,0,0,0,0,0.00837408842220469,0.000743869779493558
"m__C00041_Ala",0.0293254931592596,0,0,0,0,0,0,0.000877853362064137,0,0,0,0,0,0.00121662268876024,0.00763460000170753,0.00260363794745277
"m__C00043_UDP-N-acetylglucosamine",0,0,0.0104820907418761,0,0.0284394397928257,0,0.0116513467877188,0.00284267720281204,0,0.00756079134205669,0,0,0.000525742687838319,0,0.00750915210397007,0.00460074937727318
"m__C00047_Lys",0,0,0,0.00066882503679585,0,0,0.000207654453321354,0,0,0,0,0,0,0,0,5.84319660078136e-05
"m__C00049_Asp",0,0,0,0,0,0,0,0.00959146755899206,0,0.00349343261487623,0,0,0,0,0.00220800819153736,0.00101952722436038
"m__C00062_Arg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105217076889331,7.01447179262203e-05
"m__C00064_Gln",0,0,0.0123390105763335,0.0291583055278192,0.107988702258145,0,0,0,0,0,0,0,0,0.0013223069584586,0.00479220307401018,0.0103733685596511
"m__C00065_Ser",0,0,0.0099137783568363,8.11965843805266e-05,0,0,0,0,0,0,0,0,0,0,0.00167215377652661,0.000777808581182896
"m__C00077_Ornithine",0,0,0,0,0,0,0.0148358255129782,0.0052557936008647,0,0,0,0,0,0,0,0.00133944127425619
"m__C00078_Trp",0,0,0,0,0,0,0.000262279493496182,0,0,0,0,0,0.00434535535231787,0,0,0.000307175656387604
"m__C00079_Phe",0,0,0,0,0,0,0,0.00234376066939843,0,0,0,0,0,0,0,0.000156250711293229
"m__C00086_Urea",0.472195971626138,0,0.0116782188841202,0.000789815730958411,0.122525703091905,0,0,0.0259356901607686,0,0.037646896116554,0.0572729851379726,0,0.0191426656285594,0,0,0.0498125297584651
