"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0302272750379513,0.242871040754034,0.208177499039891,0.358800965786098,0.0521663918056766,0.0299383845653972,0.138907024503317,0.0257348555354276,0.0650602023383282,0.0350161056323329,0.104794770704891,0.013780570975475,0.138790514399866,0.043411583712653,0.11020524600047,0.106525495386121
"m___Diazoxide",0,0,0,0,0,0,0,0,0,0,0.0279918183863469,0,0,0,0,0.00186612122575646
"m__2-Hydroxyisobutyrate",0,0,0,0,0,0,0,0,0,0,0.0358097580109957,0,0,0,0,0.00238731720073304
"m__2-Hydroxyoctanoate",0,0.122166770316004,0,0,0,0.0814025595223037,0.00824674634617349,0,0.0164700436716328,0,0.0621306739891616,0,0.15632497731725,0,0,0.0297827847441683
"m__2-Hydroxypentanoate",0,0.317875645761241,0.0941692336177075,0.0261481418486932,0,0,0.0142708031416685,0.0127514678863256,0.0616597368773262,0.0591219595787282,0.0260704482161847,0,0,0.0440098879309406,0,0.043738488323921
"m__3-Indoxyl sulfate",0.145163701587383,0.393244410417447,0.281690816977955,0,0.755699714803593,0,0,0.0482288291780633,0.0549173725983309,0,0.0266184193413895,0,0.229513427428998,0.0680782947819449,0,0.133543665807674
"m__C00003_NAD+",0,0,0,0.0286220852583453,0.034111145338009,0,0.00182182929911146,0.0166067777671538,0.0420495788017664,0,0.0507443144585785,0,0,0,0,0.0115970487281976
"m__C00008_ADP",0.0126446776404154,0.0192016772908571,0.200144604584308,0,0.342181679090029,0.0637332420325702,0.347860002726798,0.0187820265338628,0.13599315365583,0,0.124429809723302,0.10558224451784,0.0199815603554124,0.113432863599148,0.132787156959578,0.109116979913997
"m__C00015_UDP",0.0339071088984738,0.0689587276529122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685772243675907
"m__C00019_SAM+",0.0625989231303733,0,0.0120068050622786,0.0822341775473203,0,0,0.101603938116593,0,0,0,0.089903345743562,0,0,0.0872303564246367,0,0.0290385030683176
"m__C00020_AMP",0.00935075450648905,0.0448758552470596,0.0170289330304874,0.125462281100451,0.195195945513757,0.00812770271356939,0.00790251894150989,0,0,0,0.0814790888936469,0,0,0,0,0.032628205329798
"m__C00021_SAH",0.0675799740009406,0.03759400256024,0.208269288664538,0,0,0,0.140874929739327,0,0.0643249499738175,0,0.303871272070044,0,0,0,0,0.0548342944672605
