"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0,0,0,0,0,0,0.0289278989247689,0,0,0,0,0,0,0,0.00192852659498459
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0,0,0,0,0,0,0,0.0361522735727114,0,0,0,0,0,0,0,0.00241015157151409
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0,0,0,0.0299386685709554,0,0,0,0,0,0,0,0.0019959112380637
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0,0,0,0.170879461775742,0,0,0,0.0292053194897822,0,0,0,0,0,0,0.00330453195328036,0.0135592875479203
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.127807871649746,0.533327211294869,0,0.13034764300479,0.674798249843923,0.237630537116449,0.34084713440556,0.160077484776635,0.696603711364754,0.177689632057162,0.0991826816820505,0.22494285844895,0,0.119092628932539,0.121297890204852,0.242909702318819
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0,0,0,0,0,0,0,0,0.0758445181573609,0,0.133273661081558,0,0,0.189627499519065,0,0.0265830452505322
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.0754677840940301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503118560626868
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.123503166741257,0,0,0,0,0,0,0.0233068900997243,0.0601117232393061,0,0,0,0,0,0.014403031925112,0.0147549874670266
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0,0,0,0,0,0,0.0249413573115184,0,0,0,0,0,0,0,0.00166275715410123
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0,0,0,0,0,0,0,0,0,0.0748450446910494,0,0,0,0,0.00498966964606996
