"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.000240390696581833,0,0,0,0,4.4229318020841e-06,0,0,0,0,2.75168258528598e-05,0,0,0.000242921225433676,0,3.43501119780302e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0.00458226034613998,0,0,0,0,0.0053800516153084,0,0,0,0,0.00451990468828015,0,0,0.00260555177982783,0,0.00113918456197042
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.00151104995131281,0,0,0,0,0.0045356342141462,0,0,0,0,0.0034727941037427,0,0,0.00266526216548088,0,0.00081231602897884
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.00102890300886588,0,0,0,0,0.000789034562989829,0,0,0,0,0.000942599256434285,0,0,0.000815835079058513,0,0.000238424793823234
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.00776348585228781,0,0,0,0,0.00854461549495685,0,0,0,0,0.0109129667013308,0,0,0.00198933002049856,0,0.0019473598712716
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.00391566493401153,0,0,0,0,0.000759334199945669,0,0,0,0,0.00221546140913863,0,0,0.00245400581396428,0,0.000622964423804007
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.00378202062535646,0,0,0,0,7.04349795804602e-05,0,0,0,0,0.000262508669569231,0,0,0.0058780620169222,0,0.00066620175276189
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.00318568610101153,0,0.00121384595206945,0,0,0.00334451293297947,0,0,0,0,0.00309196561632563,0,0,0.00432333549074847,0,0.00101062307287564
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.00618231872936996,0,0.0116304881524391,0,0,0.000704548737997289,0,0,0,0,0.000512314859453607,0,0,0.000203139069849363,0,0.00128218730327395
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.00901555591888304,0,0,0,0,0.00933063588824426,0,0,0,0,0.00985953416897712,0,0,0.0051816465180389,0,0.00222582483294289
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0.0047501563095298,0,0,0,0,0.000828119485414052,0,0,0,0,0.00223426937324208,0,0,0.00357837936988172,0,0.00075939496920451
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.0118974904861137,0,0.00064791575133922,0,0.002464979970431,0.00348121132337562,0,0,0,0,0.00193692922134602,0,0,0.00272913584613557,0,0.00154384417324941
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.00747297246795224,0,0.000170242856288258,0,0,0.00970855196363595,0,0,0,0,0.00841587752551609,0,0,0.0190437903311326,0,0.00298742900963501
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",4.14103728402446e-05,0,0,0,0,2.46028605021935e-05,0,0,0,0,3.22175817633614e-05,0,0,1.12844168504413e-06,0,6.62395045272291e-06
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.000277303470124476,0,0,0,0,0.000386984947836781,0.000153335454628323,0,0,0,0.000337613986646446,0,0,0.000420024606972326,0,0.000105017497747223
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia cardiffensis",0.00064495402033169,0,0,0,0,0.0053686840747825,0,0,0,0,0.00277036239251874,0,0,0.000344126786788635,0,0.000608541818294771
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hongkongensis",0.00270622802146797,0,0,0,0,0.00420042925428615,0,0,0,0,0.00351744729854016,0,0,0.00175855064560336,0,0.000812177014659843
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0.00112721407282976,0,0,0,0,0.00050783916006717,0,0,0,0,0.000485459850596767,0,0,0.000314419227200375,0,0.000162328820712938
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.00293467837139792,0,0,0,0,0.00265564426190166,0,0,0,0,0.00330943181797411,0,0,0.00126286100028841,0,0.000677507696770807
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.00329239716280673,0,0,0,0,0.0021979355773551,0,0,0,0,0.00214412825715244,0,0,0.00150323889608034,0,0.000609179992892974
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.00014315189329419,0,0,0,0,0.000188017911727269,0,0,0,0,0.000188827457758682,0,0,0.000559853809254795,0,7.19900714689958e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.00263273484417688,0,0,0,0,0.000992375441509095,0,0,0,0,0.00183023355653033,0,0,0.000110090451297907,0,0.000371028952900947
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0.00332919283452556,0,0,0,0,0.0019995826032152,0,0,0,0,0.00269962510551678,0,0,0.00150067297077344,0,0.000635271567602065
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.00940622310309193,0,0.00196727642921313,0,0,0.00824926537866964,0.000256443323549283,0,0,0,0.00877642978787733,0,0,0.00551360383882467,8.83081802709035e-05,0.00228383666943313
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0.000378795624057061,0,0,0,0,0.000398801538120766,0,0,0,0,0.000448981496900551,0,0,0.000536985862324848,0,0.000117570968093548
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0.000507523204081592,0,0,0,0,9.4018372830293e-05,0,0,0,0,0.000419822106019924,0,0,0.00147191608203045,0,0.000166218650997484
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0.000925655253457202,0,0,0,0,0.00111210548056274,0,0,0,0,0.00121350135841773,0,0,0.000276466844597442,0,0.000235181929135674
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.000400044628620291,0,0,0,0,2.00752262460003e-05,0,0,0,0,0.000977420057984309,0,0,0.000731980504787616,0,0.000141968027842548
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.000548116295908192,0,0,0,0,0.000496732326264071,0,0,0,0,0.00059941326597902,0,0,0.000355342373763944,0,0.000133306950794348
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0.00063252179043236,0,0,0,0,0.000499639004532061,0,0,0,0,0.000341783502428996,0,0,0.00132210426932249,0,0.000186403237781061
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.00222110015239731,0,0.00060882111662106,0,0,0.0020466482991238,0,0,0,0,0.00198995645995987,0,0,0.00208703176048326,0,0.000596903852572353
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018375675",0.00160543076454762,0,0,0,0,0.000164036322000191,0,0,0,0,3.68429280386494e-05,0,0,0.000345328031075268,0,0.000143442536377449
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.000496828755588144,0,0,0,0,4.64351910338091e-06,0,0,0,0,0.000647507668642149,0,0,0.00306404416127981,0,0.000280868273640899
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900541895",0.00433347712117025,0,0,0,0,0.00279299324467821,0,0,0,0,0.00329142233061182,0,0,1.24898863229494e-05,0,0.000695358838852215
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900554605",0.00185223378413373,0,0,0,0,0.00118211815064353,0,0,0,0,0.00107633560247248,0,0,0.00076498833740084,0,0.000325045058310038
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp900556405",0.00152374879740144,0,0,0,0,0.00224239016991608,0,0,0,0,0.00253252432865588,0,0,0.00129097356129181,0,0.000505975790484347
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373435",0.00118708795009277,0,0,0,0,0.00104287435969486,0,0,0,0,0.00140019550386041,0,0,0.00076997629408086,0,0.000293342273848593
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545",8.84848524618513e-05,0,0,0,0,6.21252788833078e-05,0,0,0,0,1.23738082393414e-05,0,0,2.97576501166695e-05,0,1.28494393134113e-05
