"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.327999683168315,0.202095029036276,0.543013522669861,0.55733867904588,0.250060427890744,0.539068697996542,0.464650925025284,0.389906722476453,0.429494293164992,0.543152484953064,0.491015371227754,0.497011830525108,0.362284583985241,0.54577538924507,0.619456884231533,0.450821634976141
"m___Diazoxide",0.0732750219928745,0.069905772057102,0.12152088194992,0.211471947898343,0.0919821915412422,0.204596989825683,0.127386966521786,0.101867740723137,0.134657203075089,0.197959823997545,0.0944809396227907,0.0870028728625979,0.122817893445762,0.25892671894535,0.266827674803913,0.144312042617542
"m__2-Hydroxyisobutyrate",0.131447914044688,0.0718967059069235,0.121477999584639,0.228572097533903,0.0928397656262132,0.282616301618231,0.269903463527496,0.158610026453005,0.0806326217401073,0.265829095319175,0.167162159793338,0.249614655216223,0.0536673610580983,0.251119739503294,0.114200237022683,0.169306009596534
"m__2-Hydroxyoctanoate",0.313290077815966,0.271911064334782,0.161657909187485,0.19894420911846,0.153575514211891,0.446231759491491,0.456840385358254,0.340155098894808,0.29021362522769,0.264334966216605,0.171261179518747,0.335676971734572,0.268263602031184,0.417615562241514,0.285611036177394,0.291705530770723
"m__2-Hydroxypentanoate",0.210705702559112,0.175488168622336,0.150447129328038,0.355691236503811,0.20353801418039,0.270425261093517,0.344254412186285,0.223669417457501,0.17631665500945,0.334729659179082,0.200696612790981,0.257542271466761,0.194378480657206,0.456383332137621,0.330532274771466,0.258986575196237
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__3-Indoxyl sulfate",0.0483950593808683,0.0645104757802799,0.0892168527803688,0.251349844189103,0.0356121892268353,0.13181787833486,0.204783642353353,0.10426535666553,0.0468425245203751,0.251683243803697,0.0718172232393534,0.121152281732593,0.0788089031193606,0.271269837739568,0.204863709618885,0.131759268165669
"m__4-Oxohexanoate",0.0250731368059915,0.0129028383611088,0.0286871761662905,0.0259406093981298,0.00132953733377153,0.0143490618330626,0.0746248754893308,0.0196391147392086,0.036383967777879,0.0275907229237682,0.0099225582472436,0.0105695567386744,0.0112806564337447,0.0420793631637902,0.0170827166998422,0.0238303928074558
"m__4-Oxopentanoate",0.00464360485259521,0.0213741296885137,0.0584445863950143,0.0635076291950645,0.00240548568933694,0.0621225107912748,0.0423671611806382,0.0117677259396295,0.0236251223558591,0.065587515436973,0.022830379344362,0.0176522273489816,0.034368572472953,0.106778812453097,0.0238763764297852,0.0374234559716052
"m__C00002_ATP",0.0109223230992689,0.00747757487168062,0.00268981809370186,0.00535199105110554,0,0.0372337434496944,0.026920136346021,0,0.00372188339815302,0,0,0.00429468170843733,0,0.0101570575720365,0.0289466130815204,0.00918105484477463
"m__C00003_NAD+",0.404441275914243,0.321823772933139,0.240311168704627,0.513642046782102,0.254231864469597,0.515763678945396,0.666531748724892,0.279138604283503,0.197242278443357,0.434935966739353,0.334000079477444,0.357473966100692,0.297532534795444,0.679551760613841,0.626310393686696,0.408195409374288
"m__C00006_NADP+",0.0266584067330574,0.0142910691658489,0.0608314038790485,0.110830979343468,0.0319055796532805,0.143145052676158,0.160175849604235,0.0617744803243972,0.0637123306837337,0.069200513236649,0.0505188860693816,0.0330931113896916,0.0394245524221428,0.16791197839507,0.080789750310212,0.0742842629257583
