"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0213316990603039,0.0354512760976784,0.0805086528114641,0.121543297559855,0.0121471272627451,0.036966580024168,0.0298181083565649,0.0096739352418037,0.0322209370778129,0.0461738678626857,0.0332513109676675,0.028131618079413,0.126993792214085,0.0154099245495153,0.0120789134360276,0.0427800693734527
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0.0252105787390241,0,0,0.0218642656227765,0.0124312705905286,0,0.0157260923735558,0,0,0,0.0235665732627562,0,0,0,0.129167420413091,0.0151977467334488
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0,0.00528749454063003,0.0250338820644887,0.0725312141472948,0.0131542453125724,0.00437697520996217,0.0070801454841983,0.0814553078776648,0.0344923151870813,0.0223040552028752,0,0.0149741672582129,0.0553026355267742,0.0181073936299818,0,0.0236066554294491
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.107963619467384,0.141887918953139,0.0978705115613976,0.0874363420279902,0.0107634142604236,0,0.0177003637104957,0.00742034805479261,0.00752106107820101,0.0203064591003827,0.227815103592306,0.0263863794469796,0.0524055012143578,0.0576297641952173,0.0473653407984127,0.0606981418307653
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0.0362935480530088,0,0.0155479222206411,0.0610175121060943,0.0521925778428898,0.134459727109035,0.0311285930519151,0.0171909967501737,0.0917746587102063,0,0.00914007611864943,0.0362720933405091,0.00740757012135617,0,0.0328283516949653
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0,0.0213300592455522,0.054683565282681,0.067568678650536,0.019591809300373,0,0,0.00659586493759343,0.0197353239601604,0.0205108587876095,0.0285059341409488,0,0.0788558352647737,0.011950879795788,0,0.0219552539577344
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0217235012361328,0,0.0537495412882771,0,0,0.00729495868327028,0.0145169679807227,0.0645269231278943,0.00732570884240358,0.0190552494542953,0.0304853729190831,0.0339027279944469,0.0171815178981359,0.00730407906915464,0.118144137177056,0.0263473790447249
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0315175212924696,0.0176249818021001,0.0666133483574761,0.0459648578718228,0.00835931338511492,0.0629159574389694,0.0486403401304539,0,0.00537218648442929,0,0.0100112459215755,0.00355447404614145,0,0.00757305186381876,0,0.0205431519062915
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0131148512062629,0.0251892518511833,0.0978585786120558,0.101307431757542,0.02238464317605,0,0.0128361380069372,0.0785519251641005,0,0,0.0673228288667488,0.0204737705057747,0.117142374174689,0,0.0797267315823438,0.0423939016602459
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.022793114231997,0,0,0,0,0,0.0208746823306737,0,0.0780777654114401,0,0.00940264541210155,0,0.0337454971819619,0,0.00805260895735172,0.0115297542350351
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0,0,0.0128573202940951,0.0407126583438401,0.0664207409512454,0.021470215240446,0.0305801895766959,0,0.00984900855478703,0.0107516598483437,0.00684979984107794,0.02654778259193,0.0189229210298344,0.0146669888402852,0.0276089449966345,0.0191492153406143
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.0259598566233766,0.0672186632382001,0.0948823790898561,0.110411360311706,0,0.0828416164082258,0.00749100412903032,0.0483169626253529,0.00690709690855195,0.00803420735920187,0,0.0204513741628488,0.116174776365286,0.0811820810088697,0.139625583305459,0.0539664641023977
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0190106784072943,0.0176459639232931,0.0465825967480601,0.0309336036453032,0,0.0634318763445754,0.00653551890849074,0.0540648040445934,0,0.00820791995075217,0,0,0.0863053098123954,0.0230698526917768,0,0.0237192082984356
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.106338082753331,0.0660044629834004,0.0459789103162974,0.130425518569665,0.0173530389467787,0.0316546357540522,0.03895065714501,0.0796682420939014,0.09987224157329,0.0431816573558861,0.106643165401695,0.1375122644083,0.0870529263318262,0.0529164054809592,0.107579810659375,0.0767421346515846
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.103768866377507,0.0511659516351324,0.0629164811782536,0.00890471909000351,0.0063520871976612,0.022980865057728,0.0465608363397295,0.0602127704041091,0.0708506680260352,0.0950652679414954,0.060632675918844,0.119462424716443,0.0539192350299223,0.0682208413858867,0.094165385936857,0.0616786050823738
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia cardiffensis",0.0199292165172516,0,0.13359119692577,0,0.00640727591881061,0.00437697520996217,0,0.00494689870319507,0.051964045987917,0.0151081859879728,0.0736920829559251,0.0229805323334326,0.0195033446411272,0,0,0.0234999836787576
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hongkongensis",0.0324472225327395,0.0596195518618884,0.0708163366590309,0.0505808986570835,0.0325371352678768,0,0.0404914072761015,0.0387935178151056,0,0.0492111396272294,0.0591969126620174,0.00518761077004427,0,0,0,0.0292587822086078
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0.0680656025859534,0.058872755562484,0,0.0213783930533815,0,0.0487329745384565,0.0247262781288635,0,0.0281393404358208,0.0569420483870853,0.00755267109342739,0.0398588803983726,0.184633390546852,0.0144859149039854,0.123877132541333,0.045151025478401
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.153762467171355,0.0479381276205951,0.193078995639613,0,0.044348330362249,0,0.0245081959068403,0,0.0302617990350101,0.0334545087041248,0.0266723238798391,0.0444071064003328,0.0194723869512207,0.0325543289131366,0.158608125445495,0.0539377797353208
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.029240645659411,0.0372827998511492,0.014746890650288,0.0562791318863905,0.0208994135259021,0.015840481712244,0.0357411190308087,0.0373706328567629,0.0500045036608709,0,0.0521315273569311,0.0192636443803234,0,0.0326190803103229,0.0382498925474207,0.0293113175619217
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.0357752088670214,0.0925330319452942,0.125122811553774,0.0383785979988862,0,0.0151370392677858,0.0651413193402331,0.0340678048623976,0.0246565183064493,0.0832703198673758,0.0508813384101238,0.0960308681480153,0.0343630357962717,0.0368910244425184,0.0962458011423356,0.0552329813298988
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.0488581530895191,0.0255310450676136,0.0931364408543498,0.0494299897607219,0.0158369313335338,0.00854552302897374,0.0928775869126941,0,0.086151345188489,0.0710164920992742,0.0176137710199147,0.0399786725559573,0.0175394661876804,0.0131576422791545,0.0152575748665612,0.0396620422829625
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0.00675961729824907,0.0598265066466849,0.0203222746390548,0.00856575344563096,0,0.0171549189680775,0.0132162715705035,0.160620779430942,0.0175203774147168,0,0,0,0.062294016174267,0.0940732699559013,0.0525430396311289,0.0341931216783438
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000185285",0.0813023564339114,0.0426270611393296,0.0846414978379738,0.0087457062491106,0.118320584385813,0.0276769635457006,0.0975493366623982,0.0890467128533466,0.0876872480894745,0.00723078662328168,0.050744713908029,0.166970008922256,0.122792858761077,0.0915375321919024,0.132817501116701,0.080646057914687
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000278725",0,0.072571742773074,0.150353031425931,0.0247805139739807,0,0.0636243354687608,0.120391883564506,0,0.0393735773890942,0.0294223542050347,0.0433877110995897,0.0218836043493626,0.0220103105100303,0.0520920655318276,0.141353291194134,0.052082961432355
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000308055",0.0186121689674372,0,0.0527964622936259,0.0453930871166975,0.0235726782721236,0.0556312603875405,0.0364875859902814,0.00791503792511212,0,0.0671928937950289,0,0.0523786806336292,0.0966225734020275,0.0148071751135496,0,0.0314273069264702
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415",0.0705570491522737,0.0852919882254076,0.0269852745790631,0.111417721283084,0.0222697333150327,0.0496351440896662,0.0157026102856902,0.014464777933072,0.0419795675375691,0.0249091328932793,0.0934192552909382,0.0100954131466759,0.0340791246743082,0.0911743778502072,0.0469735522512183,0.0492636481671657
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000466265",0.134782537983534,0.124517182104036,0.110620954103999,0.0431022954894439,0.056149288442676,0.0520093144072641,0.0460407336235678,0.0787426062755668,0.0432419316104726,0.0963641573646582,0.0607565042479725,0.0456714055975254,0.144795074752317,0.00611124535011884,0.183659646246389,0.0817709918399695
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.068677008553029,0.111364305466296,0.0976156266760304,0.114246278178627,0.0756092957893539,0.0580722323624128,0.0472392496245135,0.0089943612785365,0.0435288536634542,0.0829586711241998,0.0275752050320238,0.0249109389400413,0.0532703140468975,0.0299790535786385,0.0351911496101321,0.0586155029282791
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001072465",0,0.144729756953396,0.099773795581888,0.0603861353034559,0.0128908289318928,0,0.00370648641800982,0.00922677196721249,0.136070375849979,0.073149880195761,0.0678941597236243,0.0320422731207868,0.0497083417669899,0.0267719299031873,0.0429472477725425,0.0506198655659151
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0820036662837801,0.0550958764754077,0.129432678571503,0.0274149916428349,0,0.149523515445189,0.0612877125934104,0.115188466862075,0.0754222792923479,0.064668546485842,0.10993641253409,0.0375633087643169,0.0630329892731214,0.0847722903114654,0.0944545206500003,0.0766531503456923
