"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__C00003_NAD+",0,0,0,0,0,0,0.00682570272087582,0,0,0,0,0,0,0.100643537178845,0,0.0071646159933147
"m__C00025_Glu",0,0,0,0,0,0,0,0,0,0.241788792540793,0,0,0,0,0,0.0161192528360528
"m__C00049_Asp",0,0,0,0.0394914084159391,0,0,0,0,0,0,0.125348025158531,0,0,0,0,0.0109892955716313
"m__C00062_Arg",0,0,0,0.0560086062750636,0,0,0,0,0,0,0,0,0.121319978776299,0,0,0.0118219056700909
"m__C00064_Gln",0,0,0,0,0,0,0,0,0,0.260718321678322,0,0,0,0,0,0.0173812214452214
"m__C00073_Met",0,0,0,0,0.0577062613567395,0,0,0,0,0,0,0,0,0,0,0.0038470840904493
"m__C00077_Ornithine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247484361265949,0.01649895741773
"m__C00079_Phe",0.0136750591647474,0,0,0.0409510134634878,0.504166238774598,0,0.0141191014634586,0,0,0,0,0,0,0,0,0.0381940941910861
"m__C00082_Tyr",0,0,0,0,0,0,0,0,0,0,0.171951565646095,0.130704405129984,0.230489861274461,0.0415076779100368,0,0.0383102339973718
"m__C00093_Glycerophosphate",0,0,0,0,0,0,0,0.00732617907511923,0,0,0,0,0,0,0,0.000488411938341282
"m__C00123_Leu",0,0,0,0,0.0975957239656606,0.142620814829307,0,0,0,0,0,0,0,0,0,0.0160144359196645
"m__C00148_Pro",0,0,0,0,0,0,0.0421140473568515,0,0,0,0,0,0,0,0.0594512495618134,0.00677101979457766
"m__C00153_Nicotinamide",0,0.0813408289158267,0,0,0.0449982409126065,0,0,0,0,0,0,0,0,0,0.0554647163404206,0.0121202524112569
"m__C00179_Agmatine",0.0854166047295605,0.0772425381142803,0,0,0.408276836180565,0.107382251314574,0.0664405401395953,0,0,0,0,0,0,0.252486897405119,0,0.0664830445255796
"m__C00186_Lactate",0,0,0.198928326736835,0,0,0,0,0,0,0,0,0,0,0,0,0.0132618884491223
"m__C00242_Guanine",0,0,0,0,0,0,0,0.0263731453305629,0,0,0,0,0,0,0,0.0017582096887042
"m__C00255_Riboflavin",0,0,0,0,0,0,0,0.067290978525666,0,0,0,0,0,0,0.0765612706803021,0.00959014994706454
"m__C00263_Homoserine",0.00782908795201027,0.0520546933924355,0.353803274198862,0,0,0,0,0.110427666085811,0,0,0,0,0,0,0,0.0349409814419413
"m__C00270_N-Acetylneuraminate",0,0,0,0,0.0655755429917351,0,0,0,0,0,0,0,0,0,0,0.00437170286611567
