"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0202299554818539,0.0249414718653967,0.0770748234282429,0.212658996877685,0,0,0.149130154269061,0.0929375034596124,0.128491646234858,0,0.0300238870236292,0,0,0,0.0723683607321722,0.0538571199581675
"m___Diazoxide",0,0,0,0,0,0,0.00393621267267864,0,0.0652861741679198,0,0,0,0,0,0,0.00461482578937323
"m__2-Hydroxyisobutyrate",0,0,0,0,0,0,0.0173819161238427,0.0300691007214912,0.0815716546013098,0,0.0234589807339687,0,0,0,0,0.0101654434787075
"m__2-Hydroxyoctanoate",0,0.0678772858714737,0,0,0,0,0.0750684521473585,0.0765719953222537,0,0,0.0381715875303497,0,0,0,0,0.0171792880580957
"m__2-Hydroxypentanoate",0,0,0,0,0,0.255010569331427,0.0095637662331895,0,0.00267023040975227,0,0.0358110824820141,0,0,0,0,0.0202037098970922
"m__C00003_NAD+",0,0,0,0,0,0,0.0557622531081503,0,0.0098527441928196,0,0,0,0,0,0,0.004374333153398
"m__C00008_ADP",0,0.0225363172091281,0,0,0,0.0560228359063609,0.0142928220048191,0,0.141826193260257,0,0.0225316015449762,0,0,0,0,0.0171473179950361
"m__C00015_UDP",0,0.091560730265314,0,0.0118090476168139,0,0,0.0105610673427988,0,0.0535231762957482,0,0.0149296741682748,0,0,0,0,0.01215891304593
"m__C00016_FAD",0,0,0,0,0,0,0.0148750043563968,0,0,0,0,0,0,0,0,0.00099166695709312
"m__C00019_SAM+",0,0.043706218000798,0.010261988296129,0,0,0,0.0082609652558892,0.0215901972627196,0.146239832527844,0,0.0147438225432418,0,0,0,0,0.0163202015924414
"m__C00020_AMP",0,0,0,0.0730444984079257,0,0,0.102869661145217,0,0.195900037603491,0,0.0103466435882492,0,0,0,0,0.0254773893829922
"m__C00021_SAH",0,0,0,0.0220719497229888,0,0,0,0,0,0,0,0,0,0,0,0.00147146331486592
"m__C00024_Acetyl CoA",0.042813966968557,0,0,0,0,0.0630791777750566,0,0.0360554235161153,0.00849293068873157,0,0,0.123254531408876,0,0,0,0.0182464020238224
"m__C00025_Glu",0,0.0400916950329865,0.283859133018008,0.164086355595082,0,0,0.0202854772163585,0.148013324149741,0.427512684130243,0,0,0,0,0,0,0.0722565779428279
"m__C00029_UDP-glucose",0,0,0,0,0,0,0.0193179030844834,0,0,0,0,0,0,0,0,0.00128786020563223
"m__C00037_Gly",0,0,0,0.0103852067987305,0,0,0.0558064928606742,0.136032134631649,0.106596287164892,0,0.0272525718256437,0,0,0,0,0.0224048462187726
"m__C00041_Ala",0,0,0,0,0,0,0.0446461373700068,0,0,0,0.0205632879245842,0,0,0,0,0.0043472950196394
"m__C00042_Succinate",0.0922087343015229,0.136035030538259,0.0428738867159523,0.0166249993603416,0,0.0767149203154851,0.0490961333442617,0.0185856640318726,0.0157437680183394,0,0.0116954808638674,0.0325693331347733,0,0,0,0.0328098633749783
"m__C00043_UDP-N-acetylglucosamine",0,0,0,0.0229463339362469,0,0,0.00293995993418245,0.0255520643638552,0.269087132970194,0,0,0,0,0,0,0.0213683660802986
"m__C00047_Lys",0.21111362707823,0.0978857199200886,0.0148018363653893,0,0,0.132004926988893,0.131899868810912,0.212571898628277,0.00293921704853149,0.152775731496041,0.0395390321516732,0,0,0,0.136467773493716,0.0754666421321167
"m__C00049_Asp",0.116040782594199,0.11871881659794,0.0711548579618663,0.0627755151045035,0,0.233820823080986,0.124635414238066,0.272142938221658,0.00668254010442667,0.169003096562764,0.0606878182019172,0.318854372549152,0,0,0.102460409743066,0.110465158997369
"m__C00055_CMP",0,0,0,0,0,0,0.0498040900604547,0.0219738222953889,0.517429185513591,0,0,0,0,0,0,0.0392804731912957
"m__C00062_Arg",0.0937737017609669,0.195986863945029,0,0.0152913570453295,0,0.120290883186324,0.0562008493453241,0.0640195931425753,0.0226206992227094,0.0876289928758545,0.0100125854216334,0,0,0,0.106933434470264,0.0515172640277339
"m__C00064_Gln",0.103656411490356,0,0.0899382950119546,0.0107278083031077,0,0,0.138187006188545,0.0207127716802961,0.0129304982337853,0.13356590906021,0.146380132199446,0.0463709114686029,0,0,0,0.0468313162424203
"m__C00065_Ser",0,0,0.0693667250749158,0.117180628669107,0,0,0.181938214756798,0.0295892218271939,0.0515952959800263,0,0.108783328497774,0.0503245442210751,0,0,0.0880677791264765,0.0464563825435578
"m__C00073_Met",0,0,0.0243142817487781,0,0,0,0.0611951626183794,0,0,0,0.0344357808359704,0,0,0,0.125821557021793,0.016384452148328
