"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.12240903205821,0.793957068294157,0.206179842130888,1,0.322201376373519,0.193148071120469,0.128294635204969,0.104113035824258,0.1394307552136,0.264087427202877,0.505843825795308,0.140599233121056,0.453263367038613,0.506145208659947,0.304906577640897,0.345638630378584
"m___Diazoxide",0,0,0,0,0.23623829868356,0.0578865348013394,0.024466829573608,0.185832876475106,0,0.0856695062188022,0.104377585492159,0.111969363368011,0.00506440585195741,0,0,0.0541003600309695
"m__2-Hydroxyisobutyrate",0.0322926347398839,0,0.00892747836297093,0,0.0345770638059883,0.0334294738477735,0.0719236563112332,0,0.0504735794465848,0,0,0.145256368800612,0.0696355804644137,0.0327952012987171,0.0335062173231755,0.0341878169600902
"m__2-Hydroxyoctanoate",0.12989942985795,0.0407249667346228,0.179117329858253,0.0718341504083172,0,0,0.115834714311291,0.168125140007419,0,0,0,0.131975234891964,0.0126610146298934,0.0729261713089892,0,0.06153987680058
"m__2-Hydroxypentanoate",0,0.0386837999236483,0.320826373558042,0,0.316426133788988,0.029174813539875,0.0391469273177728,0.00351059493280078,0.0327176225813391,0.00696328498822768,0.00655955137270726,0.0900782102850404,0.0683694790014243,0,0.0967072221201769,0.0699442675606695
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__3-Indoxyl sulfate",0.0799911913442099,0,0,0,0,0.152303499461757,0,0,0,0.210543634837753,0.192493016646355,0.010077242703121,0,0,0.103370374858158,0.0499185973234236
"m__4-Oxohexanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__4-Oxopentanoate",0,0,0,0,0,0.0479436711766387,0,0,0,0.0411549588698167,0,0,0,0,0,0.00593990866976369
"m__C00002_ATP",0,0,0,0,0,0,0,0,0,0.0514017037312813,0.0230180178684841,0,0,0,0.0686071250530593,0.00953512311018831
"m__C00003_NAD+",0.233905397614476,0.022059356981254,0.20109283925583,0.0689522947648935,0.377257088897298,0.133723819451673,0,0,0.155965812763095,0.112594208173283,0.13670701383574,0.467119062964226,0.0694547088268438,0,0.0632895216104426,0.136141408342604
"m__C00006_NADP+",0,0,0,0,0,0.0495704783829685,0,0,0,0.0578269166976915,0.073853820711686,0,0,0,0.114019044761772,0.0196846840369412
"m__C00008_ADP",0.147623473096612,0.122925711016266,0.366166101549494,0,0.0936308994457302,0.0986965418362836,0,0,0,0.0456904033166946,0.236901842020529,0.306433039166062,0.069094511463136,0,0,0.0991441681940539
"m__C00015_UDP",0,0.0400188260674358,0.129766391055588,0.0226534757551046,0.0831045969537697,0.0990502928822917,0,0,0,0.139544743458247,0,0.210285086732329,0.0635072083612648,0,0.125648314961908,0.0609052624151959
"m__C00016_FAD",0,0,0,0,0.122334278039452,0.0935090177560097,0,0,0,0,0,0,0,0,0,0.0143895530530308
"m__C00019_SAM+",0.0574091284264603,0.0407547364471481,0.177309093777913,0.0814155863022775,0,0,0.103664924808121,0.0671275388661794,0,0.154099201090002,0,0.0864668179266588,0.132940653613881,0.0215218508522831,0.128561523227623,0.0700847370225697
"m__C00020_AMP",0.168439977501246,0.115897288830464,0.0515718970822184,0.0135920854530628,0.112431006285611,0.238843158962375,0.024466829573608,0.217730156128948,0,0.0213449744015306,0.0712407033932812,0.334321325626737,0.0379830438896802,0,0.334104852736807,0.116131153324371
"m__C00021_SAH",0,0,0,0,0,0,0.0319283449754884,0,0.0327176225813391,0,0,0,0,0,0,0.00430973117045517
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00024_Acetyl CoA",0,0,0.050540459140574,0,0,0.0445726317970313,0.0672018681140164,0.112129762443789,0,0.0428347531094011,0.0719121187526424,0.0568090715022095,0,0.074259385019586,0.0938174085048914,0.0409384972256094
"m__C00025_Glu",0,0.0816196208306398,0,0.10683335267314,0.094052861027386,0.361936521874754,0,0,0.304161866923072,0.250330573636053,0.0306112397393005,0.156357541929801,0.448390882429455,0.0163976006493585,0.121618445935561,0.131487367176568
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0.0417403973328135,0,0,0,0.0027826931555209
"m__C00029_UDP-glucose",0,0,0.0648332420462174,0,0.00244283293009216,0.0546443322511682,0,0.0346089202391594,0,0.292998882275242,0,0.334199785676295,0,0,0.0282157619563583,0.0541295838249689
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0.0228770427716649,0.15582445208012,0.154133887802539,0.0614679298714812,0.242264929224629,0.0530626569012278,0,0.0435083568720861,0.111651746990863,0.265497671115588,0.213776339881946,0.10161219725647,0.102081413695155,0.0651928850059345,0.208859047528456,0.120120703799877
"m__C00041_Ala",0,0.108384973967895,0.434549641227611,0.0568932444659048,0.225396187035474,0.355827513870591,0.143199799062848,0,0.14425497229045,0.14781814354271,0.0215148765092757,0.282924461056193,0.251368681762666,0.231517908245124,0.353340878975582,0.183799418800822
"m__C00042_Succinate",0.0410997169416705,0,0.366708285772146,0.0689206976017749,0.177407794541083,0.0658411799954673,0.112769841761993,0,0.0988799260236025,0.300640160995803,0.383088023305185,0,0.162717700039873,0.13805072195196,0.0558436955386258,0.131464516297946
"m__C00043_UDP-N-acetylglucosamine",0,0.0779430613337641,0.030943138249331,0,0.0302698863076644,0.375236434156596,0.024466829573608,0.0439478352243294,0.0275102369996818,0.12708837758187,0.133159377681284,0,0.166977681277244,0.10373484230026,0.280306341891933,0.0947722695051711
"m__C00044_GTP",0,0.0388979994769445,0,0.0285718721771487,0,0,0,0.0283306580642552,0,0,0,0,0,0,0.0446749564309006,0.00936503240994993
"m__C00047_Lys",0.066977316497537,0,0.159597830837105,0.0313663510455295,0.228893576195611,0.18815987808436,0.068894334807238,0.0946525244054886,0.314342960160211,0.012453101965343,0.214236222267974,0.174576233114067,0.208906741393241,0.0253821078246109,0.0335062173231755,0.121463026394766
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0.305268443437037,0.244257723021436,0.363800208413998,0.0371749345724794,0.725856088988813,0,0.0297436693850765,0.0903635104266403,0.177538720343514,0.136844273215163,0.153073347850418,0.1666104126916,0.124077943372955,0.0174907740259824,0.183328812678256,0.183695257494891
